onset	duration	trial_type	response_value	stim_file
2.779	51.939	video	n/a	task-alignvideo/ses-01_run-01_order-01_content-idiots.mp4
59.302	n/a	rating_relevance	n/a	n/a
64.321	n/a	rating_happy	n/a	n/a
69.356	n/a	rating_sad	n/a	n/a
74.391	n/a	rating_afraid	n/a	n/a
79.426	n/a	rating_disgusted	n/a	n/a
84.461	n/a	rating_warm	n/a	n/a
89.497	n/a	rating_engaged	n/a	n/a
90.089	198.203	video	n/a	task-alignvideo/ses-01_run-01_order-02_content-wanderers.mp4
292.839	n/a	rating_relevance	n/a	n/a
297.874	n/a	rating_happy	n/a	n/a
302.91	n/a	rating_sad	n/a	n/a
307.928	n/a	rating_afraid	n/a	n/a
312.963	n/a	rating_disgusted	n/a	n/a
317.999	n/a	rating_warm	n/a	n/a
323.034	n/a	rating_engaged	n/a	n/a
323.585	60.888	video	n/a	task-alignvideo/ses-01_run-01_order-03_content-lioncubs.mp4
389.025	n/a	rating_relevance	n/a	n/a
394.06	n/a	rating_happy	n/a	n/a
399.079	n/a	rating_sad	n/a	n/a
404.114	n/a	rating_afraid	n/a	n/a
409.133	n/a	rating_disgusted	n/a	n/a
414.151	n/a	rating_warm	n/a	n/a
419.186	n/a	rating_engaged	n/a	n/a
419.729	38.763	video	n/a	task-alignvideo/ses-01_run-01_order-04_content-parkour.mp4
463.036	n/a	rating_relevance	n/a	n/a
468.054	n/a	rating_happy	n/a	n/a
473.09	n/a	rating_sad	n/a	n/a
478.125	n/a	rating_afraid	n/a	n/a
483.16	n/a	rating_disgusted	n/a	n/a
488.179	n/a	rating_warm	n/a	n/a
493.214	n/a	rating_engaged	n/a	n/a
