onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
2.79	3.148	cue	n/a	n/a	similarity	n/a	n/a
5.938	5.823	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
11.86	3.351	rating	19.03	Moderate	similarity	n/a	n/a
12.427	2.785	rating_mouse_trajectory	19.03	Moderate	similarity	n/a	n/a
16.978	6.354	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
23.415	1.835	rating	12.26	Moderate	similarity	n/a	n/a
23.865	1.385	rating_mouse_trajectory	12.26	Moderate	similarity	n/a	n/a
28.529	5.173	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
33.768	1.676	rating	35.01	Strong	similarity	n/a	n/a
34.152	1.293	rating_mouse_trajectory	35.01	Strong	similarity	n/a	n/a
38.787	3.122	cue	n/a	n/a	mentalizing	enjoy	n/a
41.909	5.503	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
47.474	4.188	rating	0.0	No sensation	mentalizing	enjoy	n/a
48.374	3.288	rating_mouse_trajectory	0.0	No sensation	mentalizing	enjoy	n/a
52.549	5.229	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
57.844	3.402	rating	90.74	Very strong	mentalizing	enjoy	n/a
58.444	2.802	rating_mouse_trajectory	90.74	Very strong	mentalizing	enjoy	n/a
62.939	5.559	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
68.565	2.552	rating	23.54	Moderate	mentalizing	enjoy	n/a
69.181	1.935	rating_mouse_trajectory	23.54	Moderate	mentalizing	enjoy	n/a
73.583	3.117	cue	n/a	n/a	likeability	n/a	n/a
76.7	5.394	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
82.153	1.858	rating	32.01	Strong	likeability	n/a	n/a
82.787	1.225	rating_mouse_trajectory	32.01	Strong	likeability	n/a	n/a
87.24	5.004	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
92.307	2.188	rating	11.88	Moderate	likeability	n/a	n/a
92.974	1.521	rating_mouse_trajectory	11.88	Moderate	likeability	n/a	n/a
97.423	5.322	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
102.811	2.584	rating	52.31	Strong	likeability	n/a	n/a
103.411	1.984	rating_mouse_trajectory	52.31	Strong	likeability	n/a	n/a
107.829	3.166	cue	n/a	n/a	mentalizing	tired	n/a
110.996	6.349	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
117.4	2.134	rating	7.09	Weak	mentalizing	tired	n/a
118.183	1.351	rating_mouse_trajectory	7.09	Weak	mentalizing	tired	n/a
122.482	5.296	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
127.837	1.874	rating	0.0	No sensation	mentalizing	tired	n/a
128.304	1.408	rating_mouse_trajectory	0.0	No sensation	mentalizing	tired	n/a
132.967	5.111	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
138.141	2.287	rating	4.57	Weak	mentalizing	tired	n/a
138.757	1.67	rating_mouse_trajectory	4.57	Weak	mentalizing	tired	n/a
143.176	3.152	cue	n/a	n/a	similarity	n/a	n/a
146.328	5.185	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
151.579	1.801	rating	3.03	Weak	similarity	n/a	n/a
