onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
2.818	3.166	cue	n/a	n/a	similarity	n/a	n/a
5.984	5.174	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-13_content-wanderers.mp4
11.254	1.587	rating	53.46	Strong	similarity	n/a	n/a
11.754	1.087	rating_mouse_trajectory	53.46	Strong	similarity	n/a	n/a
16.361	5.831	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-03_content-bestfriendsweating.mp4
22.259	2.802	rating	31.53	Strong	similarity	n/a	n/a
22.609	2.452	rating_mouse_trajectory	31.53	Strong	similarity	n/a	n/a
27.367	6.347	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-17_content-freesolo.mp4
33.78	1.745	rating	89.01	Very strong	similarity	n/a	n/a
34.613	0.911	rating_mouse_trajectory	89.01	Very strong	similarity	n/a	n/a
38.798	3.123	cue	n/a	n/a	mentalizing	remember	n/a
41.921	5.22	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-10_content-captureflag.mp4
47.201	3.173	rating	7.38	Weak	mentalizing	remember	n/a
48.318	2.056	rating_mouse_trajectory	7.38	Weak	mentalizing	remember	n/a
52.275	5.514	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-15_content-giving.mp4
57.872	1.703	rating	174.13	Strongest possible	mentalizing	remember	n/a
58.205	1.369	rating_mouse_trajectory	174.13	Strongest possible	mentalizing	remember	n/a
62.974	5.553	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-11_content-menrunning.mp4
68.609	2.785	rating	3.4	Weak	mentalizing	remember	n/a
69.793	1.602	rating_mouse_trajectory	3.4	Weak	mentalizing	remember	n/a
73.645	3.164	cue	n/a	n/a	similarity	n/a	n/a
76.809	5.566	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-20_content-cupstacking.mp4
82.448	1.584	rating	101.15	Strongest possible	similarity	n/a	n/a
82.781	1.251	rating_mouse_trajectory	101.15	Strongest possible	similarity	n/a	n/a
87.561	5.33	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-18_content-angrygrandpa.mp4
92.952	2.089	rating	16.26	Moderate	similarity	n/a	n/a
93.502	1.539	rating_mouse_trajectory	16.26	Moderate	similarity	n/a	n/a
98.056	4.085	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-05_content-parkour.mp4
102.205	1.636	rating	134.19	Strongest possible	similarity	n/a	n/a
102.555	1.286	rating_mouse_trajectory	134.19	Strongest possible	similarity	n/a	n/a
107.224	3.125	cue	n/a	n/a	likeability	n/a	n/a
110.349	5.795	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-16_content-huggingpets.mp4
116.211	1.651	rating	61.59	Strong	likeability	n/a	n/a
116.394	1.468	rating_mouse_trajectory	61.59	Strong	likeability	n/a	n/a
121.308	5.19	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-09_content-knifegame.mp4
126.565	3.785	rating	42.21	Strong	likeability	n/a	n/a
127.081	3.268	rating_mouse_trajectory	42.21	Strong	likeability	n/a	n/a
131.659	6.833	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-04_content-unefille.mp4
138.552	1.406	rating	0.46	Barely detectable	likeability	n/a	n/a
138.936	1.022	rating_mouse_trajectory	0.46	Barely detectable	likeability	n/a	n/a
143.571	3.125	cue	n/a	n/a	mentalizing	danger	n/a
146.696	5.296	video	n/a	n/a	mentalizing	danger	task-shortvideos/ses-03_run-01_order-07_content-youth.mp4
152.057	3.251	rating	7.28	Weak	mentalizing	danger	n/a
153.974	1.335	rating_mouse_trajectory	7.28	Weak	mentalizing	danger	n/a
157.163	6.349	video	n/a	n/a	mentalizing	danger	task-shortvideos/ses-03_run-01_order-17_content-freesolo.mp4
163.578	2.518	rating	23.17	Moderate	mentalizing	danger	n/a
164.362	1.735	rating_mouse_trajectory	23.17	Moderate	mentalizing	danger	n/a
168.721	5.111	video	n/a	n/a	mentalizing	danger	task-shortvideos/ses-03_run-01_order-06_content-war.mp4
173.899	2.018	rating	72.23	Very strong	mentalizing	danger	n/a
174.682	1.234	rating_mouse_trajectory	72.23	Very strong	mentalizing	danger	n/a
178.934	3.15	cue	n/a	n/a	likeability	n/a	n/a
182.084	5.557	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-11_content-menrunning.mp4
187.704	3.387	rating	11.17	Moderate	likeability	n/a	n/a
188.388	2.704	rating_mouse_trajectory	11.17	Moderate	likeability	n/a	n/a
192.812	5.013	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-21_content-iceblock.mp4
197.891	2.368	rating	23.38	Moderate	likeability	n/a	n/a
199.108	1.151	rating_mouse_trajectory	23.38	Moderate	likeability	n/a	n/a
202.99	5.039	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-01_content-visswar.mp4
208.095	1.017	rating	2.53	Barely detectable	likeability	n/a	n/a
208.562	0.551	rating_mouse_trajectory	2.53	Barely detectable	likeability	n/a	n/a
213.13	3.135	cue	n/a	n/a	similarity	n/a	n/a
216.265	5.043	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-01_content-visswar.mp4
221.367	0.975	rating	0.7	Barely detectable	similarity	n/a	n/a
221.417	0.925	rating_mouse_trajectory	0.7	Barely detectable	similarity	n/a	n/a
226.439	5.22	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-10_content-captureflag.mp4
231.721	3.071	rating	82.87	Very strong	similarity	n/a	n/a
