onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file
7.83	12.65	narrative_presentation	n/a	n/a	Enmity of kin	prison	Text	task-narratives/Narrative5Situation1.mp3
20.48	2.969	rating_feeling	1065	605	Enmity of kin	prison	Text	task-narratives/Narrative5Situation1.mp3
21.88	1.569	feeling_mouse_trajectory	1065	605	Enmity of kin	prison	Text	task-narratives/Narrative5Situation1.mp3
24.535	2.518	rating_expectation	756	545	Enmity of kin	prison	Text	task-narratives/Narrative5Situation1.mp3
25.502	1.551	expectation_mouse_trajectory	756	545	Enmity of kin	prison	Text	task-narratives/Narrative5Situation1.mp3
31.622	28.121	narrative_presentation	n/a	n/a	The enigma	town	Text	task-narratives/Narrative5Situation2.mp3
59.742	3.783	rating_feeling	1065	605	The enigma	town	Text	task-narratives/Narrative5Situation2.mp3
61.476	2.05	feeling_mouse_trajectory	1065	605	The enigma	town	Text	task-narratives/Narrative5Situation2.mp3
63.783	3.95	rating_expectation	756	545	The enigma	town	Text	task-narratives/Narrative5Situation2.mp3
64.933	2.8	expectation_mouse_trajectory	756	545	The enigma	town	Text	task-narratives/Narrative5Situation2.mp3
70.836	13.312	narrative_presentation	n/a	n/a	Discovery of dishonour of loved one	prison	Text	task-narratives/Narrative5Situation3.mp3
84.148	3.167	rating_feeling	1065	605	Discovery of dishonour of loved one	prison	Text	task-narratives/Narrative5Situation3.mp3
85.715	1.6	feeling_mouse_trajectory	1065	605	Discovery of dishonour of loved one	prison	Text	task-narratives/Narrative5Situation3.mp3
88.191	3.05	rating_expectation	756	545	Discovery of dishonour of loved one	prison	Text	task-narratives/Narrative5Situation3.mp3
89.274	1.967	expectation_mouse_trajectory	756	545	Discovery of dishonour of loved one	prison	Text	task-narratives/Narrative5Situation3.mp3
93.262	20.148	narrative_presentation	n/a	n/a	Loss of loved one	swamp	Text	task-narratives/Narrative5Situation4.mp3
113.41	3.683	rating_feeling	1065	605	Loss of loved one	swamp	Text	task-narratives/Narrative5Situation4.mp3
114.577	2.517	feeling_mouse_trajectory	1065	605	Loss of loved one	swamp	Text	task-narratives/Narrative5Situation4.mp3
117.452	3.05	rating_expectation	756	545	Loss of loved one	swamp	Text	task-narratives/Narrative5Situation4.mp3
119.885	0.617	expectation_mouse_trajectory	756	545	Loss of loved one	swamp	Text	task-narratives/Narrative5Situation4.mp3
126.508	14.119	narrative_presentation	n/a	n/a	Necessity of sacrificing loved ones	park	Text	task-narratives/Narrative5Situation5.mp3
140.626	3.583	rating_feeling	1065	605	Necessity of sacrificing loved ones	park	Text	task-narratives/Narrative5Situation5.mp3
140.993	3.217	feeling_mouse_trajectory	1065	605	Necessity of sacrificing loved ones	park	Text	task-narratives/Narrative5Situation5.mp3
144.667	1.633	rating_expectation	756	545	Necessity of sacrificing loved ones	park	Text	task-narratives/Narrative5Situation5.mp3
145.75	0.55	expectation_mouse_trajectory	756	545	Necessity of sacrificing loved ones	park	Text	task-narratives/Narrative5Situation5.mp3
151.736	5.478	narrative_presentation	n/a	n/a	Daring Enterprise	swamp	Text	task-narratives/Narrative5Situation6.mp3
157.214	2.417	rating_feeling	1065	605	Daring Enterprise	swamp	Text	task-narratives/Narrative5Situation6.mp3
158.581	1.05	feeling_mouse_trajectory	1065	605	Daring Enterprise	swamp	Text	task-narratives/Narrative5Situation6.mp3
161.251	3.867	rating_expectation	756	545	Daring Enterprise	swamp	Text	task-narratives/Narrative5Situation6.mp3
162.784	2.333	expectation_mouse_trajectory	756	545	Daring Enterprise	swamp	Text	task-narratives/Narrative5Situation6.mp3
169.307	20.832	narrative_presentation	n/a	n/a	Revolt	beach	Text	task-narratives/Narrative5Situation7.mp3
190.139	2.622	rating_feeling	1065	605	Revolt	beach	Text	task-narratives/Narrative5Situation7.mp3
190.872	1.889	feeling_mouse_trajectory	1065	605	Revolt	beach	Text	task-narratives/Narrative5Situation7.mp3
194.167	3.971	rating_expectation	756	545	Revolt	beach	Text	task-narratives/Narrative5Situation7.mp3
194.967	3.171	expectation_mouse_trajectory	756	545	Revolt	beach	Text	task-narratives/Narrative5Situation7.mp3
201.237	7.29	narrative_presentation	n/a	n/a	Falling prey to misfortune	city	Text	task-narratives/Narrative5Situation8.mp3
208.527	3.917	rating_feeling	1065	605	Falling prey to misfortune	city	Text	task-narratives/Narrative5Situation8.mp3
210.294	2.15	feeling_mouse_trajectory	1065	605	Falling prey to misfortune	city	Text	task-narratives/Narrative5Situation8.mp3
212.554	1.617	rating_expectation	756	545	Falling prey to misfortune	city	Text	task-narratives/Narrative5Situation8.mp3
212.737	1.433	expectation_mouse_trajectory	756	545	Falling prey to misfortune	city	Text	task-narratives/Narrative5Situation8.mp3
219.609	37.953	narrative_presentation	n/a	n/a	Mistaken jealousy	beach	Text	task-narratives/Narrative5Situation9.mp3
257.562	3.169	rating_feeling	1065	605	Mistaken jealousy	beach	Text	task-narratives/Narrative5Situation9.mp3
258.379	2.352	feeling_mouse_trajectory	1065	605	Mistaken jealousy	beach	Text	task-narratives/Narrative5Situation9.mp3
261.589	2.385	rating_expectation	756	545	Mistaken jealousy	beach	Text	task-narratives/Narrative5Situation9.mp3
263.489	0.485	expectation_mouse_trajectory	756	545	Mistaken jealousy	beach	Text	task-narratives/Narrative5Situation9.mp3
267.66	25.986	narrative_presentation	n/a	n/a	Enmity of kin	prison	Text	task-narratives/Narrative6Situation1.mp3
293.646	3.218	rating_feeling	1065	605	Enmity of kin	prison	Text	task-narratives/Narrative6Situation1.mp3
294.513	2.352	feeling_mouse_trajectory	1065	605	Enmity of kin	prison	Text	task-narratives/Narrative6Situation1.mp3
297.669	3.55	rating_expectation	756	545	Enmity of kin	prison	Text	task-narratives/Narrative6Situation1.mp3
300.153	1.067	expectation_mouse_trajectory	756	545	Enmity of kin	prison	Text	task-narratives/Narrative6Situation1.mp3
304.725	27.987	narrative_presentation	n/a	n/a	The enigma	town	Text	task-narratives/Narrative6Situation2.mp3
332.712	3.817	rating_feeling	1065	605	The enigma	town	Text	task-narratives/Narrative6Situation2.mp3
333.829	2.7	feeling_mouse_trajectory	1065	605	The enigma	town	Text	task-narratives/Narrative6Situation2.mp3
336.751	2.668	rating_expectation	756	545	The enigma	town	Text	task-narratives/Narrative6Situation2.mp3
336.901	2.518	expectation_mouse_trajectory	756	545	The enigma	town	Text	task-narratives/Narrative6Situation2.mp3
345.807	11.996	narrative_presentation	n/a	n/a	Discovery of dishonour of loved one	prison	Text	task-narratives/Narrative6Situation3.mp3
357.803	2.61	rating_feeling	1065	605	Discovery of dishonour of loved one	prison	Text	task-narratives/Narrative6Situation3.mp3
358.269	2.143	feeling_mouse_trajectory	1065	605	Discovery of dishonour of loved one	prison	Text	task-narratives/Narrative6Situation3.mp3
361.843	2.419	rating_expectation	756	545	Discovery of dishonour of loved one	prison	Text	task-narratives/Narrative6Situation3.mp3
362.627	1.635	expectation_mouse_trajectory	756	545	Discovery of dishonour of loved one	prison	Text	task-narratives/Narrative6Situation3.mp3
367.914	11.979	narrative_presentation	n/a	n/a	Loss of loved one	swamp	Text	task-narratives/Narrative6Situation4.mp3
379.894	3.985	rating_feeling	1065	605	Loss of loved one	swamp	Text	task-narratives/Narrative6Situation4.mp3
380.894	2.985	feeling_mouse_trajectory	1065	605	Loss of loved one	swamp	Text	task-narratives/Narrative6Situation4.mp3
383.919	2.468	rating_expectation	756	545	Loss of loved one	swamp	Text	task-narratives/Narrative6Situation4.mp3
385.019	1.368	expectation_mouse_trajectory	756	545	Loss of loved one	swamp	Text	task-narratives/Narrative6Situation4.mp3
389.973	7.327	narrative_presentation	n/a	n/a	Necessity of sacrificing loved ones	park	Text	task-narratives/Narrative6Situation5.mp3
