onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	participant_response	reaction_time
7.99	1.034	memory	dummy	study_dummy	n/a	task-memory/obj041button.png	n/a	n/a
10.041	1.017	memory	dummy	study_dummy	n/a	task-memory/obj075crown.png	n/a	n/a
12.092	1.017	memory	dummy	study_dummy	n/a	task-memory/obj113fox.png	n/a	n/a
14.126	1.017	memory	study	study	n/a	task-memory/obj087dragon.png	n/a	n/a
16.161	1.017	memory	study	study	n/a	task-memory/obj036bread.png	n/a	n/a
18.195	1.017	memory	study	study	n/a	task-memory/obj229potato.png	n/a	n/a
20.229	1.017	memory	study	study	n/a	task-memory/obj107flower.png	n/a	n/a
22.264	1.017	memory	study	study	n/a	task-memory/obj304tire.png	n/a	n/a
24.298	1.017	memory	study	study	n/a	task-memory/obj205pan.png	n/a	n/a
26.332	1.017	memory	study	study	n/a	task-memory/obj079desk.png	n/a	n/a
28.366	1.017	memory	study	study	n/a	task-memory/obj228porcupine.png	n/a	n/a
30.401	1.017	memory	study	study	n/a	task-memory/obj204palmtree.png	n/a	n/a
32.435	1.017	memory	study	study	n/a	task-memory/obj317turtle.png	n/a	n/a
34.469	1.017	memory	study	study	n/a	task-memory/obj194nest.png	n/a	n/a
36.504	1.017	memory	study	study	n/a	task-memory/obj156kite.png	n/a	n/a
38.538	1.017	memory	study	study	n/a	task-memory/obj193needle.png	n/a	n/a
40.572	1.017	memory	study	study	n/a	task-memory/obj171lizard.png	n/a	n/a
42.606	1.017	memory	study	study	n/a	task-memory/obj102finger.png	n/a	n/a
44.641	1.017	memory	study	study	n/a	task-memory/obj324vase.png	n/a	n/a
46.675	1.017	memory	study	study	n/a	task-memory/obj347zebra.png	n/a	n/a
48.709	1.017	memory	study	study	n/a	task-memory/obj022bell.png	n/a	n/a
50.744	1.017	memory	study	study	n/a	task-memory/obj250rope.png	n/a	n/a
52.778	1.017	memory	study	study	n/a	task-memory/obj310tractor.png	n/a	n/a
54.812	1.017	memory	dummy	study_dummy	n/a	task-memory/obj135heart.png	n/a	n/a
56.846	1.017	memory	dummy	study_dummy	n/a	task-memory/obj243robot.png	n/a	n/a
58.881	1.017	memory	dummy	study_dummy	n/a	task-memory/obj248roof.png	n/a	n/a
71.253	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.333	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.396	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.459	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
189.125	2.0	memory	test	test_new	correct	task-memory/obj263seahorse.png	n/a	n/a
191.743	0.994	memory	test	test_old	correct	task-memory/obj087dragon.png	old	n/a
194.694	1.069	memory	test	test_new	incorrect	task-memory/obj105flag.png	old	n/a
197.379	0.925	memory	test	test_old	correct	task-memory/obj156kite.png	old	n/a
200.03	2.0	memory	test	test_new	correct	task-memory/obj006apple.png	n/a	n/a
202.982	1.031	memory	test	test_old	correct	task-memory/obj194nest.png	old	n/a
205.549	2.0	memory	test	test_new	correct	task-memory/obj241ring.png	n/a	n/a
208.234	2.0	memory	test	test_new	correct	task-memory/obj226plate.png	n/a	n/a
211.152	2.0	memory	test	test_new	correct	task-memory/obj314truck.png	n/a	n/a
213.837	2.0	memory	test	test_new	correct	task-memory/obj039bus.png	n/a	n/a
216.721	1.101	memory	test	test_old	correct	task-memory/obj079desk.png	old	n/a
219.473	0.8	memory	test	test_old	correct	task-memory/obj036bread.png	old	n/a
222.457	0.761	memory	test	test_old	correct	task-memory/obj347zebra.png	old	n/a
225.142	0.664	memory	test	test_old	correct	task-memory/obj304tire.png	old	n/a
227.993	1.015	memory	test	test_old	correct	task-memory/obj107flower.png	old	n/a
230.745	0.679	memory	test	test_old	correct	task-memory/obj317turtle.png	old	n/a
233.513	2.0	memory	test	test_new	correct	task-memory/obj111fork.png	n/a	n/a
236.414	2.0	memory	test	test_new	correct	task-memory/obj186mop.png	n/a	n/a
239.132	0.83	memory	test	test_old	correct	task-memory/obj229potato.png	old	n/a
241.983	2.0	memory	test	test_new	correct	task-memory/obj043cage.png	n/a	n/a
244.618	2.0	memory	test	test_new	correct	task-memory/obj146igloo.png	n/a	n/a
247.319	0.782	memory	test	test_old	correct	task-memory/obj250rope.png	old	n/a
250.087	2.0	memory	test	test_new	correct	task-memory/obj110football.png	n/a	n/a
253.038	2.0	memory	test	test_new	correct	task-memory/obj023belt.png	n/a	n/a
255.856	2.0	memory	test	test_new	correct	task-memory/obj072crab.png	n/a	n/a
258.741	2.0	memory	test	test_old	incorrect	task-memory/obj171lizard.png	n/a	n/a
261.359	2.0	memory	test	test_new	correct	task-memory/obj255sailor.png	n/a	n/a
263.944	0.772	memory	test	test_old	correct	task-memory/obj205pan.png	old	n/a
266.828	2.0	memory	test	test_old	incorrect	task-memory/obj324vase.png	n/a	n/a
269.663	2.0	memory	test	test_new	correct	task-memory/obj030bone.png	n/a	n/a
272.381	2.0	memory	test	test_new	correct	task-memory/obj269skateboard.png	n/a	n/a
275.015	0.8	memory	test	test_old	correct	task-memory/obj193needle.png	old	n/a
277.933	2.0	memory	test	test_old	incorrect	task-memory/obj310tractor.png	n/a	n/a
280.551	0.729	memory	test	test_old	correct	task-memory/obj204palmtree.png	old	n/a
283.386	2.0	memory	test	test_new	correct	task-memory/obj306toilet.png	n/a	n/a
286.271	2.0	memory	test	test_old	incorrect	task-memory/obj102finger.png	n/a	n/a
289.289	2.0	memory	test	test_old	incorrect	task-memory/obj228porcupine.png	n/a	n/a
292.207	0.765	memory	test	test_old	correct	task-memory/obj022bell.png	old	n/a
294.741	2.0	memory	test	test_new	correct	task-memory/obj294tank.png	n/a	n/a
297.393	2.0	memory	test	test_new	correct	task-memory/obj017barbecue.png	n/a	n/a
308.481	1.017	memory	dummy	study_dummy	n/a	task-memory/obj028boat.png	n/a	n/a
310.515	1.017	memory	dummy	study_dummy	n/a	task-memory/obj061church.png	n/a	n/a
312.55	1.017	memory	dummy	study_dummy	n/a	task-memory/obj086door.png	n/a	n/a
314.584	1.017	memory	study	study	n/a	task-memory/obj114frog.png	n/a	n/a
316.618	1.017	memory	study	study	n/a	task-memory/obj313trophy.png	n/a	n/a
318.653	1.017	memory	study	study	n/a	task-memory/obj220pineapple.png	n/a	n/a
320.687	1.017	memory	study	study	n/a	task-memory/obj245rocket.png	n/a	n/a
322.721	1.017	memory	study	study	n/a	task-memory/obj175mailbox.png	n/a	n/a
324.755	1.017	memory	study	study	n/a	task-memory/obj026bird.png	n/a	n/a
326.79	1.017	memory	study	study	n/a	task-memory/obj319typewriter.png	n/a	n/a
328.824	1.017	memory	study	study	n/a	task-memory/obj116genie.png	n/a	n/a
330.858	1.017	memory	study	study	n/a	task-memory/obj265shoe.png	n/a	n/a
332.893	1.017	memory	study	study	n/a	task-memory/obj259scarf.png	n/a	n/a
334.927	1.017	memory	study	study	n/a	task-memory/obj132hanger.png	n/a	n/a
336.961	1.017	memory	study	study	n/a	task-memory/obj327volcano.png	n/a	n/a
338.995	1.017	memory	study	study	n/a	task-memory/obj048candle.png	n/a	n/a
341.03	1.017	memory	study	study	n/a	task-memory/obj278snowman.png	n/a	n/a
343.064	1.017	memory	study	study	n/a	task-memory/obj056cheese.png	n/a	n/a
345.098	1.017	memory	study	study	n/a	task-memory/obj119girl.png	n/a	n/a
347.133	1.017	memory	study	study	n/a	task-memory/obj068cork.png	n/a	n/a
349.167	1.034	memory	study	study	n/a	task-memory/obj016banjo.png	n/a	n/a
351.218	1.017	memory	study	study	n/a	task-memory/obj112fountain.png	n/a	n/a
353.269	1.017	memory	study	study	n/a	task-memory/obj165leopard.png	n/a	n/a
355.303	1.017	memory	dummy	study_dummy	n/a	task-memory/obj117ghost.png	n/a	n/a
357.337	1.017	memory	dummy	study_dummy	n/a	task-memory/obj138helmet.png	n/a	n/a
359.372	1.017	memory	dummy	study_dummy	n/a	task-memory/obj201owl.png	n/a	n/a
371.544	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
399.607	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
427.67	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
455.717	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
489.283	1.132	memory	test	test_old	correct	task-memory/obj265shoe.png	old	n/a
492.267	0.638	memory	test	test_new	incorrect	task-memory/obj018barrel.png	old	n/a
495.102	2.0	memory	test	test_new	correct	task-memory/obj067comb.png	n/a	n/a
497.736	2.0	memory	test	test_new	correct	task-memory/obj267shower.png	n/a	n/a
500.288	1.194	memory	test	test_old	correct	task-memory/obj313trophy.png	old	n/a
503.189	1.103	memory	test	test_old	correct	task-memory/obj278snowman.png	old	n/a
506.04	2.0	memory	test	test_new	correct	task-memory/obj040butterfly.png	n/a	n/a
508.725	0.701	memory	test	test_old	correct	task-memory/obj116genie.png	old	n/a
511.593	2.0	memory	test	test_new	correct	task-memory/obj275slingshot.png	n/a	n/a
514.428	0.854	memory	test	test_old	correct	task-memory/obj114frog.png	old	n/a
517.096	0.647	memory	test	test_old	correct	task-memory/obj175mailbox.png	old	n/a
520.08	0.614	memory	test	test_old	correct	task-memory/obj132hanger.png	old	n/a
522.915	0.535	memory	test	test_old	correct	task-memory/obj220pineapple.png	old	n/a
525.449	1.024	memory	test	test_old	correct	task-memory/obj056cheese.png	old	n/a
528.167	2.0	memory	test	test_new	correct	task-memory/obj290sun.png	n/a	n/a
531.002	2.0	memory	test	test_old	incorrect	task-memory/obj048candle.png	n/a	n/a
533.653	2.0	memory	test	test_old	incorrect	task-memory/obj016banjo.png	n/a	n/a
536.238	2.0	memory	test	test_new	correct	task-memory/obj046camera.png	n/a	n/a
538.906	2.0	memory	test	test_new	correct	task-memory/obj096eskimo.png	n/a	n/a
541.84	1.417	memory	test	test_old	correct	task-memory/obj319typewriter.png	old	n/a
544.708	0.771	memory	test	test_old	correct	task-memory/obj165leopard.png	old	n/a
547.593	2.0	memory	test	test_new	correct	task-memory/obj266shovel.png	n/a	n/a
550.611	2.0	memory	test	test_new	correct	task-memory/obj149jacket.png	n/a	n/a
553.363	2.0	memory	test	test_new	correct	task-memory/obj122glove.png	n/a	n/a
556.03	2.0	memory	test	test_new	correct	task-memory/obj323vacuum.png	n/a	n/a
558.665	1.118	memory	test	test_old	correct	task-memory/obj259scarf.png	old	n/a
561.4	2.0	memory	test	test_new	correct	task-memory/obj057cherry.png	n/a	n/a
564.051	2.0	memory	test	test_new	correct	task-memory/obj180medal.png	n/a	n/a
566.869	2.0	memory	test	test_old	incorrect	task-memory/obj245rocket.png	n/a	n/a
569.503	2.0	memory	test	test_new	correct	task-memory/obj093egg.png	n/a	n/a
572.405	2.0	memory	test	test_old	incorrect	task-memory/obj068cork.png	n/a	n/a
575.123	0.747	memory	test	test_old	correct	task-memory/obj327volcano.png	old	n/a
577.891	2.0	memory	test	test_new	correct	task-memory/obj246rockingchair.png	n/a	n/a
580.575	2.0	memory	test	test_new	correct	task-memory/obj134hat.png	n/a	n/a
583.443	2.0	memory	test	test_new	correct	task-memory/obj234queen.png	n/a	n/a
586.461	2.0	memory	test	test_new	correct	task-memory/obj257saw.png	n/a	n/a
589.379	2.0	memory	test	test_old	incorrect	task-memory/obj112fountain.png	n/a	n/a
592.281	2.0	memory	test	test_old	incorrect	task-memory/obj119girl.png	n/a	n/a
595.216	2.0	memory	test	test_new	correct	task-memory/obj157knife.png	n/a	n/a
598.15	2.0	memory	test	test_old	incorrect	task-memory/obj026bird.png	n/a	n/a
