onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file
7.812	15.325	narrative_presentation	n/a	n/a	Necessity of sacrificing loved ones	town	Audio	task-narratives/Narrative8Situation1.mp3
23.137	3.65	rating_feeling	786	516	Necessity of sacrificing loved ones	town	Audio	n/a
24.587	2.2	feeling_mouse_trajectory	786	516	Necessity of sacrificing loved ones	town	Audio	n/a
27.196	0.019	rating_expectation	960	707	Necessity of sacrificing loved ones	town	Audio	n/a
27.246	-0.031	expectation_mouse_trajectory	960	707	Necessity of sacrificing loved ones	town	Audio	n/a
34.384	8.787	narrative_presentation	n/a	n/a	Abduction	town	Audio	task-narratives/Narrative8Situation2.mp3
43.171	2.176	rating_feeling	727	509	Abduction	town	Audio	n/a
43.837	1.509	feeling_mouse_trajectory	727	509	Abduction	town	Audio	n/a
47.203	3.535	rating_expectation	754	478	Abduction	town	Audio	n/a
47.969	2.768	expectation_mouse_trajectory	754	478	Abduction	town	Audio	n/a
55.275	22.149	narrative_presentation	n/a	n/a	Adultery	town	Audio	task-narratives/Narrative8Situation3.mp3
77.424	2.185	rating_feeling	749	435	Adultery	town	Audio	n/a
77.991	1.618	feeling_mouse_trajectory	749	435	Adultery	town	Audio	n/a
81.45	3.767	rating_expectation	708	417	Adultery	town	Audio	n/a
82.2	3.017	expectation_mouse_trajectory	708	417	Adultery	town	Audio	n/a
88.521	12.616	narrative_presentation	n/a	n/a	Obtaining	city	Audio	task-narratives/Narrative8Situation4.mp3
101.137	3.971	rating_feeling	1020	490	Obtaining	city	Audio	n/a
101.82	3.288	feeling_mouse_trajectory	1020	490	Obtaining	city	Audio	n/a
105.16	3.983	rating_expectation	972	488	Obtaining	city	Audio	n/a
106.11	3.033	expectation_mouse_trajectory	972	488	Obtaining	city	Audio	n/a
111.235	6.611	narrative_presentation	n/a	n/a	Supplication	city	Audio	task-narratives/Narrative8Situation5.mp3
117.846	3.367	rating_feeling	973	450	Supplication	city	Audio	n/a
118.729	2.483	feeling_mouse_trajectory	973	450	Supplication	city	Audio	n/a
121.866	2.783	rating_expectation	895	399	Supplication	city	Audio	n/a
121.95	2.7	expectation_mouse_trajectory	895	399	Supplication	city	Audio	n/a
127.952	5.993	narrative_presentation	n/a	n/a	Rivalry of kin	city	Audio	task-narratives/Narrative8Situation6.mp3
133.945	3.6	rating_feeling	1019	419	Rivalry of kin	city	Audio	n/a
134.278	3.267	feeling_mouse_trajectory	1019	419	Rivalry of kin	city	Audio	n/a
137.97	3.95	rating_expectation	863	420	Rivalry of kin	city	Audio	n/a
138.77	3.15	expectation_mouse_trajectory	863	420	Rivalry of kin	city	Audio	n/a
145.041	10.777	narrative_presentation	n/a	n/a	Recovery of a lost one	beach	Audio	task-narratives/Narrative8Situation7.mp3
155.818	3.783	rating_feeling	1051	388	Recovery of a lost one	beach	Audio	n/a
156.885	2.717	feeling_mouse_trajectory	1051	388	Recovery of a lost one	beach	Audio	n/a
159.844	3.952	rating_expectation	1041	352	Recovery of a lost one	beach	Audio	n/a
160.611	3.185	expectation_mouse_trajectory	1041	352	Recovery of a lost one	beach	Audio	n/a
166.9	11.286	narrative_presentation	n/a	n/a	Rivalry of superior versus inferior	beach	Audio	task-narratives/Narrative8Situation8.mp3
178.186	3.517	rating_feeling	834	371	Rivalry of superior versus inferior	beach	Audio	n/a
178.819	2.883	feeling_mouse_trajectory	834	371	Rivalry of superior versus inferior	beach	Audio	n/a
182.227	3.983	rating_expectation	777	334	Rivalry of superior versus inferior	beach	Audio	n/a
183.31	2.9	expectation_mouse_trajectory	777	334	Rivalry of superior versus inferior	beach	Audio	n/a
189.308	10.11	narrative_presentation	n/a	n/a	Slaying of kin unrecognized	beach	Audio	task-narratives/Narrative8Situation9.mp3
199.419	3.983	rating_feeling	962	345	Slaying of kin unrecognized	beach	Audio	n/a
199.985	3.417	feeling_mouse_trajectory	962	345	Slaying of kin unrecognized	beach	Audio	n/a
203.444	2.25	rating_expectation	982	348	Slaying of kin unrecognized	beach	Audio	n/a
203.478	2.217	expectation_mouse_trajectory	982	348	Slaying of kin unrecognized	beach	Audio	n/a
209.516	54.286	narrative_presentation	n/a	n/a	Deliverance	prison	Audio	task-narratives/Narrative7Situation1.mp3
263.802	2.55	rating_feeling	813	399	Deliverance	prison	Audio	n/a
264.585	1.767	feeling_mouse_trajectory	813	399	Deliverance	prison	Audio	n/a
267.835	2.6	rating_expectation	860	377	Deliverance	prison	Audio	n/a
268.869	1.567	expectation_mouse_trajectory	860	377	Deliverance	prison	Audio	n/a
274.907	5.946	narrative_presentation	n/a	n/a	Adultery	prison	Audio	task-narratives/Narrative7Situation2.mp3
280.852	2.517	rating_feeling	804	380	Adultery	prison	Audio	n/a
281.719	1.65	feeling_mouse_trajectory	804	380	Adultery	prison	Audio	n/a
284.877	3.967	rating_expectation	841	352	Adultery	prison	Audio	n/a
286.677	2.167	expectation_mouse_trajectory	841	352	Adultery	prison	Audio	n/a
296.933	7.444	narrative_presentation	n/a	n/a	Pursuit	prison	Audio	task-narratives/Narrative7Situation3.mp3
304.376	3.95	rating_feeling	892	387	Pursuit	prison	Audio	n/a
306.043	2.283	feeling_mouse_trajectory	892	387	Pursuit	prison	Audio	n/a
308.401	2.2	rating_expectation	864	388	Pursuit	prison	Audio	n/a
308.434	2.167	expectation_mouse_trajectory	864	388	Pursuit	prison	Audio	n/a
315.456	11.481	narrative_presentation	n/a	n/a	Conflict with a god	park	Audio	task-narratives/Narrative7Situation4.mp3
326.937	3.767	rating_feeling	940	369	Conflict with a god	park	Audio	n/a
327.853	2.85	feeling_mouse_trajectory	940	369	Conflict with a god	park	Audio	n/a
330.961	2.817	rating_expectation	902	367	Conflict with a god	park	Audio	n/a
330.994	2.783	expectation_mouse_trajectory	902	367	Conflict with a god	park	Audio	n/a
340.015	7.989	narrative_presentation	n/a	n/a	Recovery of a lost one	park	Audio	task-narratives/Narrative7Situation5.mp3
348.004	3.667	rating_feeling	1019	353	Recovery of a lost one	park	Audio	n/a
348.888	2.783	feeling_mouse_trajectory	1019	353	Recovery of a lost one	park	Audio	n/a
352.034	2.85	rating_expectation	1035	377	Recovery of a lost one	park	Audio	n/a
353.167	1.717	expectation_mouse_trajectory	1035	377	Recovery of a lost one	park	Audio	n/a
359.106	8.782	narrative_presentation	n/a	n/a	Supplication	park	Audio	task-narratives/Narrative7Situation6.mp3
367.888	3.95	rating_feeling	1011	369	Supplication	park	Audio	n/a
368.771	3.067	feeling_mouse_trajectory	1011	369	Supplication	park	Audio	n/a
371.911	3.767	rating_expectation	976	359	Supplication	park	Audio	n/a
372.044	3.633	expectation_mouse_trajectory	976	359	Supplication	park	Audio	n/a
380.964	16.648	narrative_presentation	n/a	n/a	Involuntary crimes of love	hospital	Audio	task-narratives/Narrative7Situation7.mp3
397.612	3.917	rating_feeling	913	379	Involuntary crimes of love	hospital	Audio	n/a
398.445	3.083	feeling_mouse_trajectory	913	379	Involuntary crimes of love	hospital	Audio	n/a
401.645	2.55	rating_expectation	883	366	Involuntary crimes of love	hospital	Audio	n/a
402.511	1.683	expectation_mouse_trajectory	883	366	Involuntary crimes of love	hospital	Audio	n/a
407.724	8.785	narrative_presentation	n/a	n/a	An enemy loved	hospital	Audio	task-narratives/Narrative7Situation8.mp3
416.509	3.267	rating_feeling	854	343	An enemy loved	hospital	Audio	n/a
417.426	2.35	feeling_mouse_trajectory	854	343	An enemy loved	hospital	Audio	n/a
420.528	2.817	rating_expectation	911	359	An enemy loved	hospital	Audio	n/a
421.561	1.783	expectation_mouse_trajectory	911	359	An enemy loved	hospital	Audio	n/a
426.581	7.976	narrative_presentation	n/a	n/a	Ambition	hospital	Audio	task-narratives/Narrative7Situation9.mp3
434.556	3.517	rating_feeling	989	355	Ambition	hospital	Audio	n/a
435.973	2.1	feeling_mouse_trajectory	989	355	Ambition	hospital	Audio	n/a
438.583	3.117	rating_expectation	900	335	Ambition	hospital	Audio	n/a
439.6	2.1	expectation_mouse_trajectory	900	335	Ambition	hospital	Audio	n/a
