onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	button_press	trial_index
8.165	0.2	posner	invalid_cue	correct	right	n/a	n/a	1
8.399	0.724	posner	target_response	correct	right	left	left	1
12.534	0.2	posner	invalid_cue	correct	left	n/a	n/a	2
12.734	0.578	posner	target_response	correct	left	right	right	2
20.02	0.2	posner	invalid_cue	correct	left	n/a	n/a	3
20.22	0.657	posner	target_response	correct	left	right	right	3
27.489	0.2	posner	valid_cue	correct	left	n/a	n/a	4
27.689	0.836	posner	target_response	correct	left	left	left	4
30.657	0.2	posner	valid_cue	correct	left	n/a	n/a	5
30.857	0.783	posner	target_response	correct	left	left	left	5
34.542	0.2	posner	valid_cue	correct	right	n/a	n/a	6
34.742	0.483	posner	target_response	correct	right	right	right	6
38.11	0.2	posner	invalid_cue	correct	left	n/a	n/a	7
38.31	0.537	posner	target_response	correct	left	right	right	7
41.478	0.2	posner	valid_cue	correct	left	n/a	n/a	8
41.678	0.634	posner	target_response	correct	left	left	left	8
45.346	0.2	posner	valid_cue	correct	right	n/a	n/a	9
45.546	0.429	posner	target_response	correct	right	right	right	9
52.815	0.2	posner	valid_cue	correct	right	n/a	n/a	10
53.015	0.512	posner	target_response	correct	right	right	right	10
55.983	0.2	posner	valid_cue	correct	right	n/a	n/a	11
56.183	0.491	posner	target_response	correct	right	right	right	11
63.453	0.2	posner	invalid_cue	correct	right	n/a	n/a	12
63.653	0.539	posner	target_response	correct	right	left	left	12
66.62	0.2	posner	invalid_cue	correct	left	n/a	n/a	13
66.82	0.548	posner	target_response	correct	left	right	right	13
69.888	0.2	posner	valid_cue	correct	right	n/a	n/a	14
70.088	0.464	posner	target_response	correct	right	right	right	14
77.158	0.2	posner	valid_cue	correct	right	n/a	n/a	15
77.358	0.411	posner	target_response	correct	right	right	right	15
84.627	0.2	posner	valid_cue	correct	right	n/a	n/a	16
84.827	0.639	posner	target_response	correct	right	right	right	16
88.495	0.2	posner	invalid_cue	correct	right	n/a	n/a	17
88.695	0.627	posner	target_response	correct	right	left	left	17
95.965	0.2	posner	invalid_cue	correct	left	n/a	n/a	18
96.165	0.577	posner	target_response	correct	left	right	right	18
104.318	0.2	posner	valid_cue	correct	left	n/a	n/a	19
104.518	0.619	posner	target_response	correct	left	left	left	19
110.887	0.2	posner	valid_cue	correct	right	n/a	n/a	20
111.087	0.46	posner	target_response	correct	right	right	right	20
118.356	0.2	posner	valid_cue	correct	right	n/a	n/a	21
118.556	0.482	posner	target_response	correct	right	right	right	21
122.124	0.2	posner	invalid_cue	correct	left	n/a	n/a	22
122.324	0.563	posner	target_response	correct	left	right	right	22
125.892	0.2	posner	invalid_cue	correct	left	n/a	n/a	23
126.093	0.506	posner	target_response	correct	left	right	right	23
128.96	0.2	posner	invalid_cue	correct	right	n/a	n/a	24
129.16	0.543	posner	target_response	correct	right	left	left	24
136.03	0.2	posner	valid_cue	correct	left	n/a	n/a	25
136.23	0.589	posner	target_response	correct	left	left	left	25
140.798	0.2	posner	valid_cue	correct	left	n/a	n/a	26
140.998	0.446	posner	target_response	correct	left	left	left	26
144.966	0.2	posner	valid_cue	correct	left	n/a	n/a	27
145.166	0.489	posner	target_response	correct	left	left	left	27
152.736	0.2	posner	invalid_cue	correct	right	n/a	n/a	28
152.936	0.642	posner	target_response	correct	right	left	left	28
156.204	0.2	posner	valid_cue	correct	right	n/a	n/a	29
156.404	0.552	posner	target_response	correct	right	right	right	29
161.773	0.2	posner	invalid_cue	correct	left	n/a	n/a	30
161.973	0.595	posner	target_response	correct	left	right	right	30
165.24	0.2	posner	invalid_cue	correct	left	n/a	n/a	31
165.441	0.523	posner	target_response	correct	left	right	right	31
168.508	0.2	posner	valid_cue	correct	right	n/a	n/a	32
168.708	0.006	posner	target_response	correct	right	right	right	32
172.677	0.2	posner	valid_cue	correct	right	n/a	n/a	33
172.877	0.009	posner	target_response	correct	right	right	right	33
179.846	0.2	posner	invalid_cue	correct	left	n/a	n/a	34
180.046	0.603	posner	target_response	correct	left	right	right	34
182.914	0.2	posner	invalid_cue	correct	right	n/a	n/a	35
183.114	0.716	posner	target_response	correct	right	left	left	35
186.382	0.2	posner	invalid_cue	correct	right	n/a	n/a	36
186.582	0.535	posner	target_response	correct	right	left	left	36
189.349	0.2	posner	valid_cue	correct	right	n/a	n/a	37
189.55	0.475	posner	target_response	correct	right	right	right	37
194.918	0.2	posner	valid_cue	correct	left	n/a	n/a	38
195.118	0.459	posner	target_response	correct	left	left	left	38
202.388	0.2	posner	valid_cue	correct	left	n/a	n/a	39
202.588	0.476	posner	target_response	correct	left	left	left	39
209.257	0.2	posner	valid_cue	correct	right	n/a	n/a	40
209.457	0.63	posner	target_response	correct	right	right	right	40
213.425	0.2	posner	valid_cue	correct	right	n/a	n/a	41
213.625	0.517	posner	target_response	correct	right	right	right	41
219.794	0.2	posner	valid_cue	correct	left	n/a	n/a	42
219.994	0.435	posner	target_response	correct	left	left	left	42
227.264	0.2	posner	valid_cue	correct	right	n/a	n/a	43
227.464	0.465	posner	target_response	correct	right	right	right	43
230.531	0.2	posner	invalid_cue	correct	left	n/a	n/a	44
230.732	0.534	posner	target_response	correct	left	right	right	44
234.9	0.2	posner	invalid_cue	correct	left	n/a	n/a	45
235.1	0.541	posner	target_response	correct	left	right	right	45
243.17	0.2	posner	invalid_cue	correct	right	n/a	n/a	46
243.37	0.536	posner	target_response	correct	right	left	left	46
249.238	0.2	posner	invalid_cue	correct	right	n/a	n/a	47
249.439	0.562	posner	target_response	correct	right	left	left	47
252.206	0.2	posner	valid_cue	correct	left	n/a	n/a	48
252.406	0.493	posner	target_response	correct	left	left	left	48
257.375	0.2	posner	valid_cue	correct	left	n/a	n/a	49
257.575	0.005	posner	target_response	correct	left	left	left	49
264.544	0.2	posner	valid_cue	correct	left	n/a	n/a	50
264.744	0.382	posner	target_response	correct	left	left	left	50
270.513	0.2	posner	invalid_cue	correct	left	n/a	n/a	51
270.713	0.538	posner	target_response	correct	left	right	right	51
277.983	0.2	posner	valid_cue	correct	right	n/a	n/a	52
278.183	0.395	posner	target_response	correct	right	right	right	52
282.551	0.2	posner	invalid_cue	correct	left	n/a	n/a	53
282.751	0.501	posner	target_response	correct	left	right	right	53
290.02	0.2	posner	valid_cue	correct	right	n/a	n/a	54
290.22	0.602	posner	target_response	correct	right	right	right	54
293.588	0.2	posner	valid_cue	correct	right	n/a	n/a	55
293.788	1.155	posner	target_response	correct	right	right	right	55
297.056	0.2	posner	valid_cue	correct	right	n/a	n/a	56
297.256	0.444	posner	target_response	correct	right	right	right	56
303.225	0.2	posner	valid_cue	correct	right	n/a	n/a	57
303.425	0.493	posner	target_response	correct	right	right	right	57
307.494	0.2	posner	valid_cue	correct	right	n/a	n/a	58
307.694	0.519	posner	target_response	correct	right	right	right	58
310.561	0.2	posner	invalid_cue	correct	right	n/a	n/a	59
310.761	0.653	posner	target_response	correct	right	left	left	59
314.429	0.2	posner	invalid_cue	correct	left	n/a	n/a	60
314.63	0.831	posner	target_response	correct	left	right	right	60
318.798	0.2	posner	invalid_cue	correct	right	n/a	n/a	61
318.998	0.644	posner	target_response	correct	right	left	left	61
322.266	0.2	posner	invalid_cue	correct	left	n/a	n/a	62
322.466	0.709	posner	target_response	correct	left	right	right	62
329.735	0.2	posner	valid_cue	correct	right	n/a	n/a	63
329.935	0.717	posner	target_response	correct	right	right	right	63
332.803	0.2	posner	invalid_cue	correct	left	n/a	n/a	64
333.003	0.742	posner	target_response	correct	left	right	right	64
340.272	0.2	posner	invalid_cue	correct	right	n/a	n/a	65
340.472	0.627	posner	target_response	correct	right	left	left	65
345.541	0.2	posner	invalid_cue	correct	right	n/a	n/a	66
345.741	0.515	posner	target_response	correct	right	left	left	66
348.609	0.2	posner	invalid_cue	correct	right	n/a	n/a	67
348.809	0.604	posner	target_response	correct	right	left	left	67
352.377	0.2	posner	invalid_cue	correct	right	n/a	n/a	68
352.577	0.645	posner	target_response	correct	right	left	left	68
357.646	0.2	posner	invalid_cue	correct	left	n/a	n/a	69
357.846	0.764	posner	target_response	correct	left	right	right	69
361.714	0.2	posner	valid_cue	correct	left	n/a	n/a	70
361.914	0.654	posner	target_response	correct	left	left	left	70
365.382	0.2	posner	valid_cue	correct	left	n/a	n/a	71
365.582	0.503	posner	target_response	correct	left	left	left	71
370.75	0.2	posner	invalid_cue	correct	right	n/a	n/a	72
370.951	0.593	posner	target_response	correct	right	left	left	72
378.22	0.2	posner	valid_cue	correct	right	n/a	n/a	73
378.42	0.495	posner	target_response	correct	right	right	right	73
381.488	0.2	posner	invalid_cue	correct	right	n/a	n/a	74
381.688	0.668	posner	target_response	correct	right	left	left	74
385.356	0.2	posner	valid_cue	correct	right	n/a	n/a	75
385.556	0.671	posner	target_response	correct	right	right	right	75
391.325	0.2	posner	valid_cue	correct	left	n/a	n/a	76
391.525	0.47	posner	target_response	correct	left	left	left	76
394.293	0.2	posner	valid_cue	correct	left	n/a	n/a	77
394.493	0.642	posner	target_response	correct	left	left	left	77
397.36	0.2	posner	valid_cue	correct	right	n/a	n/a	78
397.56	0.86	posner	target_response	correct	right	right	right	78
401.329	0.2	posner	valid_cue	correct	right	n/a	n/a	79
401.529	0.974	posner	target_response	correct	right	right	right	79
405.397	0.2	posner	valid_cue	correct	left	n/a	n/a	80
405.597	0.56	posner	target_response	correct	left	left	left	80
408.565	0.2	posner	valid_cue	correct	left	n/a	n/a	81
408.765	0.392	posner	target_response	correct	left	left	left	81
411.732	0.2	posner	valid_cue	correct	left	n/a	n/a	82
411.932	0.47	posner	target_response	correct	left	left	left	82
415.2	0.2	posner	valid_cue	correct	left	n/a	n/a	83
415.4	0.331	posner	target_response	correct	left	left	left	83
420.369	0.2	posner	invalid_cue	correct	left	n/a	n/a	84
420.569	0.742	posner	target_response	correct	left	right	right	84
427.838	0.2	posner	invalid_cue	correct	right	n/a	n/a	85
428.038	0.708	posner	target_response	correct	right	left	left	85
434.307	0.2	posner	invalid_cue	correct	right	n/a	n/a	86
434.508	0.47	posner	target_response	correct	right	left	left	86
437.375	0.2	posner	invalid_cue	correct	right	n/a	n/a	87
437.575	0.517	posner	target_response	correct	right	left	left	87
445.745	0.2	posner	valid_cue	correct	left	n/a	n/a	88
445.945	0.479	posner	target_response	correct	left	left	left	88
450.313	0.2	posner	invalid_cue	correct	right	n/a	n/a	89
450.514	0.487	posner	target_response	correct	right	left	left	89
456.482	0.2	posner	valid_cue	correct	left	n/a	n/a	90
456.682	0.463	posner	target_response	correct	left	left	left	90
461.651	0.2	posner	invalid_cue	correct	left	n/a	n/a	91
461.851	0.69	posner	target_response	correct	left	right	right	91
465.819	0.2	posner	valid_cue	correct	left	n/a	n/a	92
466.019	0.679	posner	target_response	correct	left	left	left	92
469.087	0.2	posner	valid_cue	correct	left	n/a	n/a	93
469.287	0.532	posner	target_response	correct	left	left	left	93
475.456	0.2	posner	valid_cue	correct	right	n/a	n/a	94
475.656	0.787	posner	target_response	correct	right	right	right	94
482.025	0.2	posner	invalid_cue	correct	left	n/a	n/a	95
482.225	0.839	posner	target_response	correct	left	right	right	95
485.293	0.2	posner	valid_cue	correct	left	n/a	n/a	96
485.493	0.757	posner	target_response	correct	left	left	left	96
489.862	0.2	posner	invalid_cue	correct	right	n/a	n/a	97
490.062	0.758	posner	target_response	correct	right	left	left	97
493.129	0.2	posner	valid_cue	correct	left	n/a	n/a	98
493.329	0.561	posner	target_response	correct	left	left	left	98
500.599	0.2	posner	invalid_cue	correct	right	n/a	n/a	99
500.799	0.699	posner	target_response	correct	right	left	left	99
506.168	0.2	posner	valid_cue	correct	left	n/a	n/a	100
506.368	0.58	posner	target_response	correct	left	left	left	100
509.536	0.2	posner	invalid_cue	correct	right	n/a	n/a	101
509.736	0.465	posner	target_response	correct	right	left	left	101
512.703	0.2	posner	valid_cue	correct	right	n/a	n/a	102
512.903	0.651	posner	target_response	correct	right	right	right	102
516.672	0.2	posner	invalid_cue	correct	left	n/a	n/a	103
516.872	0.624	posner	target_response	correct	left	right	right	103
520.24	0.2	posner	valid_cue	correct	left	n/a	n/a	104
520.44	0.7	posner	target_response	correct	left	left	left	104
523.808	0.2	posner	invalid_cue	correct	right	n/a	n/a	105
524.008	0.675	posner	target_response	correct	right	left	left	105
527.175	0.2	posner	invalid_cue	correct	right	n/a	n/a	106
527.376	0.535	posner	target_response	correct	right	left	left	106
530.343	0.2	posner	invalid_cue	correct	right	n/a	n/a	107
530.543	0.858	posner	target_response	correct	right	left	left	107
534.311	0.2	posner	invalid_cue	correct	left	n/a	n/a	108
534.512	0.879	posner	target_response	correct	left	right	right	108
537.979	0.2	posner	invalid_cue	correct	left	n/a	n/a	109
538.18	0.591	posner	target_response	correct	left	right	right	109
545.432	0.2	posner	invalid_cue	correct	right	n/a	n/a	110
545.632	0.678	posner	target_response	correct	right	left	left	110
550.001	0.2	posner	valid_cue	correct	left	n/a	n/a	111
550.201	0.394	posner	target_response	correct	left	left	left	111
554.569	0.2	posner	invalid_cue	correct	left	n/a	n/a	112
554.769	0.637	posner	target_response	correct	left	right	right	112
557.837	0.2	posner	invalid_cue	correct	left	n/a	n/a	113
558.037	1.021	posner	target_response	correct	left	right	right	113
561.105	0.2	posner	invalid_cue	correct	left	n/a	n/a	114
561.305	0.681	posner	target_response	correct	left	right	right	114
567.274	0.2	posner	valid_cue	correct	right	n/a	n/a	115
567.474	0.65	posner	target_response	correct	right	right	right	115
575.043	0.2	posner	invalid_cue	correct	right	n/a	n/a	116
575.243	1.118	posner	target_response	correct	right	left	left	116
582.513	0.2	posner	valid_cue	correct	right	n/a	n/a	117
582.713	0.873	posner	target_response	correct	right	right	right	117
589.482	0.2	posner	invalid_cue	correct	left	n/a	n/a	118
589.682	0.705	posner	target_response	correct	left	right	right	118
596.051	0.2	posner	invalid_cue	incorrect	left	n/a	n/a	119
596.251	n/a	posner	target_response	incorrect	left	right	n/a	119
599.219	0.2	posner	valid_cue	correct	left	n/a	n/a	120
599.419	0.657	posner	target_response	correct	left	left	left	120
