onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	participant_response	reaction_time
557.5	0.804	memory	test	test_new	correct	task-memory/obj291swing.png	new	n/a
560.367	0.653	memory	test	test_new	correct	task-memory/obj219pillow.png	new	n/a
563.118	0.651	memory	test	test_new	correct	task-memory/obj032boot.png	new	n/a
565.953	0.83	memory	test	test_old	correct	task-memory/obj220pineapple.png	old	n/a
568.82	0.736	memory	test	test_old	correct	task-memory/obj300thermos.png	old	n/a
571.805	0.684	memory	test	test_new	correct	task-memory/obj100feather.png	new	n/a
574.823	0.894	memory	test	test_old	correct	task-memory/obj276snail.png	old	n/a
577.59	0.774	memory	test	test_old	correct	task-memory/obj259scarf.png	old	n/a
580.625	1.039	memory	test	test_new	correct	task-memory/obj296telephone.png	new	n/a
583.209	1.304	memory	test	test_old	correct	task-memory/obj158knight.png	old	n/a
585.893	1.244	memory	test	test_new	correct	task-memory/obj065clown.png	new	n/a
588.761	0.83	memory	test	test_old	correct	task-memory/obj261scorpion.png	old	n/a
591.412	1.038	memory	test	test_new	correct	task-memory/obj303tiger.png	new	n/a
594.113	0.774	memory	test	test_new	correct	task-memory/obj266shovel.png	new	n/a
596.931	1.436	memory	test	test_new	correct	task-memory/obj346yoyo.png	new	n/a
599.815	0.793	memory	test	test_old	correct	task-memory/obj057cherry.png	old	n/a
