onset	duration	question	event_type	participant_response	normative_response	response_accuracy	stim_file
127.12156009674072	0.534290075302124	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_443.jpg
127.95521998405457	0.6515200138092041	self-protection?	why_hand	no	no	correct	task-tomspunt/H_532.jpg
138.04261016845703	0.7017598152160645	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_581.jpg
139.0596899986267	0.5684800148010254	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_349.jpg
139.94338011741638	0.5797200202941895	both hands?	how_hand	no	no	correct	task-tomspunt/H_159.jpg
140.82706999778748	0.5186901092529297	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_111.jpg
141.6607301235199	0.584669828414917	both hands?	how_hand	no	no	correct	task-tomspunt/H_627.jpg
142.56110000610352	0.5117800235748291	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_167.jpg
143.37809014320374	0.7685399055480957	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_027.jpg
144.46186017990112	0.7354598045349121	both hands?	how_hand	no	no	correct	task-tomspunt/H_091.jpg
155.8331000804901	0.8514299392700195	competing?	why_hand	yes	yes	correct	task-tomspunt/H_170.jpg
157.00023007392883	0.518589973449707	competing?	why_hand	yes	yes	correct	task-tomspunt/H_132.jpg
157.833899974823	0.6890501976013184	competing?	why_hand	yes	no	incorrect	task-tomspunt/H_126.jpg
158.83430004119873	0.4885900020599365	competing?	why_hand	yes	yes	correct	task-tomspunt/H_003.jpg
159.6346299648285	0.6389100551605225	competing?	why_hand	no	no	correct	task-tomspunt/H_502.jpg
160.5850100517273	0.7045600414276123	competing?	why_hand	yes	yes	correct	task-tomspunt/H_136.jpg
161.60208010673523	0.5846199989318848	competing?	why_hand	no	no	correct	task-tomspunt/H_483.jpg
162.50244998931885	0.48713016510009766	competing?	why_hand	yes	yes	correct	task-tomspunt/H_261.jpg
173.7236201763153	0.5497899055480957	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg
174.573970079422	0.66798996925354	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg
175.5576901435852	0.5490000247955322	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_136.jpg
176.4080400466919	0.7494001388549805	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_189.jpg
