onset	duration	trial_type	response_value	stim_file_TODO
2.781	51.942	video	n/a	task-alignvideo/ses-01_run-01_order-01_content-idiots.mp4
59.305	n/a	rating_relevance	n/a	task-alignvideo/ses-01_run-01_order-01_content-idiots.mp4
64.34	n/a	rating_happy	n/a	task-alignvideo/ses-01_run-01_order-01_content-idiots.mp4
69.376	n/a	rating_sad	n/a	task-alignvideo/ses-01_run-01_order-01_content-idiots.mp4
74.227	4.334	rating_afraid	4.17	task-alignvideo/ses-01_run-01_order-01_content-idiots.mp4
77.028	2.109	rating_disgusted	1.35	task-alignvideo/ses-01_run-01_order-01_content-idiots.mp4
84.448	n/a	rating_warm	n/a	task-alignvideo/ses-01_run-01_order-01_content-idiots.mp4
89.483	n/a	rating_engaged	n/a	task-alignvideo/ses-01_run-01_order-01_content-idiots.mp4
90.073	198.201	video	n/a	task-alignvideo/ses-01_run-01_order-02_content-wanderers.mp4
291.375	3.065	rating_relevance	3.54	task-alignvideo/ses-01_run-01_order-02_content-wanderers.mp4
295.893	2.567	rating_happy	2.6	task-alignvideo/ses-01_run-01_order-02_content-wanderers.mp4
301.946	3.601	rating_sad	28.75	task-alignvideo/ses-01_run-01_order-02_content-wanderers.mp4
305.63	2.267	rating_afraid	7.81	task-alignvideo/ses-01_run-01_order-02_content-wanderers.mp4
310.716	2.333	rating_disgusted	8.23	task-alignvideo/ses-01_run-01_order-02_content-wanderers.mp4
315.484	2.089	rating_warm	8.65	task-alignvideo/ses-01_run-01_order-02_content-wanderers.mp4
322.12	3.704	rating_engaged	14.9	task-alignvideo/ses-01_run-01_order-02_content-wanderers.mp4
323.471	60.886	video	n/a	task-alignvideo/ses-01_run-01_order-03_content-lioncubs.mp4
388.911	n/a	rating_relevance	n/a	task-alignvideo/ses-01_run-01_order-03_content-lioncubs.mp4
393.947	n/a	rating_happy	n/a	task-alignvideo/ses-01_run-01_order-03_content-lioncubs.mp4
398.982	n/a	rating_sad	n/a	task-alignvideo/ses-01_run-01_order-03_content-lioncubs.mp4
402.25	2.75	rating_afraid	29.27	task-alignvideo/ses-01_run-01_order-03_content-lioncubs.mp4
406.385	1.871	rating_disgusted	1.88	task-alignvideo/ses-01_run-01_order-03_content-lioncubs.mp4
412.854	3.32	rating_warm	68.12	task-alignvideo/ses-01_run-01_order-03_content-lioncubs.mp4
417.972	3.418	rating_engaged	65.0	task-alignvideo/ses-01_run-01_order-03_content-lioncubs.mp4
419.596	38.761	video	n/a	task-alignvideo/ses-01_run-01_order-04_content-parkour.mp4
462.906	n/a	rating_relevance	n/a	task-alignvideo/ses-01_run-01_order-04_content-parkour.mp4
467.941	n/a	rating_happy	n/a	task-alignvideo/ses-01_run-01_order-04_content-parkour.mp4
470.742	2.283	rating_sad	3.85	task-alignvideo/ses-01_run-01_order-04_content-parkour.mp4
476.994	3.517	rating_afraid	64.17	task-alignvideo/ses-01_run-01_order-04_content-parkour.mp4
480.429	1.933	rating_disgusted	4.17	task-alignvideo/ses-01_run-01_order-04_content-parkour.mp4
486.281	2.766	rating_warm	46.56	task-alignvideo/ses-01_run-01_order-04_content-parkour.mp4
491.283	2.75	rating_engaged	63.44	task-alignvideo/ses-01_run-01_order-04_content-parkour.mp4
