onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
439.641	2.168	rating	10.14	Moderate	likeability	n/a	n/a
440.324	1.484	rating_mouse_trajectory	10.14	Moderate	likeability	n/a	n/a
444.742	5.553	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
450.362	2.118	rating	11.13	Moderate	likeability	n/a	n/a
450.878	1.601	rating_mouse_trajectory	11.13	Moderate	likeability	n/a	n/a
455.397	3.191	cue	n/a	n/a	similarity	n/a	n/a
458.588	6.682	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
465.334	1.37	rating	0.0	No sensation	similarity	n/a	n/a
465.85	0.853	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
470.442	6.846	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
477.355	2.051	rating	124.97	Strongest possible	similarity	n/a	n/a
477.738	1.668	rating_mouse_trajectory	124.97	Strongest possible	similarity	n/a	n/a
482.497	5.123	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
487.692	1.668	rating	0.0	No sensation	similarity	n/a	n/a
488.225	1.134	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
492.711	3.137	cue	n/a	n/a	mentalizing	calm	n/a
495.848	6.84	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
502.748	3.339	rating	155.62	Strongest possible	mentalizing	calm	n/a
503.614	2.473	rating_mouse_trajectory	155.62	Strongest possible	mentalizing	calm	n/a
507.857	5.048	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
512.968	2.336	rating	17.21	Moderate	mentalizing	calm	n/a
513.318	1.986	rating_mouse_trajectory	17.21	Moderate	mentalizing	calm	n/a
518.038	5.799	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
523.889	1.567	rating	173.66	Strongest possible	mentalizing	calm	n/a
524.256	1.201	rating_mouse_trajectory	173.66	Strongest possible	mentalizing	calm	n/a
528.907	3.125	cue	n/a	n/a	likeability	n/a	n/a
532.032	6.196	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
538.294	1.784	rating	99.59	Strongest possible	likeability	n/a	n/a
538.894	1.184	rating_mouse_trajectory	99.59	Strongest possible	likeability	n/a	n/a
543.41	5.561	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
549.032	2.056	rating	11.81	Moderate	likeability	n/a	n/a
549.482	1.606	rating_mouse_trajectory	11.81	Moderate	likeability	n/a	n/a
554.161	5.109	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
559.335	1.502	rating	0.0	No sensation	likeability	n/a	n/a
559.785	1.052	rating_mouse_trajectory	0.0	No sensation	likeability	n/a	n/a
564.354	3.114	cue	n/a	n/a	mentalizing	enjoy	n/a
567.468	5.39	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
572.924	3.301	rating	103.43	Strongest possible	mentalizing	enjoy	n/a
574.441	1.785	rating_mouse_trajectory	103.43	Strongest possible	mentalizing	enjoy	n/a
578.031	5.33	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
583.428	2.635	rating	15.82	Moderate	mentalizing	enjoy	n/a
584.444	1.618	rating_mouse_trajectory	15.82	Moderate	mentalizing	enjoy	n/a
588.53	6.124	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
594.715	1.889	rating	0.48	Barely detectable	mentalizing	enjoy	n/a
595.249	1.355	rating_mouse_trajectory	0.48	Barely detectable	mentalizing	enjoy	n/a
599.751	3.134	cue	n/a	n/a	similarity	n/a	n/a
602.884	5.303	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
608.254	2.451	rating	0.92	Barely detectable	similarity	n/a	n/a
608.554	2.151	rating_mouse_trajectory	0.92	Barely detectable	similarity	n/a	n/a
613.322	5.799	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
619.174	1.818	rating	160.08	Strongest possible	similarity	n/a	n/a
619.608	1.384	rating_mouse_trajectory	160.08	Strongest possible	similarity	n/a	n/a
624.264	6.189	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
630.512	1.775	rating	160.43	Strongest possible	similarity	n/a	n/a
631.095	1.192	rating_mouse_trajectory	160.43	Strongest possible	similarity	n/a	n/a
635.531	3.119	cue	n/a	n/a	likeability	n/a	n/a
638.649	5.221	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
643.934	3.803	rating	14.71	Moderate	likeability	n/a	n/a
644.434	3.303	rating_mouse_trajectory	14.71	Moderate	likeability	n/a	n/a
649.07	6.668	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
655.805	1.918	rating	1.15	Barely detectable	likeability	n/a	n/a
656.355	1.368	rating_mouse_trajectory	1.15	Barely detectable	likeability	n/a	n/a
660.891	5.301	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
666.259	2.551	rating	10.9	Moderate	likeability	n/a	n/a
666.609	2.201	rating_mouse_trajectory	10.9	Moderate	likeability	n/a	n/a
671.277	3.117	cue	n/a	n/a	similarity	n/a	n/a
674.395	5.393	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
679.847	1.623	rating	0.0	No sensation	similarity	n/a	n/a
680.33	1.14	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
684.947	5.556	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
690.568	1.486	rating	0.0	No sensation	similarity	n/a	n/a
690.884	1.169	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
695.66	5.178	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
700.905	1.884	rating	0.92	Barely detectable	similarity	n/a	n/a
701.438	1.351	rating_mouse_trajectory	0.92	Barely detectable	similarity	n/a	n/a
705.923	3.116	cue	n/a	n/a	likeability	n/a	n/a
709.039	5.798	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
714.91	2.885	rating	154.77	Strongest possible	likeability	n/a	n/a
715.294	2.501	rating_mouse_trajectory	154.77	Strongest possible	likeability	n/a	n/a
720.01	6.843	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
726.915	1.339	rating	157.64	Strongest possible	likeability	n/a	n/a
727.398	0.856	rating_mouse_trajectory	157.64	Strongest possible	likeability	n/a	n/a
732.01	5.177	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
737.252	1.752	rating	3.58	Weak	likeability	n/a	n/a
737.652	1.352	rating_mouse_trajectory	3.58	Weak	likeability	n/a	n/a
