onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
3.848	1.33	face	n/a	intensity	surprise	male	WC	old	task-faces/2Surprise_Model5_2Male_1WC_2Old.mp4
5.178	1.85	rating	0.6481	intensity	surprise	male	WC	old	n/a
6.328	0.7	rating_mouse_trajectory	0.6481	intensity	surprise	male	WC	old	n/a
7.186	1.309	face	n/a	intensity	happy	male	EA	old	task-faces/1Happy_Model1_2Male_2EA_2Old.mp4
8.496	1.35	rating	0.6784	intensity	happy	male	EA	old	n/a
8.846	1.0	rating_mouse_trajectory	0.6784	intensity	happy	male	EA	old	n/a
10.437	1.31	face	n/a	intensity	anger	male	EA	old	task-faces/5Anger_Model3_2Male_2EA_2Old.mp4
11.747	1.02	rating	0.5004	intensity	anger	male	EA	old	n/a
12.164	0.603	rating_mouse_trajectory	0.5004	intensity	anger	male	EA	old	n/a
14.689	1.31	face	n/a	intensity	happy	female	EA	old	task-faces/1Happy_Model5_1Female_2EA_2Old.mp4
15.999	1.502	rating	0.5307	intensity	happy	female	EA	old	n/a
16.699	0.802	rating_mouse_trajectory	0.5307	intensity	happy	female	EA	old	n/a
17.921	2.045	face	n/a	intensity	pain	male	WC	old	task-faces/7Pain_Model1_2Male_1WC_2Old.mp4
19.967	1.635	rating	0.3123	intensity	pain	male	WC	old	n/a
20.267	1.335	rating_mouse_trajectory	0.3123	intensity	pain	male	WC	old	n/a
25.908	1.312	face	n/a	intensity	happy	female	EA	young	task-faces/1Happy_Model4_1Female_2EA_1Young.mp4
27.219	1.452	rating	0.6238	intensity	happy	female	EA	young	n/a
27.869	0.802	rating_mouse_trajectory	0.6238	intensity	happy	female	EA	young	n/a
29.136	1.302	face	n/a	intensity	sad	male	WC	young	task-faces/6Sad_Model5_2Male_1WC_1Young.mp4
30.437	0.985	rating	0.0453	intensity	sad	male	WC	young	n/a
30.821	0.602	rating_mouse_trajectory	0.0453	intensity	sad	male	WC	young	n/a
32.354	1.301	face	n/a	intensity	sad	female	WC	young	task-faces/6Sad_Model5_1Female_1WC_1Young.mp4
33.655	1.511	rating	0.0534	intensity	sad	female	WC	young	n/a
34.005	1.161	rating_mouse_trajectory	0.0534	intensity	sad	female	WC	young	n/a
35.561	1.312	face	n/a	intensity	disgust	male	EA	old	task-faces/4Disgust_Model4_2Male_2EA_2Old.mp4
36.873	1.068	rating	0.2456	intensity	disgust	male	EA	old	n/a
37.14	0.801	rating_mouse_trajectory	0.2456	intensity	disgust	male	EA	old	n/a
38.779	1.312	face	n/a	intensity	sad	male	EA	young	task-faces/6Sad_Model4_2Male_2EA_1Young.mp4
40.091	0.768	rating	0.0	intensity	sad	male	EA	young	n/a
40.224	0.635	rating_mouse_trajectory	0.0	intensity	sad	male	EA	young	n/a
44.015	1.311	face	n/a	intensity	anger	male	EA	young	task-faces/5Anger_Model3_2Male_2EA_1Young.mp4
45.326	1.657	rating	0.1768	intensity	anger	male	EA	young	n/a
45.61	1.374	rating_mouse_trajectory	0.1768	intensity	anger	male	EA	young	n/a
48.256	1.306	face	n/a	intensity	surprise	female	WC	young	task-faces/2Surprise_Model2_1Female_1WC_1Young.mp4
49.561	1.689	rating	0.0756	intensity	surprise	female	WC	young	n/a
49.811	1.439	rating_mouse_trajectory	0.0756	intensity	surprise	female	WC	young	n/a
53.485	2.045	face	n/a	intensity	pleasure	female	African	young	task-faces/8Pleasure_Model5_1Female_3African_1Young.mp4
55.53	0.903	rating	0.4377	intensity	pleasure	female	African	young	n/a
55.947	0.487	rating_mouse_trajectory	0.4377	intensity	pleasure	female	African	young	n/a
58.438	1.31	face	n/a	intensity	sad	female	African	old	task-faces/6Sad_Model4_1Female_3African_2Old.mp4
59.748	1.869	rating	0.0728	intensity	sad	female	African	old	n/a
60.148	1.469	rating_mouse_trajectory	0.0728	intensity	sad	female	African	old	n/a
62.654	1.312	face	n/a	intensity	surprise	male	EA	old	task-faces/2Surprise_Model1_2Male_2EA_2Old.mp4
63.966	1.085	rating	0.3972	intensity	surprise	male	EA	old	n/a
64.483	0.568	rating_mouse_trajectory	0.3972	intensity	surprise	male	EA	old	n/a
66.889	1.313	face	n/a	intensity	anger	male	WC	young	task-faces/5Anger_Model4_2Male_1WC_1Young.mp4
68.201	1.102	rating	0.1808	intensity	anger	male	WC	young	n/a
68.418	0.885	rating_mouse_trajectory	0.1808	intensity	anger	male	WC	young	n/a
71.123	1.314	face	n/a	intensity	happy	male	WC	old	task-faces/1Happy_Model1_2Male_1WC_2Old.mp4
72.436	1.137	rating	0.2152	intensity	happy	male	WC	old	n/a
72.72	0.854	rating_mouse_trajectory	0.2152	intensity	happy	male	WC	old	n/a
75.36	1.311	face	n/a	intensity	happy	female	African	young	task-faces/1Happy_Model4_1Female_3African_1Young.mp4
76.671	1.719	rating	0.1748	intensity	happy	female	African	young	n/a
77.038	1.352	rating_mouse_trajectory	0.1748	intensity	happy	female	African	young	n/a
81.588	1.302	face	n/a	intensity	fear	male	African	young	task-faces/3Fear_Model1_2Male_3African_1Young.mp4
82.89	1.576	rating	0.0251	intensity	fear	male	African	young	n/a
83.207	1.26	rating_mouse_trajectory	0.0251	intensity	fear	male	African	young	n/a
84.796	2.046	face	n/a	intensity	pain	female	African	young	task-faces/7Pain_Model3_1Female_3African_1Young.mp4
86.842	0.892	rating	0.0635	intensity	pain	female	African	young	n/a
87.092	0.642	rating_mouse_trajectory	0.0635	intensity	pain	female	African	young	n/a
89.765	1.312	face	n/a	intensity	surprise	male	WC	young	task-faces/2Surprise_Model3_2Male_1WC_1Young.mp4
91.077	1.857	rating	0.193	intensity	surprise	male	WC	young	n/a
91.343	1.59	rating_mouse_trajectory	0.193	intensity	surprise	male	WC	young	n/a
93.0	2.045	face	n/a	intensity	pain	female	WC	old	task-faces/7Pain_Model5_1Female_1WC_2Old.mp4
95.045	0.972	rating	0.2739	intensity	pain	female	WC	old	n/a
95.511	0.505	rating_mouse_trajectory	0.2739	intensity	pain	female	WC	old	n/a
97.969	1.31	face	n/a	intensity	disgust	female	EA	young	task-faces/4Disgust_Model5_1Female_2EA_1Young.mp4
99.28	1.82	rating	0.1464	intensity	disgust	female	EA	young	n/a
99.58	1.52	rating_mouse_trajectory	0.1464	intensity	disgust	female	EA	young	n/a
102.204	1.311	face	n/a	intensity	sad	female	EA	old	task-faces/6Sad_Model1_1Female_2EA_2Old.mp4
103.515	1.535	rating	0.1444	intensity	sad	female	EA	old	n/a
104.231	0.819	rating_mouse_trajectory	0.1444	intensity	sad	female	EA	old	n/a
106.421	1.312	face	n/a	intensity	sad	female	WC	old	task-faces/6Sad_Model1_1Female_1WC_2Old.mp4
107.733	1.502	rating	0.1181	intensity	sad	female	WC	old	n/a
108.133	1.102	rating_mouse_trajectory	0.1181	intensity	sad	female	WC	old	n/a
109.656	1.312	face	n/a	intensity	disgust	female	African	young	task-faces/4Disgust_Model4_1Female_3African_1Young.mp4
110.967	0.918	rating	0.0696	intensity	disgust	female	African	young	n/a
111.284	0.602	rating_mouse_trajectory	0.0696	intensity	disgust	female	African	young	n/a
112.887	1.298	face	n/a	intensity	fear	female	WC	young	task-faces/3Fear_Model2_1Female_1WC_1Young.mp4
114.185	1.435	rating	0.108	intensity	fear	female	WC	young	n/a
114.435	1.185	rating_mouse_trajectory	0.108	intensity	fear	female	WC	young	n/a
116.105	1.315	face	n/a	intensity	sad	male	EA	old	task-faces/6Sad_Model2_2Male_2EA_2Old.mp4
117.42	1.483	rating	0.0352	intensity	sad	male	EA	old	n/a
117.803	1.1	rating_mouse_trajectory	0.0352	intensity	sad	male	EA	old	n/a
120.339	1.299	face	n/a	intensity	happy	female	African	old	task-faces/1Happy_Model4_1Female_3African_2Old.mp4
121.638	0.852	rating	0.1282	intensity	happy	female	African	old	n/a
121.988	0.502	rating_mouse_trajectory	0.1282	intensity	happy	female	African	old	n/a
124.555	1.302	face	n/a	intensity	anger	female	WC	old	task-faces/5Anger_Model1_1Female_1WC_2Old.mp4
125.856	0.868	rating	0.1667	intensity	anger	female	WC	old	n/a
126.123	0.602	rating_mouse_trajectory	0.1667	intensity	anger	female	WC	old	n/a
128.773	2.035	face	n/a	intensity	pleasure	male	EA	old	task-faces/8Pleasure_Model4_2Male_2EA_2Old.mp4
130.808	0.858	rating	0.0756	intensity	pleasure	male	EA	old	n/a
131.041	0.625	rating_mouse_trajectory	0.0756	intensity	pleasure	male	EA	old	n/a
132.731	1.312	face	n/a	intensity	fear	female	WC	old	task-faces/3Fear_Model3_1Female_1WC_2Old.mp4
134.043	1.767	rating	0.0445	intensity	fear	female	WC	old	n/a
134.259	1.55	rating_mouse_trajectory	0.0445	intensity	fear	female	WC	old	n/a
135.965	2.045	face	n/a	intensity	pain	male	African	old	task-faces/7Pain_Model4_2Male_3African_2Old.mp4
138.011	1.672	rating	0.0696	intensity	pain	male	African	old	n/a
138.061	1.622	rating_mouse_trajectory	0.0696	intensity	pain	male	African	old	n/a
140.935	1.311	face	n/a	intensity	disgust	female	African	old	task-faces/4Disgust_Model3_1Female_3African_2Old.mp4
142.246	1.771	rating	0.0433	intensity	disgust	female	African	old	n/a
142.579	1.438	rating_mouse_trajectory	0.0433	intensity	disgust	female	African	old	n/a
144.153	2.044	face	n/a	intensity	pain	female	WC	young	task-faces/7Pain_Model2_1Female_1WC_1Young.mp4
146.197	1.569	rating	0.0595	intensity	pain	female	WC	young	n/a
146.497	1.269	rating_mouse_trajectory	0.0595	intensity	pain	female	WC	young	n/a
148.122	1.31	face	n/a	intensity	sad	female	EA	young	task-faces/6Sad_Model3_1Female_2EA_1Young.mp4
149.432	1.852	rating	0.0858	intensity	sad	female	EA	young	n/a
149.932	1.352	rating_mouse_trajectory	0.0858	intensity	sad	female	EA	young	n/a
153.338	2.046	face	n/a	intensity	pleasure	male	WC	young	task-faces/8Pleasure_Model5_2Male_1WC_1Young.mp4
155.384	1.735	rating	0.1214	intensity	pleasure	male	WC	young	n/a
155.784	1.335	rating_mouse_trajectory	0.1214	intensity	pleasure	male	WC	young	n/a
159.291	1.312	face	n/a	intensity	fear	male	WC	old	task-faces/3Fear_Model1_2Male_1WC_2Old.mp4
160.602	1.702	rating	0.1282	intensity	fear	male	WC	old	n/a
160.919	1.385	rating_mouse_trajectory	0.1282	intensity	fear	male	WC	old	n/a
165.51	2.045	face	n/a	intensity	pain	male	EA	young	task-faces/7Pain_Model3_2Male_2EA_1Young.mp4
167.555	1.717	rating	0.1646	intensity	pain	male	EA	young	n/a
167.922	1.35	rating_mouse_trajectory	0.1646	intensity	pain	male	EA	young	n/a
170.472	2.035	face	n/a	intensity	pain	male	African	young	task-faces/7Pain_Model4_2Male_3African_1Young.mp4
172.507	1.093	rating	0.1383	intensity	pain	male	African	young	n/a
172.557	1.043	rating_mouse_trajectory	0.1383	intensity	pain	male	African	young	n/a
175.414	1.311	face	n/a	intensity	sad	male	WC	old	task-faces/6Sad_Model1_2Male_1WC_2Old.mp4
176.725	1.875	rating	0.0574	intensity	sad	male	WC	old	n/a
177.125	1.475	rating_mouse_trajectory	0.0574	intensity	sad	male	WC	old	n/a
178.648	1.312	face	n/a	intensity	surprise	male	EA	young	task-faces/2Surprise_Model2_2Male_2EA_1Young.mp4
179.96	1.707	rating	0.0716	intensity	surprise	male	EA	young	n/a
180.243	1.423	rating_mouse_trajectory	0.0716	intensity	surprise	male	EA	young	n/a
182.883	1.311	face	n/a	intensity	disgust	male	African	young	task-faces/4Disgust_Model2_2Male_3African_1Young.mp4
184.195	1.772	rating	0.0635	intensity	disgust	male	African	young	n/a
184.478	1.489	rating_mouse_trajectory	0.0635	intensity	disgust	male	African	young	n/a
186.118	1.311	face	n/a	intensity	sad	male	African	old	task-faces/6Sad_Model2_2Male_3African_2Old.mp4
187.429	1.733	rating	0.0485	intensity	sad	male	African	old	n/a
188.129	1.033	rating_mouse_trajectory	0.0485	intensity	sad	male	African	old	n/a
191.355	1.309	face	n/a	intensity	fear	female	African	young	task-faces/3Fear_Model5_1Female_3African_1Young.mp4
192.664	1.535	rating	0.0554	intensity	fear	female	African	young	n/a
192.948	1.252	rating_mouse_trajectory	0.0554	intensity	fear	female	African	young	n/a
196.589	1.311	face	n/a	intensity	surprise	male	African	young	task-faces/2Surprise_Model4_2Male_3African_1Young.mp4
197.9	1.585	rating	0.104	intensity	surprise	male	African	young	n/a
198.25	1.235	rating_mouse_trajectory	0.104	intensity	surprise	male	African	young	n/a
200.824	1.311	face	n/a	intensity	happy	male	African	young	task-faces/1Happy_Model5_2Male_3African_1Young.mp4
202.135	1.002	rating	0.1262	intensity	happy	male	African	young	n/a
202.451	0.685	rating_mouse_trajectory	0.1262	intensity	happy	male	African	young	n/a
205.055	1.314	face	n/a	intensity	sad	male	African	young	task-faces/6Sad_Model2_2Male_3African_1Young.mp4
206.37	1.618	rating	0.1383	intensity	sad	male	African	young	n/a
206.77	1.218	rating_mouse_trajectory	0.1383	intensity	sad	male	African	young	n/a
209.289	2.033	face	n/a	intensity	pleasure	female	African	old	task-faces/8Pleasure_Model4_1Female_3African_2Old.mp4
211.321	1.068	rating	0.1707	intensity	pleasure	female	African	old	n/a
211.755	0.635	rating_mouse_trajectory	0.1707	intensity	pleasure	female	African	old	n/a
214.228	1.312	face	n/a	intensity	disgust	male	African	old	task-faces/4Disgust_Model1_2Male_3African_2Old.mp4
215.54	0.868	rating	0.1707	intensity	disgust	male	African	old	n/a
215.873	0.535	rating_mouse_trajectory	0.1707	intensity	disgust	male	African	old	n/a
218.447	1.311	face	n/a	intensity	surprise	female	African	young	task-faces/2Surprise_Model4_1Female_3African_1Young.mp4
219.758	0.875	rating	0.108	intensity	surprise	female	African	young	n/a
219.991	0.642	rating_mouse_trajectory	0.108	intensity	surprise	female	African	young	n/a
222.682	1.311	face	n/a	intensity	disgust	female	WC	old	task-faces/4Disgust_Model2_1Female_1WC_2Old.mp4
223.993	1.007	rating	0.1363	intensity	disgust	female	WC	old	n/a
224.393	0.607	rating_mouse_trajectory	0.1363	intensity	disgust	female	WC	old	n/a
226.917	1.311	face	n/a	intensity	anger	female	EA	young	task-faces/5Anger_Model1_1Female_2EA_1Young.mp4
228.228	1.072	rating	0.1201	intensity	anger	female	EA	young	n/a
228.678	0.622	rating_mouse_trajectory	0.1201	intensity	anger	female	EA	young	n/a
230.155	1.308	face	n/a	intensity	anger	male	WC	old	task-faces/5Anger_Model3_2Male_1WC_2Old.mp4
231.462	0.987	rating	0.0676	intensity	anger	male	WC	old	n/a
231.696	0.754	rating_mouse_trajectory	0.0676	intensity	anger	male	WC	old	n/a
233.388	1.309	face	n/a	intensity	happy	female	WC	old	task-faces/1Happy_Model5_1Female_1WC_2Old.mp4
234.697	0.836	rating	0.1019	intensity	happy	female	WC	old	n/a
234.847	0.686	rating_mouse_trajectory	0.1019	intensity	happy	female	WC	old	n/a
238.604	1.311	face	n/a	intensity	fear	male	EA	young	task-faces/3Fear_Model1_2Male_2EA_1Young.mp4
239.915	1.835	rating	0.106	intensity	fear	male	EA	young	n/a
