onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
5.015	0.569	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg
5.899	0.027	tomspunt	reaching?	how_hand	yes	no	incorrect	task-tomspunt/H_532.jpg
6.232	1.872	tomspunt	reaching?	how_hand	no	yes	incorrect	task-tomspunt/H_474.jpg
8.267	0.027	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_438.jpg
8.6	1.579	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_364.jpg
10.484	0.91	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg
11.701	1.141	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg
13.152	0.935	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_132.jpg
22.555	1.438	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_627.jpg
24.306	0.02	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg
24.639	1.453	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg
26.407	1.703	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_130.jpg
28.424	0.819	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg
29.558	1.069	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg
30.942	0.018	tomspunt	healthy?	why_hand	no	yes	incorrect	task-tomspunt/H_167.jpg
31.275	n/a	tomspunt	healthy?	why_hand	n/a	no	incorrect	task-tomspunt/H_019.jpg
41.662	0.835	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg
42.813	0.718	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg
43.846	0.868	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg
45.03	0.735	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg
46.081	0.946	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg
47.331	0.535	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg
48.181	0.801	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg
49.298	0.768	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg
60.619	0.802	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg
61.736	0.657	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg
62.703	0.985	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg
64.004	0.772	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg
65.088	0.572	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg
65.971	0.769	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg
67.055	0.638	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg
68.005	0.92	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg
78.159	1.085	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_136.jpg
79.56	0.735	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg
80.61	1.202	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_189.jpg
82.127	1.115	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg
83.545	1.001	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg
84.862	0.785	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg
85.962	0.565	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg
86.829	0.735	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_170.jpg
