onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file
4.847	54.315	narrative_presentation	n/a	n/a	Deliverance	prison	Audio	task-narratives/Narrative7Situation1.mp3
59.162	3.983	rating_feeling	636	574	Deliverance	prison	Audio	n/a
59.695	3.45	feeling_mouse_trajectory	636	574	Deliverance	prison	Audio	n/a
63.212	3.967	rating_expectation	804.0	635.0	Deliverance	prison	Audio	n/a
65.112	2.067	expectation_mouse_trajectory	804.0	635.0	Deliverance	prison	Audio	n/a
70.417	5.955	narrative_presentation	n/a	n/a	Adultery	prison	Audio	task-narratives/Narrative7Situation2.mp3
76.372	3.75	rating_feeling	836	461	Adultery	prison	Audio	n/a
77.455	2.667	feeling_mouse_trajectory	836	461	Adultery	prison	Audio	n/a
80.401	3.9	rating_expectation	930.0	363.0	Adultery	prison	Audio	n/a
80.434	3.867	expectation_mouse_trajectory	930.0	363.0	Adultery	prison	Audio	n/a
92.491	7.445	narrative_presentation	n/a	n/a	Pursuit	prison	Audio	task-narratives/Narrative7Situation3.mp3
99.936	3.536	rating_feeling	958	520	Pursuit	prison	Audio	n/a
101.82	1.652	feeling_mouse_trajectory	958	520	Pursuit	prison	Audio	n/a
103.976	3.933	rating_expectation	1019.0	461.0	Pursuit	prison	Audio	n/a
106.51	1.4	expectation_mouse_trajectory	1019.0	461.0	Pursuit	prison	Audio	n/a
111.065	11.497	narrative_presentation	n/a	n/a	Conflict with a god	park	Audio	task-narratives/Narrative7Situation4.mp3
122.562	3.8	rating_feeling	1076	468	Conflict with a god	park	Audio	n/a
123.229	3.133	feeling_mouse_trajectory	1076	468	Conflict with a god	park	Audio	n/a
126.585	0.209	rating_expectation	960.0	707.0	Conflict with a god	park	Audio	n/a
126.835	-0.041	expectation_mouse_trajectory	960.0	707.0	Conflict with a god	park	Audio	n/a
135.669	7.989	narrative_presentation	n/a	n/a	Recovery of a lost one	park	Audio	task-narratives/Narrative7Situation5.mp3
143.657	3.602	rating_feeling	1122	523	Recovery of a lost one	park	Audio	n/a
145.141	2.119	feeling_mouse_trajectory	1122	523	Recovery of a lost one	park	Audio	n/a
147.696	n/a	rating_expectation	n/a	n/a	Recovery of a lost one	park	Audio	n/a
154.797	8.777	narrative_presentation	n/a	n/a	Supplication	park	Audio	task-narratives/Narrative7Situation6.mp3
