onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
3.835	1.312	face	n/a	sex	happy	male	WC	old	task-faces/1Happy_Model3_2Male_1WC_2Old.mp4
5.146	1.6	rating	0.2658	sex	happy	male	WC	old	n/a
5.196	1.55	rating_mouse_trajectory	0.2658	sex	happy	male	WC	old	n/a
7.144	2.037	face	n/a	sex	pleasure	female	EA	young	task-faces/8Pleasure_Model1_1Female_2EA_1Young.mp4
9.181	1.15	rating	0.3426	sex	pleasure	female	EA	young	n/a
9.715	0.617	rating_mouse_trajectory	0.3426	sex	pleasure	female	EA	young	n/a
11.122	1.31	face	n/a	sex	disgust	male	African	old	task-faces/4Disgust_Model5_2Male_3African_2Old.mp4
12.433	1.567	rating	0.1687	sex	disgust	male	African	old	n/a
13.049	0.95	rating_mouse_trajectory	0.1687	sex	disgust	male	African	old	n/a
15.358	2.043	face	n/a	sex	pain	male	WC	old	task-faces/7Pain_Model2_2Male_1WC_2Old.mp4
17.401	1.217	rating	0.1808	sex	pain	male	WC	old	n/a
17.834	0.783	rating_mouse_trajectory	0.1808	sex	pain	male	WC	old	n/a
19.326	1.326	face	n/a	sex	anger	male	African	old	task-faces/5Anger_Model3_2Male_3African_2Old.mp4
20.652	1.45	rating	0.3204	sex	anger	male	African	old	n/a
21.136	0.967	rating_mouse_trajectory	0.3204	sex	anger	male	African	old	n/a
26.592	1.313	face	n/a	sex	happy	male	African	young	task-faces/1Happy_Model1_2Male_3African_1Young.mp4
27.905	1.833	rating	0.373	sex	happy	male	African	young	n/a
28.488	1.25	rating_mouse_trajectory	0.373	sex	happy	male	African	young	n/a
29.827	1.312	face	n/a	sex	disgust	male	African	young	task-faces/4Disgust_Model1_2Male_3African_1Young.mp4
31.139	1.4	rating	0.2779	sex	disgust	male	African	young	n/a
31.656	0.883	rating_mouse_trajectory	0.2779	sex	disgust	male	African	young	n/a
33.058	1.3	face	n/a	sex	fear	male	African	old	task-faces/3Fear_Model1_2Male_3African_2Old.mp4
34.357	1.683	rating	0.2557	sex	fear	male	African	old	n/a
34.807	1.233	rating_mouse_trajectory	0.2557	sex	fear	male	African	old	n/a
36.275	1.3	face	n/a	sex	fear	female	African	young	task-faces/3Fear_Model2_1Female_3African_1Young.mp4
37.575	1.683	rating	0.3022	sex	fear	female	African	young	n/a
38.059	1.2	rating_mouse_trajectory	0.3022	sex	fear	female	African	young	n/a
39.499	1.311	face	n/a	sex	happy	male	EA	young	task-faces/1Happy_Model1_2Male_2EA_1Young.mp4
40.81	1.25	rating	0.3507	sex	happy	male	EA	young	n/a
41.826	0.233	rating_mouse_trajectory	0.3507	sex	happy	male	EA	young	n/a
44.725	1.303	face	n/a	sex	fear	male	WC	old	task-faces/3Fear_Model3_2Male_1WC_2Old.mp4
46.028	1.583	rating	0.3325	sex	fear	male	WC	old	n/a
46.762	0.85	rating_mouse_trajectory	0.3325	sex	fear	male	WC	old	n/a
48.952	2.045	face	n/a	sex	pain	female	African	young	task-faces/7Pain_Model4_1Female_3African_1Young.mp4
50.997	1.817	rating	0.2941	sex	pain	female	African	young	n/a
51.38	1.433	rating_mouse_trajectory	0.2941	sex	pain	female	African	young	n/a
54.921	2.062	face	n/a	sex	pain	male	African	young	task-faces/7Pain_Model3_2Male_3African_1Young.mp4
56.982	1.583	rating	0.1545	sex	pain	male	African	young	n/a
57.366	1.2	rating_mouse_trajectory	0.1545	sex	pain	male	African	young	n/a
59.906	1.311	face	n/a	sex	disgust	female	WC	young	task-faces/4Disgust_Model2_1Female_1WC_1Young.mp4
61.217	1.833	rating	0.3467	sex	disgust	female	WC	young	n/a
61.751	1.3	rating_mouse_trajectory	0.3467	sex	disgust	female	WC	young	n/a
64.126	2.044	face	n/a	sex	pain	male	WC	young	task-faces/7Pain_Model4_2Male_1WC_1Young.mp4
66.169	1.75	rating	0.2718	sex	pain	male	WC	young	n/a
66.486	1.433	rating_mouse_trajectory	0.2718	sex	pain	male	WC	young	n/a
69.076	2.045	face	n/a	sex	pain	male	African	old	task-faces/7Pain_Model1_2Male_3African_2Old.mp4
71.121	1.717	rating	0.1181	sex	pain	male	African	old	n/a
71.504	1.333	rating_mouse_trajectory	0.1181	sex	pain	male	African	old	n/a
74.028	1.311	face	n/a	sex	surprise	male	EA	young	task-faces/2Surprise_Model4_2Male_2EA_1Young.mp4
75.339	0.983	rating	0.3386	sex	surprise	male	EA	young	n/a
75.739	0.583	rating_mouse_trajectory	0.3386	sex	surprise	male	EA	young	n/a
78.259	1.315	face	n/a	sex	fear	female	WC	young	task-faces/3Fear_Model5_1Female_1WC_1Young.mp4
79.574	1.467	rating	0.3062	sex	fear	female	WC	young	n/a
79.841	1.2	rating_mouse_trajectory	0.3062	sex	fear	female	WC	young	n/a
84.492	1.301	face	n/a	sex	surprise	female	EA	old	task-faces/2Surprise_Model3_1Female_2EA_2Old.mp4
85.793	1.683	rating	0.3345	sex	surprise	female	EA	old	n/a
86.493	0.983	rating_mouse_trajectory	0.3345	sex	surprise	female	EA	old	n/a
87.708	1.303	face	n/a	sex	anger	female	EA	young	task-faces/5Anger_Model5_1Female_2EA_1Young.mp4
89.011	1.233	rating	0.3588	sex	anger	female	EA	young	n/a
89.544	0.7	rating_mouse_trajectory	0.3588	sex	anger	female	EA	young	n/a
91.925	1.304	face	n/a	sex	happy	male	WC	young	task-faces/1Happy_Model5_2Male_1WC_1Young.mp4
93.229	1.5	rating	0.2354	sex	happy	male	WC	young	n/a
93.396	1.333	rating_mouse_trajectory	0.2354	sex	happy	male	WC	young	n/a
95.151	2.046	face	n/a	sex	pain	female	African	old	task-faces/7Pain_Model5_1Female_3African_2Old.mp4
97.197	1.867	rating	0.3083	sex	pain	female	African	old	n/a
97.581	1.483	rating_mouse_trajectory	0.3083	sex	pain	female	African	old	n/a
100.121	1.311	face	n/a	sex	anger	male	EA	old	task-faces/5Anger_Model2_2Male_2EA_2Old.mp4
101.432	1.4	rating	0.2799	sex	anger	male	EA	old	n/a
101.882	0.95	rating_mouse_trajectory	0.2799	sex	anger	male	EA	old	n/a
104.356	1.311	face	n/a	sex	disgust	male	WC	young	task-faces/4Disgust_Model3_2Male_1WC_1Young.mp4
105.667	1.383	rating	0.1768	sex	disgust	male	WC	young	n/a
106.017	1.033	rating_mouse_trajectory	0.1768	sex	disgust	male	WC	young	n/a
108.575	2.045	face	n/a	sex	pleasure	male	EA	old	task-faces/8Pleasure_Model5_2Male_2EA_2Old.mp4
110.619	1.617	rating	0.282	sex	pleasure	male	EA	old	n/a
111.069	1.167	rating_mouse_trajectory	0.282	sex	pleasure	male	EA	old	n/a
112.527	1.31	face	n/a	sex	sad	female	EA	young	task-faces/6Sad_Model2_1Female_2EA_1Young.mp4
113.837	1.667	rating	0.3649	sex	sad	female	EA	young	n/a
113.97	1.533	rating_mouse_trajectory	0.3649	sex	sad	female	EA	young	n/a
115.741	2.047	face	n/a	sex	pain	female	WC	old	task-faces/7Pain_Model4_1Female_1WC_2Old.mp4
117.788	1.4	rating	0.288	sex	pain	female	WC	old	n/a
118.105	1.083	rating_mouse_trajectory	0.288	sex	pain	female	WC	old	n/a
119.708	1.315	face	n/a	sex	sad	male	EA	young	task-faces/6Sad_Model3_2Male_2EA_1Young.mp4
121.023	1.333	rating	0.3265	sex	sad	male	EA	young	n/a
121.423	0.933	rating_mouse_trajectory	0.3265	sex	sad	male	EA	young	n/a
123.942	1.299	face	n/a	sex	disgust	female	WC	old	task-faces/4Disgust_Model1_1Female_1WC_2Old.mp4
125.241	1.633	rating	0.3548	sex	disgust	female	WC	old	n/a
125.891	0.983	rating_mouse_trajectory	0.3548	sex	disgust	female	WC	old	n/a
128.159	2.034	face	n/a	sex	pleasure	female	African	young	task-faces/8Pleasure_Model1_1Female_3African_1Young.mp4
130.193	1.367	rating	0.282	sex	pleasure	female	African	young	n/a
130.793	0.767	rating_mouse_trajectory	0.282	sex	pleasure	female	African	young	n/a
133.109	2.036	face	n/a	sex	pain	female	EA	old	task-faces/7Pain_Model2_1Female_2EA_2Old.mp4
135.145	0.65	rating	0.2476	sex	pain	female	EA	old	n/a
135.462	0.333	rating_mouse_trajectory	0.2476	sex	pain	female	EA	old	n/a
137.058	1.305	face	n/a	sex	anger	female	African	young	task-faces/5Anger_Model1_1Female_3African_1Young.mp4
138.363	1.533	rating	0.3507	sex	anger	female	African	young	n/a
138.829	1.067	rating_mouse_trajectory	0.3507	sex	anger	female	African	young	n/a
140.285	2.046	face	n/a	sex	pleasure	male	WC	old	task-faces/8Pleasure_Model3_2Male_1WC_2Old.mp4
142.331	1.433	rating	0.2597	sex	pleasure	male	WC	old	n/a
142.814	0.95	rating_mouse_trajectory	0.2597	sex	pleasure	male	WC	old	n/a
145.255	1.328	face	n/a	sex	fear	male	African	young	task-faces/3Fear_Model5_2Male_3African_1Young.mp4
146.583	1.7	rating	0.2273	sex	fear	male	African	young	n/a
147.066	1.217	rating_mouse_trajectory	0.2273	sex	fear	male	African	young	n/a
148.52	2.047	face	n/a	sex	pleasure	male	WC	young	task-faces/8Pleasure_Model4_2Male_1WC_1Young.mp4
150.567	1.65	rating	0.288	sex	pleasure	male	WC	young	n/a
151.067	1.15	rating_mouse_trajectory	0.288	sex	pleasure	male	WC	young	n/a
152.474	2.045	face	n/a	sex	pain	female	WC	young	task-faces/7Pain_Model1_1Female_1WC_1Young.mp4
154.519	1.8	rating	0.2617	sex	pain	female	WC	young	n/a
154.919	1.4	rating_mouse_trajectory	0.2617	sex	pain	female	WC	young	n/a
158.425	1.312	face	n/a	sex	sad	female	WC	young	task-faces/6Sad_Model4_1Female_1WC_1Young.mp4
159.737	0.85	rating	0.3669	sex	sad	female	WC	young	n/a
160.354	0.233	rating_mouse_trajectory	0.3669	sex	sad	female	WC	young	n/a
163.644	1.313	face	n/a	sex	happy	male	African	old	task-faces/1Happy_Model5_2Male_3African_2Old.mp4
164.956	1.85	rating	0.0878	sex	happy	male	African	old	n/a
165.256	1.55	rating_mouse_trajectory	0.0878	sex	happy	male	African	old	n/a
169.875	1.316	face	n/a	sex	surprise	male	WC	old	task-faces/2Surprise_Model2_2Male_1WC_2Old.mp4
171.192	1.6	rating	0.2435	sex	surprise	male	WC	old	n/a
171.608	1.183	rating_mouse_trajectory	0.2435	sex	surprise	male	WC	old	n/a
174.109	1.301	face	n/a	sex	disgust	female	African	young	task-faces/4Disgust_Model5_1Female_3African_1Young.mp4
175.41	1.783	rating	0.3548	sex	disgust	female	African	young	n/a
175.46	1.733	rating_mouse_trajectory	0.3548	sex	disgust	female	African	young	n/a
178.326	1.303	face	n/a	sex	happy	female	WC	young	task-faces/1Happy_Model5_1Female_1WC_1Young.mp4
179.628	1.767	rating	0.3345	sex	happy	female	WC	young	n/a
180.162	1.233	rating_mouse_trajectory	0.3345	sex	happy	female	WC	young	n/a
181.551	2.045	face	n/a	sex	pleasure	female	WC	old	task-faces/8Pleasure_Model3_1Female_1WC_2Old.mp4
183.596	1.367	rating	0.2456	sex	pleasure	female	WC	old	n/a
183.863	1.1	rating_mouse_trajectory	0.2456	sex	pleasure	female	WC	old	n/a
186.52	1.311	face	n/a	sex	fear	male	WC	young	task-faces/3Fear_Model4_2Male_1WC_1Young.mp4
187.831	1.817	rating	0.2759	sex	fear	male	WC	young	n/a
188.381	1.267	rating_mouse_trajectory	0.2759	sex	fear	male	WC	young	n/a
189.754	1.312	face	n/a	sex	happy	female	African	old	task-faces/1Happy_Model3_1Female_3African_2Old.mp4
191.066	1.517	rating	0.1768	sex	happy	female	African	old	n/a
191.382	1.2	rating_mouse_trajectory	0.1768	sex	happy	female	African	old	n/a
194.99	1.311	face	n/a	sex	surprise	male	WC	young	task-faces/2Surprise_Model5_2Male_1WC_1Young.mp4
196.301	1.65	rating	0.3285	sex	surprise	male	WC	young	n/a
196.618	1.333	rating_mouse_trajectory	0.3285	sex	surprise	male	WC	young	n/a
200.208	1.312	face	n/a	sex	anger	female	WC	young	task-faces/5Anger_Model4_1Female_1WC_1Young.mp4
201.52	1.733	rating	0.3528	sex	anger	female	WC	young	n/a
202.47	0.783	rating_mouse_trajectory	0.3528	sex	anger	female	WC	young	n/a
204.443	1.312	face	n/a	sex	surprise	female	African	young	task-faces/2Surprise_Model5_1Female_3African_1Young.mp4
205.755	1.7	rating	0.3022	sex	surprise	female	African	young	n/a
205.855	1.6	rating_mouse_trajectory	0.3022	sex	surprise	female	African	young	n/a
