onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
3.823	1.319	face	n/a	intensity	disgust	female	WC	old	task-faces/4Disgust_Model2_1Female_1WC_2Old.mp4
5.142	1.836	rating	0.3811	intensity	disgust	female	WC	old	n/a
5.809	1.169	rating_mouse_trajectory	0.3811	intensity	disgust	female	WC	old	n/a
7.132	2.045	face	n/a	intensity	pain	male	African	old	task-faces/7Pain_Model4_2Male_3African_2Old.mp4
9.177	1.435	rating	0.3265	intensity	pain	male	African	old	n/a
9.693	0.919	rating_mouse_trajectory	0.3265	intensity	pain	male	African	old	n/a
11.116	1.312	face	n/a	intensity	fear	male	EA	old	task-faces/3Fear_Model2_2Male_2EA_2Old.mp4
12.428	1.618	rating	0.4984	intensity	fear	male	EA	old	n/a
13.728	0.318	rating_mouse_trajectory	0.4984	intensity	fear	male	EA	old	n/a
15.364	1.315	face	n/a	intensity	happy	male	EA	old	task-faces/1Happy_Model1_2Male_2EA_2Old.mp4
16.68	1.702	rating	0.5287	intensity	happy	male	EA	old	n/a
17.18	1.202	rating_mouse_trajectory	0.5287	intensity	happy	male	EA	old	n/a
18.602	1.312	face	n/a	intensity	happy	female	EA	old	task-faces/1Happy_Model5_1Female_2EA_2Old.mp4
19.914	1.152	rating	0.5328	intensity	happy	female	EA	old	n/a
20.264	0.802	rating_mouse_trajectory	0.5328	intensity	happy	female	EA	old	n/a
25.854	1.313	face	n/a	intensity	anger	male	WC	young	task-faces/5Anger_Model4_2Male_1WC_1Young.mp4
27.167	1.059	rating	0.5773	intensity	anger	male	WC	young	n/a
27.6	0.625	rating_mouse_trajectory	0.5773	intensity	anger	male	WC	young	n/a
29.096	1.305	face	n/a	intensity	happy	male	WC	young	task-faces/1Happy_Model2_2Male_1WC_1Young.mp4
30.401	1.107	rating	0.551	intensity	happy	male	WC	young	n/a
30.851	0.657	rating_mouse_trajectory	0.551	intensity	happy	male	WC	young	n/a
32.324	1.311	face	n/a	intensity	disgust	male	WC	old	task-faces/4Disgust_Model3_2Male_1WC_2Old.mp4
33.636	1.206	rating	0.3244	intensity	disgust	male	WC	old	n/a
34.353	0.489	rating_mouse_trajectory	0.3244	intensity	disgust	male	WC	old	n/a
