onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
94.527	2.042	face	n/a	age	pain	male	EA	young	task-faces/7Pain_Model5_2Male_2EA_1Young.mp4
96.569	1.804	rating	0.3528	age	pain	male	EA	young	n/a
96.986	1.387	rating_mouse_trajectory	0.3528	age	pain	male	EA	young	n/a
99.494	2.043	face	n/a	age	pleasure	male	EA	old	task-faces/8Pleasure_Model1_2Male_2EA_2Old.mp4
101.538	1.785	rating	0.4377	age	pleasure	male	EA	old	n/a
102.088	1.235	rating_mouse_trajectory	0.4377	age	pleasure	male	EA	old	n/a
104.443	1.313	face	n/a	age	surprise	female	African	young	task-faces/2Surprise_Model3_1Female_3African_1Young.mp4
105.756	1.468	rating	0.2617	age	surprise	female	African	young	n/a
106.139	1.085	rating_mouse_trajectory	0.2617	age	surprise	female	African	young	n/a
108.68	1.31	face	n/a	age	sad	male	WC	old	task-faces/6Sad_Model5_2Male_1WC_2Old.mp4
109.991	1.435	rating	0.6481	age	sad	male	WC	old	n/a
110.057	1.369	rating_mouse_trajectory	0.6481	age	sad	male	WC	old	n/a
111.91	2.032	face	n/a	age	pleasure	male	African	young	task-faces/8Pleasure_Model4_2Male_3African_1Young.mp4
113.942	1.583	rating	0.2395	age	pleasure	male	African	young	n/a
113.992	1.533	rating_mouse_trajectory	0.2395	age	pleasure	male	African	young	n/a
115.861	1.299	face	n/a	age	fear	female	WC	old	task-faces/3Fear_Model2_1Female_1WC_2Old.mp4
117.16	1.417	rating	0.7553	age	fear	female	WC	old	n/a
117.393	1.183	rating_mouse_trajectory	0.7553	age	fear	female	WC	old	n/a
119.077	1.301	face	n/a	age	happy	male	EA	old	task-faces/1Happy_Model4_2Male_2EA_2Old.mp4
120.378	1.844	rating	0.4438	age	happy	male	EA	old	n/a
120.978	1.244	rating_mouse_trajectory	0.4438	age	happy	male	EA	old	n/a
123.286	2.044	face	n/a	age	pleasure	female	WC	old	task-faces/8Pleasure_Model4_1Female_1WC_2Old.mp4
125.33	1.852	rating	0.4802	age	pleasure	female	WC	old	n/a
126.113	1.069	rating_mouse_trajectory	0.4802	age	pleasure	female	WC	old	n/a
128.244	1.304	face	n/a	age	anger	male	EA	old	task-faces/5Anger_Model1_2Male_2EA_2Old.mp4
129.548	1.567	rating	0.5085	age	anger	male	EA	old	n/a
129.698	1.417	rating_mouse_trajectory	0.5085	age	anger	male	EA	old	n/a
132.472	1.311	face	n/a	age	surprise	male	African	old	task-faces/2Surprise_Model5_2Male_3African_2Old.mp4
133.783	0.856	rating	0.466	age	surprise	male	African	old	n/a
n/a	n/a	rating_mouse_trajectory	0.466	age	surprise	male	African	old	n/a
135.711	1.307	face	n/a	age	happy	male	African	old	task-faces/1Happy_Model2_2Male_3African_2Old.mp4
137.018	0.788	rating	0.466	age	happy	male	African	old	n/a
n/a	n/a	rating_mouse_trajectory	0.466	age	happy	male	African	old	n/a
138.942	1.311	face	n/a	age	disgust	female	WC	old	task-faces/4Disgust_Model3_1Female_1WC_2Old.mp4
140.252	1.75	rating	0.7512	age	disgust	female	WC	old	n/a
141.452	0.55	rating_mouse_trajectory	0.7512	age	disgust	female	WC	old	n/a
143.163	1.308	face	n/a	age	happy	male	African	young	task-faces/1Happy_Model2_2Male_3African_1Young.mp4
144.47	1.806	rating	0.1586	age	happy	male	African	young	n/a
144.52	1.756	rating_mouse_trajectory	0.1586	age	happy	male	African	young	n/a
146.374	1.314	face	n/a	age	anger	male	EA	young	task-faces/5Anger_Model4_2Male_2EA_1Young.mp4
147.688	1.635	rating	0.3062	age	anger	male	EA	young	n/a
148.122	1.202	rating_mouse_trajectory	0.3062	age	anger	male	EA	young	n/a
149.592	1.314	face	n/a	age	sad	female	WC	young	task-faces/6Sad_Model3_1Female_1WC_1Young.mp4
150.906	1.869	rating	0.2334	age	sad	female	WC	young	n/a
151.856	0.919	rating_mouse_trajectory	0.2334	age	sad	female	WC	young	n/a
154.828	1.313	face	n/a	age	surprise	female	WC	young	task-faces/2Surprise_Model1_1Female_1WC_1Young.mp4
156.141	1.602	rating	0.2698	age	surprise	female	WC	young	n/a
156.691	1.052	rating_mouse_trajectory	0.2698	age	surprise	female	WC	young	n/a
160.061	1.316	face	n/a	age	disgust	male	WC	young	task-faces/4Disgust_Model1_2Male_1WC_1Young.mp4
161.377	1.852	rating	0.1363	age	disgust	male	WC	young	n/a
161.91	1.318	rating_mouse_trajectory	0.1363	age	disgust	male	WC	young	n/a
166.294	1.301	face	n/a	age	disgust	male	African	young	task-faces/4Disgust_Model3_2Male_3African_1Young.mp4
167.596	n/a	rating	n/a	age	disgust	male	African	young	n/a
n/a	n/a	rating_mouse_trajectory	n/a	age	disgust	male	African	young	n/a
170.511	2.037	face	n/a	age	pain	female	WC	old	task-faces/7Pain_Model2_1Female_1WC_2Old.mp4
172.547	0.869	rating	0.7977	age	pain	female	WC	old	n/a
172.847	0.569	rating_mouse_trajectory	0.7977	age	pain	female	WC	old	n/a
175.462	1.304	face	n/a	age	fear	female	EA	young	task-faces/3Fear_Model5_1Female_2EA_1Young.mp4
176.766	1.807	rating	0.0271	age	fear	female	EA	young	n/a
176.849	1.723	rating_mouse_trajectory	0.0271	age	fear	female	EA	young	n/a
178.689	2.045	face	n/a	age	pain	male	African	young	task-faces/7Pain_Model5_2Male_3African_1Young.mp4
180.734	1.105	rating	0.2496	age	pain	male	African	young	n/a
181.067	0.772	rating_mouse_trajectory	0.2496	age	pain	male	African	young	n/a
183.658	1.311	face	n/a	age	sad	male	WC	young	task-faces/6Sad_Model4_2Male_1WC_1Young.mp4
184.969	1.537	rating	0.3406	age	sad	male	WC	young	n/a
185.602	0.904	rating_mouse_trajectory	0.3406	age	sad	male	WC	young	n/a
186.892	1.311	face	n/a	age	happy	female	EA	young	task-faces/1Happy_Model3_1Female_2EA_1Young.mp4
188.203	1.019	rating	0.2132	age	happy	female	EA	young	n/a
188.67	0.553	rating_mouse_trajectory	0.2132	age	happy	female	EA	young	n/a
192.11	2.046	face	n/a	age	pain	male	African	old	task-faces/7Pain_Model3_2Male_3African_2Old.mp4
194.156	1.402	rating	0.6683	age	pain	male	African	old	n/a
194.872	0.685	rating_mouse_trajectory	0.6683	age	pain	male	African	old	n/a
198.062	1.313	face	n/a	age	happy	male	EA	young	task-faces/1Happy_Model3_2Male_2EA_1Young.mp4
199.374	1.568	rating	0.3204	age	happy	male	EA	young	n/a
199.724	1.218	rating_mouse_trajectory	0.3204	age	happy	male	EA	young	n/a
202.295	2.065	face	n/a	age	pleasure	female	African	old	task-faces/8Pleasure_Model2_1Female_3African_2Old.mp4
204.359	1.135	rating	0.5125	age	pleasure	female	African	old	n/a
204.993	0.502	rating_mouse_trajectory	0.5125	age	pleasure	female	African	old	n/a
207.278	2.05	face	n/a	age	pleasure	female	EA	young	task-faces/8Pleasure_Model4_1Female_2EA_1Young.mp4
209.328	1.152	rating	0.2961	age	pleasure	female	EA	young	n/a
209.628	0.852	rating_mouse_trajectory	0.2961	age	pleasure	female	EA	young	n/a
212.245	2.035	face	n/a	age	pleasure	female	African	young	task-faces/8Pleasure_Model4_1Female_3African_1Young.mp4
214.28	1.835	rating	0.5348	age	pleasure	female	African	young	n/a
214.863	1.252	rating_mouse_trajectory	0.5348	age	pleasure	female	African	young	n/a
217.186	1.312	face	n/a	age	disgust	female	WC	young	task-faces/4Disgust_Model4_1Female_1WC_1Young.mp4
218.498	1.724	rating	0.2071	age	disgust	female	WC	young	n/a
218.548	1.674	rating_mouse_trajectory	0.2071	age	disgust	female	WC	young	n/a
221.421	1.312	face	n/a	age	sad	female	African	old	task-faces/6Sad_Model5_1Female_3African_2Old.mp4
222.733	0.768	rating	0.466	age	sad	female	African	old	n/a
n/a	n/a	rating_mouse_trajectory	0.466	age	sad	female	African	old	n/a
225.657	2.044	face	n/a	age	pain	male	EA	old	task-faces/7Pain_Model2_2Male_2EA_2Old.mp4
227.701	1.504	rating	0.6218	age	pain	male	EA	old	n/a
227.968	1.238	rating_mouse_trajectory	0.6218	age	pain	male	EA	old	n/a
230.61	1.309	face	n/a	age	fear	male	WC	young	task-faces/3Fear_Model2_2Male_1WC_1Young.mp4
231.92	1.8	rating	0.3244	age	fear	male	WC	young	n/a
232.72	1.0	rating_mouse_trajectory	0.3244	age	fear	male	WC	young	n/a
233.843	1.311	face	n/a	age	disgust	female	African	old	task-faces/4Disgust_Model1_1Female_3African_2Old.mp4
235.154	0.985	rating	0.6278	age	disgust	female	African	old	n/a
235.337	0.802	rating_mouse_trajectory	0.6278	age	disgust	female	African	old	n/a
237.058	1.298	face	n/a	age	disgust	male	EA	old	task-faces/4Disgust_Model5_2Male_2EA_2Old.mp4
238.355	1.852	rating	0.4802	age	disgust	male	EA	old	n/a
238.739	1.469	rating_mouse_trajectory	0.4802	age	disgust	male	EA	old	n/a
242.279	1.311	face	n/a	age	disgust	male	African	old	task-faces/4Disgust_Model4_2Male_3African_2Old.mp4
243.591	1.783	rating	0.6015	age	disgust	male	African	old	n/a
244.024	1.35	rating_mouse_trajectory	0.6015	age	disgust	male	African	old	n/a
245.515	1.31	face	n/a	age	anger	male	African	old	task-faces/5Anger_Model1_2Male_3African_2Old.mp4
246.825	1.417	rating	0.5146	age	anger	male	African	old	n/a
247.975	0.267	rating_mouse_trajectory	0.5146	age	anger	male	African	old	n/a
252.744	2.034	face	n/a	age	pleasure	female	EA	old	task-faces/8Pleasure_Model2_1Female_2EA_2Old.mp4
254.778	n/a	rating	n/a	age	pleasure	female	EA	old	n/a
n/a	n/a	rating_mouse_trajectory	n/a	age	pleasure	female	EA	old	n/a
256.694	1.302	face	n/a	age	sad	male	African	old	task-faces/6Sad_Model3_2Male_3African_2Old.mp4
257.996	1.027	rating	0.5591	age	sad	male	African	old	n/a
258.346	0.677	rating_mouse_trajectory	0.5591	age	sad	male	African	old	n/a
260.903	1.311	face	n/a	age	sad	female	African	young	task-faces/6Sad_Model1_1Female_3African_1Young.mp4
262.214	0.875	rating	0.286	age	sad	female	African	young	n/a
262.564	0.525	rating_mouse_trajectory	0.286	age	sad	female	African	young	n/a
265.138	1.311	face	n/a	age	disgust	male	EA	young	task-faces/4Disgust_Model1_2Male_2EA_1Young.mp4
266.449	1.635	rating	0.3325	age	disgust	male	EA	young	n/a
267.366	0.719	rating_mouse_trajectory	0.3325	age	disgust	male	EA	young	n/a
269.373	1.311	face	n/a	age	fear	male	EA	old	task-faces/3Fear_Model3_2Male_2EA_2Old.mp4
270.684	1.555	rating	0.735	age	fear	male	EA	old	n/a
270.867	1.372	rating_mouse_trajectory	0.735	age	fear	male	EA	old	n/a
272.592	2.044	face	n/a	age	pain	female	EA	old	task-faces/7Pain_Model5_1Female_2EA_2Old.mp4
274.636	1.507	rating	0.9231	age	pain	female	EA	old	n/a
275.052	1.091	rating_mouse_trajectory	0.9231	age	pain	female	EA	old	n/a
277.559	1.311	face	n/a	age	surprise	female	African	old	task-faces/2Surprise_Model3_1Female_3African_2Old.mp4
278.87	0.835	rating	0.466	age	surprise	female	African	old	n/a
n/a	n/a	rating_mouse_trajectory	0.466	age	surprise	female	African	old	n/a
280.774	1.314	face	n/a	age	happy	male	WC	old	task-faces/1Happy_Model4_2Male_1WC_2Old.mp4
282.088	0.868	rating	0.64	age	happy	male	WC	old	n/a
282.138	0.818	rating_mouse_trajectory	0.64	age	happy	male	WC	old	n/a
284.995	2.046	face	n/a	age	pleasure	female	WC	young	task-faces/8Pleasure_Model2_1Female_1WC_1Young.mp4
287.04	1.085	rating	0.2132	age	pleasure	female	WC	young	n/a
287.09	1.035	rating_mouse_trajectory	0.2132	age	pleasure	female	WC	young	n/a
289.964	2.045	face	n/a	age	pain	male	WC	young	task-faces/7Pain_Model3_2Male_1WC_1Young.mp4
292.009	1.151	rating	0.371	age	pain	male	WC	young	n/a
292.192	0.968	rating_mouse_trajectory	0.371	age	pain	male	WC	young	n/a
293.927	1.317	face	n/a	age	anger	female	EA	young	task-faces/5Anger_Model2_1Female_2EA_1Young.mp4
295.243	1.602	rating	0.2759	age	anger	female	EA	young	n/a
295.877	0.968	rating_mouse_trajectory	0.2759	age	anger	female	EA	young	n/a
299.161	2.034	face	n/a	age	pain	female	African	young	task-faces/7Pain_Model2_1Female_3African_1Young.mp4
301.195	0.718	rating	0.3345	age	pain	female	African	young	n/a
301.312	0.602	rating_mouse_trajectory	0.3345	age	pain	female	African	young	n/a
304.102	1.312	face	n/a	age	surprise	male	EA	young	task-faces/2Surprise_Model3_2Male_2EA_1Young.mp4
305.414	1.867	rating	0.2779	age	surprise	male	EA	young	n/a
306.264	1.017	rating_mouse_trajectory	0.2779	age	surprise	male	EA	young	n/a
308.345	2.037	face	n/a	age	pain	female	African	old	task-faces/7Pain_Model4_1Female_3African_2Old.mp4
310.382	1.874	rating	0.5328	age	pain	female	African	old	n/a
310.432	1.824	rating_mouse_trajectory	0.5328	age	pain	female	African	old	n/a
312.306	2.045	face	n/a	age	pleasure	male	EA	young	task-faces/8Pleasure_Model5_2Male_2EA_1Young.mp4
314.35	1.572	rating	0.5105	age	pleasure	male	EA	young	n/a
315.334	0.589	rating_mouse_trajectory	0.5105	age	pleasure	male	EA	young	n/a
316.273	1.312	face	n/a	age	surprise	male	African	young	task-faces/2Surprise_Model2_2Male_3African_1Young.mp4
317.585	n/a	rating	n/a	age	surprise	male	African	young	n/a
n/a	n/a	rating_mouse_trajectory	n/a	age	surprise	male	African	young	n/a
320.509	2.045	face	n/a	age	pain	female	EA	young	task-faces/7Pain_Model3_1Female_2EA_1Young.mp4
322.553	0.719	rating	0.2091	age	pain	female	EA	young	n/a
322.603	0.669	rating_mouse_trajectory	0.2091	age	pain	female	EA	young	n/a
325.46	1.312	face	n/a	age	disgust	female	African	young	task-faces/4Disgust_Model1_1Female_3African_1Young.mp4
326.772	1.867	rating	0.3568	age	disgust	female	African	young	n/a
327.355	1.283	rating_mouse_trajectory	0.3568	age	disgust	female	African	young	n/a
329.694	1.312	face	n/a	age	happy	female	WC	young	task-faces/1Happy_Model3_1Female_1WC_1Young.mp4
331.007	1.852	rating	0.7633	age	happy	female	WC	young	n/a
331.657	1.202	rating_mouse_trajectory	0.7633	age	happy	female	WC	young	n/a
332.927	1.314	face	n/a	age	sad	female	EA	young	task-faces/6Sad_Model4_1Female_2EA_1Young.mp4
334.241	1.435	rating	0.2718	age	sad	female	EA	young	n/a
334.924	0.752	rating_mouse_trajectory	0.2718	age	sad	female	EA	young	n/a
338.162	1.298	face	n/a	age	happy	female	African	old	task-faces/1Happy_Model2_1Female_3African_2Old.mp4
339.46	1.85	rating	0.8341	age	happy	female	African	old	n/a
340.01	1.3	rating_mouse_trajectory	0.8341	age	happy	female	African	old	n/a
342.378	1.3	face	n/a	age	happy	female	African	young	task-faces/1Happy_Model5_1Female_3African_1Young.mp4
343.678	1.152	rating	0.1869	age	happy	female	African	young	n/a
344.178	0.652	rating_mouse_trajectory	0.1869	age	happy	female	African	young	n/a
347.584	1.312	face	n/a	age	surprise	male	WC	old	task-faces/2Surprise_Model3_2Male_1WC_2Old.mp4
348.897	0.976	rating	0.7532	age	surprise	male	WC	old	n/a
349.23	0.643	rating_mouse_trajectory	0.7532	age	surprise	male	WC	old	n/a
351.82	1.311	face	n/a	age	disgust	female	EA	old	task-faces/4Disgust_Model4_1Female_2EA_2Old.mp4
353.131	1.091	rating	0.5287	age	disgust	female	EA	old	n/a
353.398	0.824	rating_mouse_trajectory	0.5287	age	disgust	female	EA	old	n/a
356.057	1.31	face	n/a	age	disgust	female	EA	young	task-faces/4Disgust_Model3_1Female_2EA_1Young.mp4
357.366	1.683	rating	0.1889	age	disgust	female	EA	young	n/a
358.783	0.267	rating_mouse_trajectory	0.1889	age	disgust	female	EA	young	n/a
361.295	1.307	face	n/a	age	anger	female	EA	old	task-faces/5Anger_Model2_1Female_2EA_2Old.mp4
362.602	1.588	rating	0.6197	age	anger	female	EA	old	n/a
