onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	participant_response	reaction_time
7.943	1.017	memory	dummy	study_dummy	n/a	task-memory/obj027blimp.png	n/a	n/a
9.977	1.017	memory	dummy	study_dummy	n/a	task-memory/obj064clock.png	n/a	n/a
12.011	1.017	memory	dummy	study_dummy	n/a	task-memory/obj093egg.png	n/a	n/a
14.045	1.017	memory	study	study	n/a	task-memory/obj310tractor.png	n/a	n/a
16.079	1.034	memory	study	study	n/a	task-memory/obj225pizza.png	n/a	n/a
18.13	1.034	memory	study	study	n/a	task-memory/obj313trophy.png	n/a	n/a
20.181	1.017	memory	study	study	n/a	task-memory/obj124grapes.png	n/a	n/a
22.215	1.017	memory	study	study	n/a	task-memory/obj128hamburger.png	n/a	n/a
24.249	1.034	memory	study	study	n/a	task-memory/obj090drum.png	n/a	n/a
26.3	1.017	memory	study	study	n/a	task-memory/obj260scissors.png	n/a	n/a
28.334	1.034	memory	study	study	n/a	task-memory/obj117ghost.png	n/a	n/a
30.385	1.017	memory	study	study	n/a	task-memory/obj024bicycle.png	n/a	n/a
32.435	1.017	memory	study	study	n/a	task-memory/obj005ant.png	n/a	n/a
34.469	1.017	memory	study	study	n/a	task-memory/obj059chicken.png	n/a	n/a
36.52	1.017	memory	study	study	n/a	task-memory/obj040butterfly.png	n/a	n/a
38.571	1.017	memory	study	study	n/a	task-memory/obj218pig.png	n/a	n/a
40.605	1.017	memory	study	study	n/a	task-memory/obj142hook.png	n/a	n/a
42.639	1.017	memory	study	study	n/a	task-memory/obj280sofa.png	n/a	n/a
44.673	1.017	memory	study	study	n/a	task-memory/obj120glasses.png	n/a	n/a
46.707	1.017	memory	study	study	n/a	task-memory/obj068cork.png	n/a	n/a
48.741	1.017	memory	study	study	n/a	task-memory/obj071cowboy.png	n/a	n/a
50.776	1.017	memory	study	study	n/a	task-memory/obj298tennisracket.png	n/a	n/a
52.81	1.017	memory	study	study	n/a	task-memory/obj069corn.png	n/a	n/a
54.844	1.017	memory	dummy	study_dummy	n/a	task-memory/obj173lock.png	n/a	n/a
56.878	1.017	memory	dummy	study_dummy	n/a	task-memory/obj227plug.png	n/a	n/a
58.912	1.017	memory	dummy	study_dummy	n/a	task-memory/obj314truck.png	n/a	n/a
71.066	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.127	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.187	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.248	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
188.727	1.145	memory	test	test_old	correct	task-memory/obj124grapes.png	old	n/a
191.562	0.842	memory	test	test_new	correct	task-memory/obj273sled.png	new	n/a
194.379	1.08	memory	test	test_new	correct	task-memory/obj150jar.png	new	n/a
197.08	0.832	memory	test	test_new	correct	task-memory/obj106flashlight.png	new	n/a
199.748	1.057	memory	test	test_new	correct	task-memory/obj079desk.png	new	n/a
202.582	1.378	memory	test	test_new	correct	task-memory/obj281spaghetti.png	new	n/a
205.567	0.599	memory	test	test_old	correct	task-memory/obj142hook.png	old	n/a
208.384	1.038	memory	test	test_new	correct	task-memory/obj114frog.png	new	n/a
211.219	0.926	memory	test	test_new	correct	task-memory/obj174magnet.png	new	n/a
214.237	1.596	memory	test	test_new	correct	task-memory/obj301thimble.png	new	n/a
217.254	0.649	memory	test	test_old	correct	task-memory/obj090drum.png	old	n/a
