onset	duration	event_type	value	response_accuracy	stim_file
12.0674846076965	11.0	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt
100.583827486038	11.0	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt
159.622511615753	11.0	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt
218.64452170372	11.0	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt
248.172199954987	11.0	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt
336.705215206146	11.0	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt
395.710553874969	11.0	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt
425.221559514999	11.0	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt
513.754575242996	11.0	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt
572.776586046219	11.0	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt
41.5618178749084	11.0	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt
71.0728230381012	11.0	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt
130.094834318161	11.0	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt
189.133516778946	11.0	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt
277.666532745361	11.0	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt
307.177537431717	11.0	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt
366.199548950195	11.0	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt
454.732564439774	11.0	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt
484.243569602966	11.0	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt
543.265581121445	11.0	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt
23.0382425689697	2.80971741676331	response	falsebelief	correct	tomsaxe/3b_question.txt
111.571258535385	4.10243153572083	response	falsebelief	correct	tomsaxe/10b_question.txt
170.609942188263	3.28756070137024	response	falsebelief	correct	tomsaxe/1b_question.txt
229.631953229904	3.3707857131958	response	falsebelief	correct	tomsaxe/7b_question.txt
259.142957677841	5.44768023490906	response	falsebelief	incorrect	tomsaxe/5b_question.txt
347.675973882675	4.26607918739319	response	falsebelief	correct	tomsaxe/4b_question.txt
406.697984924316	2.95774006843567	response	falsebelief	correct	tomsaxe/9b_question.txt
436.208989372253	3.61095356941223	response	falsebelief	correct	tomsaxe/8b_question.txt
524.742005577087	3.46596145629883	response	falsebelief	correct	tomsaxe/6b_question.txt
583.764017095566	3.97897481918335	response	falsebelief	correct	tomsaxe/2b_question.txt
52.5492479705811	3.53588891029358	response	falsephoto	correct	tomsaxe/3p_question.txt
82.0602524185181	4.75170946121216	response	falsephoto	incorrect	tomsaxe/10p_question.txt
141.082264175415	3.39969182014465	response	falsephoto	correct	tomsaxe/1p_question.txt
200.120946159363	2.42311978340149	response	falsephoto	correct	tomsaxe/7p_question.txt
288.653964033127	1.95509791374207	response	falsephoto	correct	tomsaxe/5p_question.txt
318.164968957901	5.13222694396973	response	falsephoto	correct	tomsaxe/4p_question.txt
377.186978569031	2.53693747520447	response	falsephoto	correct	tomsaxe/9p_question.txt
465.719995727539	3.95602035522461	response	falsephoto	correct	tomsaxe/8p_question.txt
495.231000890732	2.69353604316711	response	falsephoto	correct	tomsaxe/6p_question.txt
554.25301074028	3.95016932487488	response	falsephoto	correct	tomsaxe/2p_question.txt
