onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	trial_index
14.826	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	1
25.797	4.724	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	1
44.32	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	2
55.308	3.455	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	2
73.831	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	3
84.819	5.93	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	3
103.359	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	4
114.33	2.423	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	4
132.87	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
143.857	5.894	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/1p_question.txt	5
162.381	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.368	3.36	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
191.908	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	7
202.879	2.079	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	7
221.403	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	8
232.39	3.998	tomsaxe	response	falsebelief	correct	task-tomsaxe/7b_question.txt	8
250.914	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	9
261.901	3.984	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt	9
280.425	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	10
291.412	2.879	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	10
309.936	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	11
320.923	3.274	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/4p_question.txt	11
339.447	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	12
350.434	3.719	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	12
368.958	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	13
379.945	3.989	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	13
398.469	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	14
409.456	5.956	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	14
427.98	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	15
438.967	4.751	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	15
457.491	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	16
468.478	3.945	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	16
487.002	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	17
497.989	4.051	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	17
516.513	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	18
527.5	3.141	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	18
546.024	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	19
557.011	5.963	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt	19
575.535	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	20
586.522	2.447	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	20
