onset	duration	subtask_type	event_type	value	response_accuracy	stim_file
12.0532553100586	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt
100.577476491928	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt
159.604740848541	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt
218.632003297806	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt
248.145635595322	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt
336.686530580521	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt
395.713794698715	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt
425.227426757813	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt
513.76832198143	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt
572.795585384369	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt
41.5502130889893	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt
71.0638444328308	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt
130.091109027863	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt
189.118371477127	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt
277.659267177582	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt
307.172898759842	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt
366.200161685944	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt
454.741057386398	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt
484.254689445496	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt
543.281952848434	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt
23.024989118576	4.42617273330688	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt
111.565885772705	4.52780222892761	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt
170.593148460388	2.69493055343628	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt
229.62041138649	3.00703954696655	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt
259.134044160843	2.67470169067383	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt
347.674939146042	3.02390789985657	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt
406.702202310562	3.67774963378906	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt
436.215834369659	5.10493564605713	tomsaxe	response	falsebelief	correct	task-tomsaxe/7b_question.txt
524.756730070114	3.00077295303345	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt
583.783993234634	3.98881483078003	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt
52.5386216545105	4.19797325134277	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt
82.0522539520264	2.83386301994324	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt
141.079516878128	n/a	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/1p_question.txt
200.106780042648	3.01968383789062	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt
288.647675027847	2.67593193054199	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt
318.161308040619	4.65685391426086	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt
377.188571205139	4.09980463981628	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt
465.72946762085	2.0616602897644	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt
495.243098487854	3.31876134872437	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt
554.270361652374	2.9507782459259	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt
