onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	trial_index
14.816	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	1
25.787	0.029	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/4b_question.txt	1
44.344	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	2
55.314	2.833	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	2
73.838	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	3
84.825	3.273	tomsaxe	response	falsephoto	correct	task-tomsaxe/1p_question.txt	3
103.349	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	4
114.336	2.508	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	4
132.86	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	5
143.847	2.445	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	5
162.388	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	6
173.375	2.745	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	6
191.915	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	7
202.903	2.273	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	7
221.426	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	8
232.414	2.9	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	8
250.937	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	9
261.925	3.163	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	9
280.448	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	10
291.436	1.831	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	10
309.959	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	11
320.947	1.924	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	11
339.47	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	12
350.458	3.61	tomsaxe	response	falsebelief	correct	task-tomsaxe/7b_question.txt	12
368.981	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	13
379.969	2.768	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	13
398.492	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	14
409.48	2.217	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	14
428.003	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	15
438.991	0.007	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	15
457.514	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	16
468.502	2.219	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	16
487.025	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	17
498.013	1.723	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	17
516.536	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	18
527.524	1.737	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt	18
546.047	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	19
557.035	3.09	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt	19
575.558	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	20
586.546	2.502	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	20
