onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	participant_response	reaction_time
7.913	1.034	memory	dummy	study_dummy	n/a	task-memory/obj024bicycle.png	n/a	n/a
9.964	1.017	memory	dummy	study_dummy	n/a	task-memory/obj038broom.png	n/a	n/a
11.998	1.017	memory	dummy	study_dummy	n/a	task-memory/obj144hose.png	n/a	n/a
14.032	1.017	memory	study	study	n/a	task-memory/obj111fork.png	n/a	n/a
16.066	1.034	memory	study	study	n/a	task-memory/obj209paperclip.png	n/a	n/a
18.117	1.034	memory	study	study	n/a	task-memory/obj097eye.png	n/a	n/a
20.168	1.017	memory	study	study	n/a	task-memory/obj093egg.png	n/a	n/a
22.202	1.017	memory	study	study	n/a	task-memory/obj279sock.png	n/a	n/a
24.236	1.034	memory	study	study	n/a	task-memory/obj007arrow.png	n/a	n/a
26.287	1.017	memory	study	study	n/a	task-memory/obj048candle.png	n/a	n/a
28.338	1.017	memory	study	study	n/a	task-memory/obj266shovel.png	n/a	n/a
30.388	1.017	memory	study	study	n/a	task-memory/obj180medal.png	n/a	n/a
32.439	1.017	memory	study	study	n/a	task-memory/obj208paper.png	n/a	n/a
34.473	1.017	memory	study	study	n/a	task-memory/obj122glove.png	n/a	n/a
36.507	1.017	memory	study	study	n/a	task-memory/obj239rake.png	n/a	n/a
38.541	1.017	memory	study	study	n/a	task-memory/obj293table.png	n/a	n/a
40.575	1.017	memory	study	study	n/a	task-memory/obj096eskimo.png	n/a	n/a
42.61	1.017	memory	study	study	n/a	task-memory/obj008ashtray.png	n/a	n/a
44.644	1.017	memory	study	study	n/a	task-memory/obj060chimney.png	n/a	n/a
46.678	1.017	memory	study	study	n/a	task-memory/obj344worm.png	n/a	n/a
48.712	1.017	memory	study	study	n/a	task-memory/obj200orange.png	n/a	n/a
50.746	1.017	memory	study	study	n/a	task-memory/obj165leopard.png	n/a	n/a
52.78	1.017	memory	study	study	n/a	task-memory/obj114frog.png	n/a	n/a
54.814	1.017	memory	dummy	study_dummy	n/a	task-memory/obj218pig.png	n/a	n/a
56.848	1.017	memory	dummy	study_dummy	n/a	task-memory/obj247rollerskate.png	n/a	n/a
58.882	1.017	memory	dummy	study_dummy	n/a	task-memory/obj272skunk.png	n/a	n/a
71.07	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.147	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.208	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.268	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
188.681	1.646	memory	test	test_new	correct	task-memory/obj099faucet.png	new	n/a
