onset	duration	trial_type	response_value	stim_file
2.784	211.39	video	n/a	task-alignvideo/ses-03_run-01_order-01_content-mountainbike.mp4
218.904	n/a	rating_relevance	n/a	n/a
223.923	n/a	rating_happy	n/a	n/a
228.975	n/a	rating_sad	n/a	n/a
234.01	n/a	rating_afraid	n/a	n/a
239.045	n/a	rating_disgusted	n/a	n/a
244.08	n/a	rating_warm	n/a	n/a
249.099	n/a	rating_engaged	n/a	n/a
249.766	20.964	video	n/a	task-alignvideo/ses-03_run-01_order-02_content-carflood.mp4
275.309	n/a	rating_relevance	n/a	n/a
280.344	n/a	rating_happy	n/a	n/a
285.379	n/a	rating_sad	n/a	n/a
290.414	n/a	rating_afraid	n/a	n/a
295.433	n/a	rating_disgusted	n/a	n/a
300.451	n/a	rating_warm	n/a	n/a
305.47	n/a	rating_engaged	n/a	n/a
306.024	30.141	video	n/a	task-alignvideo/ses-03_run-01_order-03_content-fireplace.mp4
340.717	n/a	rating_relevance	n/a	n/a
345.735	n/a	rating_happy	n/a	n/a
350.754	n/a	rating_sad	n/a	n/a
355.772	n/a	rating_afraid	n/a	n/a
360.791	n/a	rating_disgusted	n/a	n/a
365.809	n/a	rating_warm	n/a	n/a
370.828	n/a	rating_engaged	n/a	n/a
371.382	123.298	video	n/a	task-alignvideo/ses-03_run-01_order-04_content-snakes.mp4
499.259	n/a	rating_relevance	n/a	n/a
504.294	n/a	rating_happy	n/a	n/a
509.329	n/a	rating_sad	n/a	n/a
514.365	n/a	rating_afraid	n/a	n/a
519.383	n/a	rating_disgusted	n/a	n/a
524.402	n/a	rating_warm	n/a	n/a
529.42	n/a	rating_engaged	n/a	n/a
