onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file_TODO	trial_index
511.214	0.651	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_754.jpg	220
512.181	0.869	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_111.jpg	221
513.364	0.718	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_584.jpg	222
514.398	0.869	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_128.jpg	223
515.582	0.818	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_774.jpg	224
520.391	2.101	tomspunt	self-protection?	block_question_presentation	n/a	n/a	n/a	n/a	225
525.402	0.493	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_581.jpg	225
526.203	0.619	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_443.jpg	226
527.136	0.793	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_332.jpg	227
528.237	0.735	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_027.jpg	228
529.287	1.041	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_532.jpg	229
530.637	0.957	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_189.jpg	230
531.905	0.852	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_006.jpg	231
533.072	0.64	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_038.jpg	232
538.615	2.101	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a	233
543.626	0.869	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg	233
544.809	0.653	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg	234
545.776	0.668	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_136.jpg	235
546.76	0.685	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg	236
547.761	0.602	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg	237
548.678	0.935	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_189.jpg	238
549.928	0.518	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_170.jpg	239
550.762	1.035	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg	240
556.488	2.101	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a	241
561.499	0.796	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_716.jpg	241
562.599	0.651	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_798.jpg	242
563.566	0.652	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_760.jpg	243
564.533	0.702	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_110.jpg	244
565.551	0.778	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_779.jpg	245
566.634	0.861	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_590.jpg	246
567.801	0.719	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_111.jpg	247
568.835	0.71	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_433.jpg	248
578.963	2.101	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a	249
583.974	0.705	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_083.jpg	249
584.991	0.621	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_582.jpg	250
585.925	0.737	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_618.jpg	251
586.975	1.103	tomspunt	proud?	why_face	yes	no	incorrect	task-tomspunt/F_776.jpg	252
588.392	0.653	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_598.jpg	253
589.359	0.752	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_760.jpg	254
590.426	0.735	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_412.jpg	255
591.477	0.852	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_695.jpg	256
