onset	duration	trial_type	response_value	stim_file
2.766	106.327	video	n/a	task-alignvideo/ses-01_run-03_order-01_content-huggingpets.mp4
111.774	2.643	rating_relevance	64.9	n/a
116.692	2.549	rating_happy	65.1	n/a
120.894	1.733	rating_sad	24.38	n/a
126.546	2.367	rating_afraid	1.46	n/a
130.847	1.65	rating_disgusted	1.35	n/a
138.3	4.084	rating_warm	83.96	n/a
142.452	3.217	rating_engaged	71.35	n/a
144.274	59.186	video	n/a	task-alignvideo/ses-01_run-03_order-02_content-bestfriendsweating.mp4
207.926	4.428	rating_relevance	27.81	n/a
209.994	1.482	rating_happy	1.88	n/a
215.629	2.1	rating_sad	58.75	n/a
222.048	3.501	rating_afraid	77.71	n/a
226.383	2.817	rating_disgusted	69.38	n/a
231.735	3.15	rating_warm	4.38	n/a
235.703	2.1	rating_engaged	58.65	n/a
238.634	20.945	video	n/a	task-alignvideo/ses-01_run-03_order-03_content-cupstacking.mp4
262.446	2.825	rating_relevance	39.27	n/a
267.348	2.717	rating_happy	63.23	n/a
271.833	2.184	rating_sad	2.6	n/a
276.952	2.283	rating_afraid	7.5	n/a
281.704	2.017	rating_disgusted	1.04	n/a
286.189	1.488	rating_warm	20.62	n/a
292.007	2.286	rating_engaged	51.46	n/a
294.758	136.719	video	n/a	task-alignvideo/ses-01_run-03_order-04_content-dancewithdeath.mp4
435.511	3.991	rating_relevance	17.92	n/a
438.779	2.25	rating_happy	1.35	n/a
442.83	1.283	rating_sad	29.06	n/a
449.283	2.717	rating_afraid	46.88	n/a
453.634	2.05	rating_disgusted	58.12	n/a
460.487	3.884	rating_warm	0.94	n/a
465.572	3.954	rating_engaged	31.15	n/a
