onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file_TODO
11.836	22.129	narrative_presentation	n/a	n/a	An enemy loved	forest	Text	task-narratives/Narrative2Situation1.txt
33.965	2.989	rating_feeling	1161	535	An enemy loved	forest	Text	n/a
34.765	2.189	feeling_mouse_trajectory	1161	535	An enemy loved	forest	Text	n/a
38.035	2.937	rating_expectation	1228	490	An enemy loved	forest	Text	n/a
38.435	2.537	expectation_mouse_trajectory	1228	490	An enemy loved	forest	Text	n/a
44.098	36.183	narrative_presentation	n/a	n/a	Enmity of kin	forest	Text	task-narratives/Narrative2Situation2.txt
80.281	2.088	rating_feeling	714	556	Enmity of kin	forest	Text	n/a
80.664	1.705	feeling_mouse_trajectory	714	556	Enmity of kin	forest	Text	n/a
84.302	3.103	rating_expectation	710	589	Enmity of kin	forest	Text	n/a
85.318	2.087	expectation_mouse_trajectory	710	589	Enmity of kin	forest	Text	n/a
92.383	9.373	narrative_presentation	n/a	n/a	Necessity of sacrificing loved ones	forest	Text	task-narratives/Narrative2Situation3.txt
101.755	2.251	rating_feeling	730	604	Necessity of sacrificing loved ones	forest	Text	n/a
102.972	1.034	feeling_mouse_trajectory	730	604	Necessity of sacrificing loved ones	forest	Text	n/a
105.773	1.301	rating_expectation	873	647	Necessity of sacrificing loved ones	forest	Text	n/a
106.223	0.851	expectation_mouse_trajectory	873	647	Necessity of sacrificing loved ones	forest	Text	n/a
112.84	18.43	narrative_presentation	n/a	n/a	Murderous adultury	town	Text	task-narratives/Narrative2Situation4.txt
131.27	3.136	rating_feeling	690	558	Murderous adultury	town	Text	n/a
131.753	2.652	feeling_mouse_trajectory	690	558	Murderous adultury	town	Text	n/a
135.285	1.667	rating_expectation	717	529	Murderous adultury	town	Text	n/a
135.868	1.084	expectation_mouse_trajectory	717	529	Murderous adultury	town	Text	n/a
142.368	16.742	narrative_presentation	n/a	n/a	Daring Enterprise	town	Text	task-narratives/Narrative2Situation5.txt
159.11	2.509	rating_feeling	648	533	Daring Enterprise	town	Text	n/a
159.91	1.709	feeling_mouse_trajectory	648	533	Daring Enterprise	town	Text	n/a
163.128	3.535	rating_expectation	675	522	Daring Enterprise	town	Text	n/a
164.561	2.102	expectation_mouse_trajectory	675	522	Daring Enterprise	town	Text	n/a
169.195	5.692	narrative_presentation	n/a	n/a	Ambition	town	Text	task-narratives/Narrative2Situation6.txt
174.886	2.719	rating_feeling	726	588	Ambition	town	Text	n/a
175.903	1.703	feeling_mouse_trajectory	726	588	Ambition	town	Text	n/a
178.902	1.518	rating_expectation	766	602	Ambition	town	Text	n/a
179.235	1.185	expectation_mouse_trajectory	766	602	Ambition	town	Text	n/a
183.967	19.093	narrative_presentation	n/a	n/a	Mistaken jealousy	hospital	Text	task-narratives/Narrative2Situation7.txt
203.06	2.392	rating_feeling	968	608	Mistaken jealousy	hospital	Text	n/a
203.76	1.692	feeling_mouse_trajectory	968	608	Mistaken jealousy	hospital	Text	n/a
207.077	1.024	rating_expectation	851	584	Mistaken jealousy	hospital	Text	n/a
207.111	0.991	expectation_mouse_trajectory	851	584	Mistaken jealousy	hospital	Text	n/a
214.161	18.093	narrative_presentation	n/a	n/a	Discovery of dishonour of loved one	hospital	Text	task-narratives/Narrative2Situation8.txt
232.255	3.935	rating_feeling	1133	592	Discovery of dishonour of loved one	hospital	Text	n/a
233.305	2.885	feeling_mouse_trajectory	1133	592	Discovery of dishonour of loved one	hospital	Text	n/a
236.272	2.018	rating_expectation	1187	545	Discovery of dishonour of loved one	hospital	Text	n/a
236.905	1.384	expectation_mouse_trajectory	1187	545	Discovery of dishonour of loved one	hospital	Text	n/a
243.339	15.409	narrative_presentation	n/a	n/a	Self-sacrifice for an ideal	hospital	Text	task-narratives/Narrative2Situation9.txt
258.747	3.088	rating_feeling	1207	497	Self-sacrifice for an ideal	hospital	Text	n/a
259.214	2.622	feeling_mouse_trajectory	1207	497	Self-sacrifice for an ideal	hospital	Text	n/a
262.768	2.287	rating_expectation	1233	488	Self-sacrifice for an ideal	hospital	Text	n/a
263.152	1.903	expectation_mouse_trajectory	1233	488	Self-sacrifice for an ideal	hospital	Text	n/a
269.849	10.391	narrative_presentation	n/a	n/a	Supplication	hospital	Text	task-narratives/Narrative1Situation1.txt
280.24	2.068	rating_feeling	955	627	Supplication	hospital	Text	n/a
281.507	0.801	feeling_mouse_trajectory	955	627	Supplication	hospital	Text	n/a
284.256	2.334	rating_expectation	953	604	Supplication	hospital	Text	n/a
284.756	1.834	expectation_mouse_trajectory	953	604	Supplication	hospital	Text	n/a
290.323	14.409	narrative_presentation	n/a	n/a	Madness	hospital	Text	task-narratives/Narrative1Situation2.txt
304.732	1.788	rating_feeling	763	565	Madness	hospital	Text	n/a
305.132	1.388	feeling_mouse_trajectory	763	565	Madness	hospital	Text	n/a
308.752	1.72	rating_expectation	809	604	Madness	hospital	Text	n/a
309.202	1.27	expectation_mouse_trajectory	809	604	Madness	hospital	Text	n/a
313.815	20.78	narrative_presentation	n/a	n/a	Murderous adultury	hospital	Text	task-narratives/Narrative1Situation3.txt
334.596	3.91	rating_feeling	897	560	Murderous adultury	hospital	Text	n/a
334.629	3.877	feeling_mouse_trajectory	897	560	Murderous adultury	hospital	Text	n/a
338.618	2.268	rating_expectation	771	556	Murderous adultury	hospital	Text	n/a
339.401	1.484	expectation_mouse_trajectory	771	556	Murderous adultury	hospital	Text	n/a
345.694	18.427	narrative_presentation	n/a	n/a	Recovery of a lost one	town	Text	task-narratives/Narrative1Situation4.txt
364.121	2.351	rating_feeling	660	523	Recovery of a lost one	town	Text	n/a
364.621	1.851	feeling_mouse_trajectory	660	523	Recovery of a lost one	town	Text	n/a
368.138	2.701	rating_expectation	724	488	Recovery of a lost one	town	Text	n/a
368.821	2.018	expectation_mouse_trajectory	724	488	Recovery of a lost one	town	Text	n/a
375.205	11.057	narrative_presentation	n/a	n/a	Slaying of kin unrecognized	town	Text	task-narratives/Narrative1Situation5.txt
386.262	3.635	rating_feeling	1157	610	Slaying of kin unrecognized	town	Text	n/a
386.496	3.402	feeling_mouse_trajectory	1157	610	Slaying of kin unrecognized	town	Text	n/a
390.279	2.072	rating_expectation	1182	512	Slaying of kin unrecognized	town	Text	n/a
391.013	1.339	expectation_mouse_trajectory	1182	512	Slaying of kin unrecognized	town	Text	n/a
395.362	25.129	narrative_presentation	n/a	n/a	An enemy loved	town	Text	task-narratives/Narrative1Situation6.txt
420.491	2.861	rating_feeling	687	543	An enemy loved	town	Text	n/a
421.141	2.211	feeling_mouse_trajectory	687	543	An enemy loved	town	Text	n/a
424.509	1.61	rating_expectation	766	604	An enemy loved	town	Text	n/a
425.009	1.11	expectation_mouse_trajectory	766	604	An enemy loved	town	Text	n/a
431.576	22.112	narrative_presentation	n/a	n/a	Fatal imprudence	prison	Text	task-narratives/Narrative1Situation7.txt
453.688	3.702	rating_feeling	1140	576	Fatal imprudence	prison	Text	n/a
455.654	1.735	feeling_mouse_trajectory	1140	576	Fatal imprudence	prison	Text	n/a
457.704	1.484	rating_expectation	1210	503	Fatal imprudence	prison	Text	n/a
458.371	0.817	expectation_mouse_trajectory	1210	503	Fatal imprudence	prison	Text	n/a
