onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
2.811	3.119	cue	n/a	n/a	mentalizing	remember	n/a
5.93	5.221	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-10_content-captureflag.mp4
11.23	2.721	rating	77.79	Very strong	mentalizing	remember	n/a
11.28	2.671	rating_mouse_trajectory	77.79	Very strong	mentalizing	remember	n/a
16.347	5.555	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-11_content-menrunning.mp4
21.968	2.185	rating	33.06	Strong	mentalizing	remember	n/a
22.551	1.601	rating_mouse_trajectory	33.06	Strong	mentalizing	remember	n/a
27.043	5.508	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-15_content-giving.mp4
32.622	1.367	rating	139.22	Strongest possible	mentalizing	remember	n/a
32.955	1.034	rating_mouse_trajectory	139.22	Strongest possible	mentalizing	remember	n/a
37.64	3.146	cue	n/a	n/a	similarity	n/a	n/a
40.786	6.341	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-17_content-freesolo.mp4
47.194	1.167	rating	8.84	Weak	similarity	n/a	n/a
47.51	0.851	rating_mouse_trajectory	8.84	Weak	similarity	n/a	n/a
52.303	5.182	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-13_content-wanderers.mp4
57.564	1.987	rating	56.18	Strong	similarity	n/a	n/a
57.981	1.57	rating_mouse_trajectory	56.18	Strong	similarity	n/a	n/a
62.673	5.829	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-03_content-bestfriendsweating.mp4
68.568	1.235	rating	1.17	Barely detectable	similarity	n/a	n/a
68.952	0.851	rating_mouse_trajectory	1.17	Barely detectable	similarity	n/a	n/a
73.604	3.18	cue	n/a	n/a	mentalizing	danger	n/a
76.784	5.117	video	n/a	n/a	mentalizing	danger	task-shortvideos/ses-03_run-01_order-06_content-war.mp4
81.973	2.801	rating	68.06	Very strong	mentalizing	danger	n/a
82.557	2.218	rating_mouse_trajectory	68.06	Very strong	mentalizing	danger	n/a
87.089	6.356	video	n/a	n/a	mentalizing	danger	task-shortvideos/ses-03_run-01_order-17_content-freesolo.mp4
93.511	1.217	rating	61.46	Strong	mentalizing	danger	n/a
93.878	0.851	rating_mouse_trajectory	61.46	Strong	mentalizing	danger	n/a
98.584	5.3	video	n/a	n/a	mentalizing	danger	task-shortvideos/ses-03_run-01_order-07_content-youth.mp4
103.948	1.953	rating	2.99	Barely detectable	mentalizing	danger	n/a
104.298	1.603	rating_mouse_trajectory	2.99	Barely detectable	mentalizing	danger	n/a
108.967	3.118	cue	n/a	n/a	likeability	n/a	n/a
112.084	5.386	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-19_content-beatbox.mp4
117.52	1.234	rating	24.41	Moderate	likeability	n/a	n/a
117.82	0.934	rating_mouse_trajectory	24.41	Moderate	likeability	n/a	n/a
122.619	5.005	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-12_content-photography.mp4
127.69	1.468	rating	34.78	Strong	likeability	n/a	n/a
127.74	1.418	rating_mouse_trajectory	34.78	Strong	likeability	n/a	n/a
132.807	5.321	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-18_content-angrygrandpa.mp4
138.194	1.573	rating	32.67	Strong	likeability	n/a	n/a
138.711	1.057	rating_mouse_trajectory	32.67	Strong	likeability	n/a	n/a
143.23	3.156	cue	n/a	n/a	mentalizing	tired	n/a
146.385	5.564	video	n/a	n/a	mentalizing	tired	task-shortvideos/ses-03_run-01_order-20_content-cupstacking.mp4
152.016	2.252	rating	7.39	Weak	mentalizing	tired	n/a
153.216	1.052	rating_mouse_trajectory	7.39	Weak	mentalizing	tired	n/a
157.102	6.186	video	n/a	n/a	mentalizing	tired	task-shortvideos/ses-03_run-01_order-08_content-dancewithdeath.mp4
163.354	1.868	rating	2.77	Barely detectable	mentalizing	tired	n/a
163.887	1.334	rating_mouse_trajectory	2.77	Barely detectable	mentalizing	tired	n/a
168.448	5.009	video	n/a	n/a	mentalizing	tired	task-shortvideos/ses-03_run-01_order-12_content-photography.mp4
173.524	1.934	rating	9.19	Weak	mentalizing	tired	n/a
173.974	1.484	rating_mouse_trajectory	9.19	Weak	mentalizing	tired	n/a
178.543	3.145	cue	n/a	n/a	similarity	n/a	n/a
181.688	5.013	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-21_content-iceblock.mp4
186.779	2.005	rating	29.95	Strong	similarity	n/a	n/a
187.279	1.505	rating_mouse_trajectory	29.95	Strong	similarity	n/a	n/a
191.849	5.502	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-15_content-giving.mp4
197.416	1.618	rating	32.31	Strong	similarity	n/a	n/a
197.8	1.235	rating_mouse_trajectory	32.31	Strong	similarity	n/a	n/a
