onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
265.183	5.555	video	n/a	n/a	mentalizing	tired	task-shortvideos/ses-03_run-01_order-20_content-cupstacking.mp4
270.805	3.385	rating	27.33	Moderate	mentalizing	tired	n/a
271.172	3.018	rating_mouse_trajectory	27.33	Moderate	mentalizing	tired	n/a
275.915	5.001	video	n/a	n/a	mentalizing	tired	task-shortvideos/ses-03_run-01_order-12_content-photography.mp4
280.976	n/a	rating	n/a	Moderate	mentalizing	tired	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Moderate	mentalizing	tired	n/a
286.011	3.122	cue	n/a	n/a	similarity	n/a	n/a
289.133	5.382	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-19_content-beatbox.mp4
294.581	4.085	rating	19.6	Moderate	similarity	n/a	n/a
294.814	3.852	rating_mouse_trajectory	19.6	Moderate	similarity	n/a	n/a
299.677	5.191	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-09_content-knifegame.mp4
304.935	4.102	rating	24.85	Moderate	similarity	n/a	n/a
304.985	4.052	rating_mouse_trajectory	24.85	Moderate	similarity	n/a	n/a
310.044	5.561	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-11_content-menrunning.mp4
315.672	n/a	rating	n/a	Moderate	similarity	n/a	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Moderate	similarity	n/a	n/a
320.707	3.164	cue	n/a	n/a	likeability	n/a	n/a
323.871	5.561	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-20_content-cupstacking.mp4
329.494	3.405	rating	36.73	Strong	likeability	n/a	n/a
330.577	2.322	rating_mouse_trajectory	36.73	Strong	likeability	n/a	n/a
334.635	5.114	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-06_content-war.mp4
339.814	3.468	rating	39.43	Strong	likeability	n/a	n/a
341.381	1.902	rating_mouse_trajectory	39.43	Strong	likeability	n/a	n/a
344.898	6.188	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-08_content-dancewithdeath.mp4
351.152	0.083	rating	38.66	Strong	likeability	n/a	n/a
351.235	0.0	rating_mouse_trajectory	38.66	Strong	likeability	n/a	n/a
356.187	3.155	cue	n/a	n/a	similarity	n/a	n/a
359.342	5.006	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-21_content-iceblock.mp4
364.407	n/a	rating	n/a	Strong	similarity	n/a	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Strong	similarity	n/a	n/a
369.528	6.12	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-14_content-alwaysafamily.mp4
375.711	3.638	rating	36.94	Strong	similarity	n/a	n/a
376.128	3.221	rating_mouse_trajectory	36.94	Strong	similarity	n/a	n/a
380.795	5.504	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-15_content-giving.mp4
386.348	4.983	rating	24.24	Moderate	similarity	n/a	n/a
390.865	0.467	rating_mouse_trajectory	24.24	Moderate	similarity	n/a	n/a
391.367	3.133	cue	n/a	n/a	mentalizing	heights	n/a
394.5	5.837	video	n/a	n/a	mentalizing	heights	task-shortvideos/ses-03_run-01_order-03_content-bestfriendsweating.mp4
400.404	0.417	rating	123.69	Strongest possible	mentalizing	heights	n/a
400.837	-0.017	rating_mouse_trajectory	123.69	Strongest possible	mentalizing	heights	n/a
405.513	5.185	video	n/a	n/a	mentalizing	heights	task-shortvideos/ses-03_run-01_order-09_content-knifegame.mp4
410.757	4.392	rating	39.87	Strong	mentalizing	heights	n/a
410.941	4.208	rating_mouse_trajectory	39.87	Strong	mentalizing	heights	n/a
415.867	5.014	video	n/a	n/a	mentalizing	heights	task-shortvideos/ses-03_run-01_order-21_content-iceblock.mp4
420.978	4.321	rating	30.81	Strong	mentalizing	heights	n/a
424.078	1.221	rating_mouse_trajectory	30.81	Strong	mentalizing	heights	n/a
426.013	3.118	cue	n/a	n/a	likeability	n/a	n/a
429.131	5.302	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-07_content-youth.mp4
434.483	n/a	rating	n/a	Strong	likeability	n/a	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Strong	likeability	n/a	n/a
439.636	6.668	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-02_content-HB.mp4
446.371	4.8	rating	36.14	Strong	likeability	n/a	n/a
450.654	0.517	rating_mouse_trajectory	36.14	Strong	likeability	n/a	n/a
451.451	5.224	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-10_content-captureflag.mp4
456.741	n/a	rating	n/a	Strong	likeability	n/a	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Strong	likeability	n/a	n/a
461.776	3.153	cue	n/a	n/a	mentalizing	angry	n/a
464.93	4.083	video	n/a	n/a	mentalizing	angry	task-shortvideos/ses-03_run-01_order-05_content-parkour.mp4
469.079	3.986	rating	42.71	Strong	mentalizing	angry	n/a
471.179	1.886	rating_mouse_trajectory	42.71	Strong	mentalizing	angry	n/a
474.241	6.676	video	n/a	n/a	mentalizing	angry	task-shortvideos/ses-03_run-01_order-02_content-HB.mp4
480.984	n/a	rating	n/a	Strong	mentalizing	angry	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Strong	mentalizing	angry	n/a
486.113	5.173	video	n/a	n/a	mentalizing	angry	task-shortvideos/ses-03_run-01_order-13_content-wanderers.mp4
491.354	4.085	rating	28.16	Moderate	mentalizing	angry	n/a
491.721	3.718	rating_mouse_trajectory	28.16	Moderate	mentalizing	angry	n/a
496.389	3.145	cue	n/a	n/a	likeability	n/a	n/a
499.535	4.081	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-05_content-parkour.mp4
503.675	n/a	rating	n/a	Moderate	likeability	n/a	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Moderate	likeability	n/a	n/a
508.797	6.352	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-17_content-freesolo.mp4
515.213	n/a	rating	n/a	Moderate	likeability	n/a	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Moderate	likeability	n/a	n/a
520.297	5.503	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-15_content-giving.mp4
525.867	n/a	rating	n/a	Moderate	likeability	n/a	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Moderate	likeability	n/a	n/a
530.902	3.134	cue	n/a	n/a	similarity	n/a	n/a
534.036	5.837	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-03_content-bestfriendsweating.mp4
539.939	n/a	rating	n/a	Moderate	similarity	n/a	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Moderate	similarity	n/a	n/a
545.044	6.349	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-17_content-freesolo.mp4
551.46	n/a	rating	n/a	Moderate	similarity	n/a	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Moderate	similarity	n/a	n/a
556.578	5.17	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-13_content-wanderers.mp4
561.814	1.0	rating	77.07	Very strong	similarity	n/a	n/a
562.214	0.6	rating_mouse_trajectory	77.07	Very strong	similarity	n/a	n/a
566.849	3.159	cue	n/a	n/a	mentalizing	calm	n/a
570.008	5.044	video	n/a	n/a	mentalizing	calm	task-shortvideos/ses-03_run-01_order-01_content-visswar.mp4
575.119	n/a	rating	n/a	Very strong	mentalizing	calm	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Very strong	mentalizing	calm	n/a
580.227	6.846	video	n/a	n/a	mentalizing	calm	task-shortvideos/ses-03_run-01_order-04_content-unefille.mp4
587.14	n/a	rating	n/a	Very strong	mentalizing	calm	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Very strong	mentalizing	calm	n/a
592.209	5.802	video	n/a	n/a	mentalizing	calm	task-shortvideos/ses-03_run-01_order-16_content-huggingpets.mp4
598.077	4.9	rating	43.73	Strong	mentalizing	calm	n/a
601.644	1.333	rating_mouse_trajectory	43.73	Strong	mentalizing	calm	n/a
603.112	3.128	cue	n/a	n/a	similarity	n/a	n/a
606.241	6.192	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-08_content-dancewithdeath.mp4
612.499	4.917	rating	42.7	Strong	similarity	n/a	n/a
615.983	1.433	rating_mouse_trajectory	42.7	Strong	similarity	n/a	n/a
617.583	5.299	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-07_content-youth.mp4
622.936	2.685	rating	32.71	Strong	similarity	n/a	n/a
622.986	2.635	rating_mouse_trajectory	32.71	Strong	similarity	n/a	n/a
628.009	5.799	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-16_content-huggingpets.mp4
633.874	2.251	rating	27.34	Moderate	similarity	n/a	n/a
633.924	2.201	rating_mouse_trajectory	27.34	Moderate	similarity	n/a	n/a
638.909	3.12	cue	n/a	n/a	mentalizing	enjoy	n/a
642.029	5.386	video	n/a	n/a	mentalizing	enjoy	task-shortvideos/ses-03_run-01_order-19_content-beatbox.mp4
647.479	4.27	rating	42.6	Strong	mentalizing	enjoy	n/a
648.312	3.436	rating_mouse_trajectory	42.6	Strong	mentalizing	enjoy	n/a
652.601	5.315	video	n/a	n/a	mentalizing	enjoy	task-shortvideos/ses-03_run-01_order-18_content-angrygrandpa.mp4
657.983	2.718	rating	46.24	Strong	mentalizing	enjoy	n/a
658.816	1.885	rating_mouse_trajectory	46.24	Strong	mentalizing	enjoy	n/a
663.102	6.13	video	n/a	n/a	mentalizing	enjoy	task-shortvideos/ses-03_run-01_order-14_content-alwaysafamily.mp4
669.287	3.668	rating	0.48	Barely detectable	mentalizing	enjoy	n/a
670.47	2.485	rating_mouse_trajectory	0.48	Barely detectable	mentalizing	enjoy	n/a
674.322	3.154	cue	n/a	n/a	similarity	n/a	n/a
677.476	5.039	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-01_content-visswar.mp4
682.575	4.707	rating	4.88	Weak	similarity	n/a	n/a
684.559	2.723	rating_mouse_trajectory	4.88	Weak	similarity	n/a	n/a
687.866	5.216	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-10_content-captureflag.mp4
693.146	4.386	rating	6.98	Weak	similarity	n/a	n/a
694.479	3.053	rating_mouse_trajectory	6.98	Weak	similarity	n/a	n/a
698.249	5.001	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-12_content-photography.mp4
703.3	n/a	rating	n/a	Weak	similarity	n/a	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Weak	similarity	n/a	n/a
708.335	3.144	cue	n/a	n/a	likeability	n/a	n/a
711.479	5.559	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-11_content-menrunning.mp4
717.105	n/a	rating	n/a	Weak	likeability	n/a	n/a
n/a	n/a	rating_mouse_trajectory	n/a	Weak	likeability	n/a	n/a
722.217	5.042	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-01_content-visswar.mp4
727.325	4.85	rating	14.76	Moderate	likeability	n/a	n/a
730.792	1.383	rating_mouse_trajectory	14.76	Moderate	likeability	n/a	n/a
732.446	5.019	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-21_content-iceblock.mp4
737.529	2.453	rating	15.47	Moderate	likeability	n/a	n/a
738.513	1.469	rating_mouse_trajectory	15.47	Moderate	likeability	n/a	n/a
