onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file	trial_index
290.502	0.768	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_006.jpg	126
291.586	0.668	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_332.jpg	127
292.57	0.551	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_581.jpg	128
298.83	2.101	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a	129
303.841	0.574	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg	129
304.724	0.59	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_532.jpg	130
305.625	0.618	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_474.jpg	131
306.558	0.623	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_438.jpg	132
307.492	0.573	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_364.jpg	133
308.376	0.705	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg	134
309.393	0.572	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg	135
310.277	0.688	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_132.jpg	136
317.787	2.101	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a	137
322.798	0.434	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_627.jpg	137
323.548	0.518	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg	138
324.382	0.651	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg	139
325.349	0.585	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_130.jpg	140
326.249	0.635	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg	141
327.2	0.535	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg	142
328.05	0.634	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_167.jpg	143
329.0	0.535	tomspunt	healthy?	why_hand	yes	no	incorrect	task-tomspunt/H_019.jpg	144
340.279	2.101	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a	145
345.29	0.468	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg	145
346.073	0.418	tomspunt	admiring?	why_face	no	yes	incorrect	task-tomspunt/F_593.jpg	146
346.807	0.758	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg	147
347.874	0.451	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg	148
348.641	0.707	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg	149
349.658	0.457	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg	150
350.425	0.501	tomspunt	admiring?	why_face	no	yes	incorrect	task-tomspunt/F_648.jpg	151
351.242	0.556	tomspunt	admiring?	why_face	yes	no	incorrect	task-tomspunt/F_129.jpg	152
358.152	2.101	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a	153
363.163	0.419	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg	153
363.897	0.535	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg	154
364.747	0.501	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg	155
365.564	0.518	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg	156
366.398	0.451	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg	157
367.165	0.451	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg	158
367.932	0.601	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg	159
368.849	0.435	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg	160
377.259	2.101	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a	161
382.27	0.702	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_136.jpg	161
383.287	0.627	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg	162
384.221	0.511	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_189.jpg	163
385.038	0.56	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg	164
385.905	0.484	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg	165
386.705	0.518	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg	166
387.539	0.493	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg	167
388.339	0.635	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_170.jpg	168
394.783	2.084	tomspunt	helping?	block_question_presentation	n/a	n/a	n/a	n/a	169
399.777	0.771	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_077.jpg	169
400.861	0.568	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_349.jpg	170
401.744	0.637	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_474.jpg	171
402.695	0.785	tomspunt	helping?	why_hand	no	yes	incorrect	task-tomspunt/H_024.jpg	172
403.795	0.637	tomspunt	helping?	why_hand	yes	no	incorrect	task-tomspunt/H_012.jpg	173
404.745	0.886	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_159.jpg	174
405.946	0.602	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_111.jpg	175
406.863	0.668	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_091.jpg	176
413.823	2.101	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a	177
418.834	0.768	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_598.jpg	177
419.918	0.618	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_760.jpg	178
420.851	0.73	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_582.jpg	179
421.885	0.596	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_412.jpg	180
422.785	0.48	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_083.jpg	181
423.569	0.701	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_776.jpg	182
424.586	0.668	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_618.jpg	183
425.57	0.651	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_695.jpg	184
431.613	2.101	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a	185
436.624	0.535	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_590.jpg	185
437.474	0.568	tomspunt	looking to side?	how_face	no	yes	incorrect	task-tomspunt/F_433.jpg	186
438.358	0.618	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_716.jpg	187
439.292	0.702	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_779.jpg	188
440.309	0.651	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_760.jpg	189
441.276	0.506	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_111.jpg	190
442.093	0.589	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_110.jpg	191
442.993	0.889	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_798.jpg	192
449.153	2.101	tomspunt	argument?	block_question_presentation	n/a	n/a	n/a	n/a	193
454.164	0.668	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_716.jpg	193
455.148	0.618	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_139.jpg	194
456.081	0.501	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_712.jpg	195
456.898	0.601	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_433.jpg	196
457.815	0.7	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_403.jpg	197
458.816	0.599	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_844.jpg	198
459.716	0.501	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_743.jpg	199
460.533	0.701	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_758.jpg	200
467.943	2.101	tomspunt	open mouth?	block_question_presentation	n/a	n/a	n/a	n/a	201
472.954	0.444	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_844.jpg	201
473.705	0.477	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_776.jpg	202
474.488	0.535	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_544.jpg	203
475.339	0.368	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_692.jpg	204
476.022	0.427	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_584.jpg	205
476.756	0.409	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_403.jpg	206
477.473	0.501	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_086.jpg	207
478.29	0.676	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_648.jpg	208
486.0	2.101	tomspunt	pressing button?	block_question_presentation	n/a	n/a	n/a	n/a	209
491.011	0.437	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_019.jpg	209
491.761	0.504	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_024.jpg	210
492.578	0.67	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_130.jpg	211
493.562	0.52	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_502.jpg	212
494.396	0.553	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_261.jpg	213
495.263	0.419	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_332.jpg	214
495.996	0.552	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_126.jpg	215
496.863	0.735	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_483.jpg	216
503.54	2.101	tomspunt	competing?	block_question_presentation	n/a	n/a	n/a	n/a	217
508.551	0.801	tomspunt	competing?	why_hand	no	yes	incorrect	task-tomspunt/H_261.jpg	217
509.668	0.797	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_483.jpg	218
510.768	0.497	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_132.jpg	219
511.569	0.618	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_126.jpg	220
