onset	duration	event_type	response_accuracy	cue_location	target_location	button_press	trial_index
13.9691951274872	0.2	invalid_cue	correct	right	n/a	n/a	1
14.1859428882599	0.411051988601685	target_response	correct	right	left	left	1
18.5875840187073	0.2	invalid_cue	correct	left	n/a	n/a	2
18.7876591682434	0.408277750015259	target_response	correct	left	right	right	2
21.9888529777527	0.2	valid_cue	correct	right	n/a	n/a	3
22.1889269351959	0.473550081253052	target_response	correct	right	right	right	3
28.3745682239532	0.2	invalid_cue	correct	right	n/a	n/a	4
28.5746421813965	0.405957698822021	target_response	correct	right	left	left	4
31.7591633796692	0.2	invalid_cue	correct	left	n/a	n/a	5
31.9592373371124	0.479318618774414	target_response	correct	left	right	right	5
39.2786335945129	0.2	invalid_cue	correct	right	n/a	n/a	6
39.4787089824677	0.420619010925293	target_response	correct	right	left	left	6
42.8466305732727	0.2	invalid_cue	correct	right	n/a	n/a	7
43.0467057228088	0.434788227081299	target_response	correct	right	left	left	7
46.114515542984	0.2	invalid_cue	correct	left	n/a	n/a	8
46.3145909309387	0.412042140960693	target_response	correct	left	right	right	8
50.2827384471893	0.2	valid_cue	correct	left	n/a	n/a	9
50.482812166214	0.419485807418823	target_response	correct	left	left	left	9
53.5506234169006	0.2	valid_cue	correct	left	n/a	n/a	10
53.7506968975067	0.365732192993164	target_response	correct	left	left	left	10
59.7195899486542	0.2	valid_cue	correct	right	n/a	n/a	11
59.9196639060974	0.421408176422119	target_response	correct	right	right	right	11
63.2875866889954	0.2	invalid_cue	correct	right	n/a	n/a	12
63.4876623153687	0.3864426612854	target_response	correct	right	left	left	12
67.1556959152222	0.2	valid_cue	correct	left	n/a	n/a	13
67.3557713031769	0.412360668182373	target_response	correct	left	left	left	13
70.8237311840057	0.2	invalid_cue	correct	left	n/a	n/a	14
71.0238046646118	0.465564250946045	target_response	correct	left	right	right	14
76.2924358844757	0.2	valid_cue	correct	right	n/a	n/a	15
76.4925107955933	0.454962253570557	target_response	correct	right	right	right	15
79.5603218078613	0.2	valid_cue	correct	left	n/a	n/a	16
79.7603967189789	0.41101336479187	target_response	correct	left	left	left	16
86.0294010639191	0.2	valid_cue	correct	left	n/a	n/a	17
86.2294754981995	0.445751428604126	target_response	correct	left	left	left	17
93.4988534450531	0.2	valid_cue	correct	right	n/a	n/a	18
93.6989285945892	0.429119348526001	target_response	correct	right	right	right	18
98.6674480438232	0.2	valid_cue	correct	left	n/a	n/a	19
98.8675212860107	0.385080814361572	target_response	correct	left	left	left	19
103.135781288147	0.2	valid_cue	correct	right	n/a	n/a	20
103.335855007172	0.359555959701538	target_response	correct	right	right	right	20
110.605232954025	0.2	valid_cue	correct	right	n/a	n/a	21
110.805306911469	0.381040096282959	target_response	correct	right	right	right	21
114.073193311691	0.2	valid_cue	correct	right	n/a	n/a	22
114.273267507553	0.398850440979004	target_response	correct	right	right	right	22
117.441115617752	0.2	valid_cue	correct	left	n/a	n/a	23
117.641190052032	0.335587024688721	target_response	correct	left	left	left	23
120.608964443207	0.2	invalid_cue	correct	right	n/a	n/a	24
120.809037923813	0.505149126052856	target_response	correct	right	left	left	24
123.576736450195	0.2	invalid_cue	correct	left	n/a	n/a	25
123.776812791824	0.459355115890503	target_response	correct	left	right	right	25
131.046189069748	0.2	valid_cue	correct	right	n/a	n/a	26
131.246264219284	0.43515682220459	target_response	correct	right	right	right	26
134.013961553574	0.2	invalid_cue	correct	left	n/a	n/a	27
