onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
2.862	3.516	cue	n/a	n/a	similarity	n/a	n/a
6.378	6.839	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
13.366	2.652	rating	54.1	Strong	similarity	n/a	n/a
14.316	1.702	rating_mouse_trajectory	54.1	Strong	similarity	n/a	n/a
18.832	5.138	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
24.054	1.568	rating	13.03	Moderate	similarity	n/a	n/a
24.42	1.201	rating_mouse_trajectory	13.03	Moderate	similarity	n/a	n/a
29.276	6.685	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
36.041	1.953	rating	10.22	Moderate	similarity	n/a	n/a
36.741	1.253	rating_mouse_trajectory	10.22	Moderate	similarity	n/a	n/a
41.093	3.137	cue	n/a	n/a	mentalizing	remember	n/a
44.23	5.5	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
49.813	3.569	rating	12.03	Moderate	mentalizing	remember	n/a
50.846	2.535	rating_mouse_trajectory	12.03	Moderate	mentalizing	remember	n/a
54.918	5.227	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
60.25	2.952	rating	26.26	Moderate	mentalizing	remember	n/a
61.2	2.002	rating_mouse_trajectory	26.26	Moderate	mentalizing	remember	n/a
65.427	5.561	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
71.071	2.852	rating	16.23	Moderate	mentalizing	remember	n/a
71.838	2.086	rating_mouse_trajectory	16.23	Moderate	mentalizing	remember	n/a
76.106	3.17	cue	n/a	n/a	similarity	n/a	n/a
79.277	6.118	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
85.46	2.602	rating	22.36	Moderate	similarity	n/a	n/a
86.226	1.835	rating_mouse_trajectory	22.36	Moderate	similarity	n/a	n/a
90.545	5.503	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
96.114	3.085	rating	22.96	Moderate	similarity	n/a	n/a
96.88	2.318	rating_mouse_trajectory	22.96	Moderate	similarity	n/a	n/a
101.25	5.035	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
106.368	1.885	rating	6.37	Weak	similarity	n/a	n/a
106.851	1.401	rating_mouse_trajectory	6.37	Weak	similarity	n/a	n/a
111.403	3.19	cue	n/a	n/a	likeability	n/a	n/a
114.593	4.096	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
118.772	2.306	rating	27.77	Moderate	likeability	n/a	n/a
119.506	1.573	rating_mouse_trajectory	27.77	Moderate	likeability	n/a	n/a
123.896	6.349	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
130.327	2.168	rating	39.15	Strong	likeability	n/a	n/a
130.843	1.652	rating_mouse_trajectory	39.15	Strong	likeability	n/a	n/a
135.411	5.504	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
140.98	2.035	rating	26.22	Moderate	likeability	n/a	n/a
141.464	1.551	rating_mouse_trajectory	26.22	Moderate	likeability	n/a	n/a
146.016	3.144	cue	n/a	n/a	mentalizing	danger	n/a
149.159	5.302	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
154.536	2.376	rating	14.38	Moderate	mentalizing	danger	n/a
155.452	1.459	rating_mouse_trajectory	14.38	Moderate	mentalizing	danger	n/a
159.669	6.36	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
166.123	2.855	rating	44.82	Strong	mentalizing	danger	n/a
167.173	1.805	rating_mouse_trajectory	44.82	Strong	mentalizing	danger	n/a
171.286	5.126	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
176.494	2.368	rating	51.45	Strong	mentalizing	danger	n/a
177.127	1.735	rating_mouse_trajectory	51.45	Strong	mentalizing	danger	n/a
181.529	3.129	cue	n/a	n/a	similarity	n/a	n/a
184.658	5.803	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
190.532	1.985	rating	67.69	Very strong	similarity	n/a	n/a
191.299	1.218	rating_mouse_trajectory	67.69	Very strong	similarity	n/a	n/a
195.637	6.2	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
201.903	1.942	rating	21.0	Moderate	similarity	n/a	n/a
202.637	1.208	rating_mouse_trajectory	21.0	Moderate	similarity	n/a	n/a
206.996	5.299	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
212.374	1.555	rating	29.22	Strong	similarity	n/a	n/a
212.824	1.105	rating_mouse_trajectory	29.22	Strong	similarity	n/a	n/a
217.409	3.161	cue	n/a	n/a	mentalizing	tired	n/a
220.57	5.009	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
225.645	2.302	rating	9.04	Weak	mentalizing	tired	n/a
226.795	1.152	rating_mouse_trajectory	9.04	Weak	mentalizing	tired	n/a
