onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	trial_index
14.798	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	1
25.769	2.86	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	1
44.309	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	2
55.28	2.584	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	2
73.804	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	3
84.791	2.085	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	3
103.315	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	4
114.302	2.71	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	4
132.842	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
143.813	3.711	tomsaxe	response	falsephoto	correct	task-tomsaxe/1p_question.txt	5
162.337	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.324	4.952	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
191.848	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	7
202.835	1.383	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	7
221.375	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	8
232.346	4.448	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/7b_question.txt	8
250.87	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	9
261.857	3.434	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt	9
280.381	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	10
291.368	1.995	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	10
309.908	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	11
320.879	2.409	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	11
339.403	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	12
350.39	1.876	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	12
368.914	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	13
379.901	2.17	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	13
398.441	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	14
409.412	3.362	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	14
427.936	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	15
438.923	2.682	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	15
457.447	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	16
468.434	1.66	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	16
486.958	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	17
497.945	4.953	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	17
516.469	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	18
527.456	4.713	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	18
545.996	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	19
556.967	2.553	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt	19
575.491	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	20
586.478	6.057	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	20
