onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file
5.838	10.392	narrative_presentation	n/a	n/a	Supplication	hospital	Text	task-narratives/Narrative1Situation1.txt
16.23	2.101	rating_feeling	953	623	Supplication	hospital	Text	task-narratives/Narrative1Situation1.txt
17.263	1.068	feeling_mouse_trajectory	953	623	Supplication	hospital	Text	task-narratives/Narrative1Situation1.txt
20.296	1.651	rating_expectation	942	616	Supplication	hospital	Text	task-narratives/Narrative1Situation1.txt
20.646	1.301	expectation_mouse_trajectory	942	616	Supplication	hospital	Text	task-narratives/Narrative1Situation1.txt
26.362	14.409	narrative_presentation	n/a	n/a	Enmity of kin	forest	Text	task-narratives/Narrative1Situation2.txt
40.771	2.374	rating_feeling	953	623	Enmity of kin	forest	Text	task-narratives/Narrative1Situation2.txt
41.421	1.724	feeling_mouse_trajectory	953	623	Enmity of kin	forest	Text	task-narratives/Narrative1Situation2.txt
44.788	1.456	rating_expectation	942	616	Enmity of kin	forest	Text	task-narratives/Narrative1Situation2.txt
45.171	1.073	expectation_mouse_trajectory	942	616	Enmity of kin	forest	Text	task-narratives/Narrative1Situation2.txt
49.871	20.778	narrative_presentation	n/a	n/a	Murderous adultury	hospital	Text	task-narratives/Narrative1Situation3.txt
70.649	1.551	rating_feeling	953	623	Murderous adultury	hospital	Text	task-narratives/Narrative1Situation3.txt
71.115	1.084	feeling_mouse_trajectory	953	623	Murderous adultury	hospital	Text	task-narratives/Narrative1Situation3.txt
74.666	2.345	rating_expectation	942	616	Murderous adultury	hospital	Text	task-narratives/Narrative1Situation3.txt
74.732	2.278	expectation_mouse_trajectory	942	616	Murderous adultury	hospital	Text	task-narratives/Narrative1Situation3.txt
81.733	18.429	narrative_presentation	n/a	n/a	Murderous adultury	town	Text	task-narratives/Narrative1Situation4.txt
100.162	2.702	rating_feeling	953	623	Murderous adultury	town	Text	task-narratives/Narrative1Situation4.txt
100.529	2.335	feeling_mouse_trajectory	953	623	Murderous adultury	town	Text	task-narratives/Narrative1Situation4.txt
104.177	2.751	rating_expectation	942	616	Murderous adultury	town	Text	task-narratives/Narrative1Situation4.txt
104.594	2.335	expectation_mouse_trajectory	942	616	Murderous adultury	town	Text	task-narratives/Narrative1Situation4.txt
111.244	11.057	narrative_presentation	n/a	n/a	Slaying of kin unrecognized	town	Text	task-narratives/Narrative1Situation5.txt
122.301	2.251	rating_feeling	953	623	Slaying of kin unrecognized	town	Text	task-narratives/Narrative1Situation5.txt
123.051	1.501	feeling_mouse_trajectory	953	623	Slaying of kin unrecognized	town	Text	task-narratives/Narrative1Situation5.txt
126.335	1.492	rating_expectation	942	616	Slaying of kin unrecognized	town	Text	task-narratives/Narrative1Situation5.txt
126.635	1.192	expectation_mouse_trajectory	942	616	Slaying of kin unrecognized	town	Text	task-narratives/Narrative1Situation5.txt
131.401	25.129	narrative_presentation	n/a	n/a	Ambition	town	Text	task-narratives/Narrative1Situation6.txt
156.531	3.001	rating_feeling	953	623	Ambition	town	Text	task-narratives/Narrative1Situation6.txt
157.431	2.101	feeling_mouse_trajectory	953	623	Ambition	town	Text	task-narratives/Narrative1Situation6.txt
160.548	1.601	rating_expectation	942	616	Ambition	town	Text	task-narratives/Narrative1Situation6.txt
161.115	1.034	expectation_mouse_trajectory	942	616	Ambition	town	Text	task-narratives/Narrative1Situation6.txt
167.615	22.114	narrative_presentation	n/a	n/a	Fatal imprudence	prison	Text	task-narratives/Narrative1Situation7.txt
189.728	3.252	rating_feeling	953	623	Fatal imprudence	prison	Text	task-narratives/Narrative1Situation7.txt
190.612	2.368	feeling_mouse_trajectory	953	623	Fatal imprudence	prison	Text	task-narratives/Narrative1Situation7.txt
193.743	2.334	rating_expectation	942	616	Fatal imprudence	prison	Text	task-narratives/Narrative1Situation7.txt
194.11	1.968	expectation_mouse_trajectory	942	616	Fatal imprudence	prison	Text	task-narratives/Narrative1Situation7.txt
198.81	12.391	narrative_presentation	n/a	n/a	Discovery of dishonour of loved one	hospital	Text	task-narratives/Narrative1Situation8.txt
211.201	2.794	rating_feeling	953	623	Discovery of dishonour of loved one	hospital	Text	task-narratives/Narrative1Situation8.txt
212.017	1.977	feeling_mouse_trajectory	953	623	Discovery of dishonour of loved one	hospital	Text	task-narratives/Narrative1Situation8.txt
215.218	1.759	rating_expectation	942	616	Discovery of dishonour of loved one	hospital	Text	task-narratives/Narrative1Situation8.txt
215.251	1.726	expectation_mouse_trajectory	942	616	Discovery of dishonour of loved one	hospital	Text	task-narratives/Narrative1Situation8.txt
227.287	29.48	narrative_presentation	n/a	n/a	Abduction	prison	Text	task-narratives/Narrative1Situation9.txt
256.768	3.06	rating_feeling	953	623	Abduction	prison	Text	task-narratives/Narrative1Situation9.txt
257.501	2.327	feeling_mouse_trajectory	953	623	Abduction	prison	Text	task-narratives/Narrative1Situation9.txt
260.785	2.242	rating_expectation	942	616	Abduction	prison	Text	task-narratives/Narrative1Situation9.txt
261.152	1.875	expectation_mouse_trajectory	942	616	Abduction	prison	Text	task-narratives/Narrative1Situation9.txt
273.855	22.111	narrative_presentation	n/a	n/a	Supplication	hospital	Text	task-narratives/Narrative2Situation1.txt
295.966	2.801	rating_feeling	953	623	Supplication	hospital	Text	task-narratives/Narrative2Situation1.txt
296.683	2.085	feeling_mouse_trajectory	953	623	Supplication	hospital	Text	task-narratives/Narrative2Situation1.txt
299.983	2.277	rating_expectation	942	616	Supplication	hospital	Text	task-narratives/Narrative2Situation1.txt
300.5	1.761	expectation_mouse_trajectory	942	616	Supplication	hospital	Text	task-narratives/Narrative2Situation1.txt
306.05	36.184	narrative_presentation	n/a	n/a	Enmity of kin	forest	Text	task-narratives/Narrative2Situation2.txt
342.234	2.368	rating_feeling	953	623	Enmity of kin	forest	Text	task-narratives/Narrative2Situation2.txt
343.067	1.534	feeling_mouse_trajectory	953	623	Enmity of kin	forest	Text	task-narratives/Narrative2Situation2.txt
346.25	1.477	rating_expectation	942	616	Enmity of kin	forest	Text	task-narratives/Narrative2Situation2.txt
346.6	1.127	expectation_mouse_trajectory	942	616	Enmity of kin	forest	Text	task-narratives/Narrative2Situation2.txt
354.318	9.377	narrative_presentation	n/a	n/a	Murderous adultury	hospital	Text	task-narratives/Narrative2Situation3.txt
363.695	3.2	rating_feeling	953	623	Murderous adultury	hospital	Text	task-narratives/Narrative2Situation3.txt
364.895	2.0	feeling_mouse_trajectory	953	623	Murderous adultury	hospital	Text	task-narratives/Narrative2Situation3.txt
367.727	0.085	rating_expectation	942	616	Murderous adultury	hospital	Text	task-narratives/Narrative2Situation3.txt
367.843	-0.031	expectation_mouse_trajectory	942	616	Murderous adultury	hospital	Text	task-narratives/Narrative2Situation3.txt
374.792	18.427	narrative_presentation	n/a	n/a	Murderous adultury	town	Text	task-narratives/Narrative2Situation4.txt
393.219	2.876	rating_feeling	953	623	Murderous adultury	town	Text	task-narratives/Narrative2Situation4.txt
394.053	2.043	feeling_mouse_trajectory	953	623	Murderous adultury	town	Text	task-narratives/Narrative2Situation4.txt
397.236	2.324	rating_expectation	942	616	Murderous adultury	town	Text	task-narratives/Narrative2Situation4.txt
397.586	1.974	expectation_mouse_trajectory	942	616	Murderous adultury	town	Text	task-narratives/Narrative2Situation4.txt
404.32	16.742	narrative_presentation	n/a	n/a	Slaying of kin unrecognized	town	Text	task-narratives/Narrative2Situation5.txt
421.062	2.584	rating_feeling	953	623	Slaying of kin unrecognized	town	Text	task-narratives/Narrative2Situation5.txt
422.129	1.518	feeling_mouse_trajectory	953	623	Slaying of kin unrecognized	town	Text	task-narratives/Narrative2Situation5.txt
425.08	2.134	rating_expectation	942	616	Slaying of kin unrecognized	town	Text	task-narratives/Narrative2Situation5.txt
425.113	2.101	expectation_mouse_trajectory	942	616	Slaying of kin unrecognized	town	Text	task-narratives/Narrative2Situation5.txt
431.147	5.689	narrative_presentation	n/a	n/a	Ambition	town	Text	task-narratives/Narrative2Situation6.txt
436.836	3.026	rating_feeling	953	623	Ambition	town	Text	task-narratives/Narrative2Situation6.txt
437.719	2.143	feeling_mouse_trajectory	953	623	Ambition	town	Text	task-narratives/Narrative2Situation6.txt
440.86	2.284	rating_expectation	942	616	Ambition	town	Text	task-narratives/Narrative2Situation6.txt
441.344	1.801	expectation_mouse_trajectory	942	616	Ambition	town	Text	task-narratives/Narrative2Situation6.txt
445.935	19.094	narrative_presentation	n/a	n/a	Fatal imprudence	prison	Text	task-narratives/Narrative2Situation7.txt
465.029	2.584	rating_feeling	953	623	Fatal imprudence	prison	Text	task-narratives/Narrative2Situation7.txt
465.329	2.284	feeling_mouse_trajectory	953	623	Fatal imprudence	prison	Text	task-narratives/Narrative2Situation7.txt
469.046	2.168	rating_expectation	942	616	Fatal imprudence	prison	Text	task-narratives/Narrative2Situation7.txt
469.363	1.851	expectation_mouse_trajectory	942	616	Fatal imprudence	prison	Text	task-narratives/Narrative2Situation7.txt
476.113	18.094	narrative_presentation	n/a	n/a	Discovery of dishonour of loved one	hospital	Text	task-narratives/Narrative2Situation8.txt
494.207	2.372	rating_feeling	953	623	Discovery of dishonour of loved one	hospital	Text	task-narratives/Narrative2Situation8.txt
495.041	1.538	feeling_mouse_trajectory	953	623	Discovery of dishonour of loved one	hospital	Text	task-narratives/Narrative2Situation8.txt
498.227	1.353	rating_expectation	942	616	Discovery of dishonour of loved one	hospital	Text	task-narratives/Narrative2Situation8.txt
498.56	1.02	expectation_mouse_trajectory	942	616	Discovery of dishonour of loved one	hospital	Text	task-narratives/Narrative2Situation8.txt
505.291	15.409	narrative_presentation	n/a	n/a	Abduction	prison	Text	task-narratives/Narrative2Situation9.txt
520.7	2.835	rating_feeling	953	623	Abduction	prison	Text	task-narratives/Narrative2Situation9.txt
521.5	2.035	feeling_mouse_trajectory	953	623	Abduction	prison	Text	task-narratives/Narrative2Situation9.txt
524.718	1.977	rating_expectation	942	616	Abduction	prison	Text	task-narratives/Narrative2Situation9.txt
525.218	1.477	expectation_mouse_trajectory	942	616	Abduction	prison	Text	task-narratives/Narrative2Situation9.txt
