onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
2.826	3.328	cue	n/a	n/a	mentalizing	remember	n/a
6.154	5.226	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-10_content-captureflag.mp4
11.48	3.545	rating	28.54	Moderate	mentalizing	remember	n/a
11.98	3.045	rating_mouse_trajectory	28.54	Moderate	mentalizing	remember	n/a
16.695	5.506	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-15_content-giving.mp4
22.268	2.458	rating	63.55	Strong	mentalizing	remember	n/a
23.501	1.225	rating_mouse_trajectory	63.55	Strong	mentalizing	remember	n/a
27.397	5.558	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-11_content-menrunning.mp4
33.022	1.937	rating	9.27	Weak	mentalizing	remember	n/a
33.455	1.504	rating_mouse_trajectory	9.27	Weak	mentalizing	remember	n/a
38.074	3.153	cue	n/a	n/a	similarity	n/a	n/a
41.227	6.117	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-14_content-alwaysafamily.mp4
47.411	2.101	rating	17.14	Moderate	similarity	n/a	n/a
47.961	1.551	rating_mouse_trajectory	17.14	Moderate	similarity	n/a	n/a
52.545	5.016	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-21_content-iceblock.mp4
57.649	2.335	rating	34.27	Strong	similarity	n/a	n/a
58.332	1.651	rating_mouse_trajectory	34.27	Strong	similarity	n/a	n/a
62.75	5.503	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-15_content-giving.mp4
68.32	1.968	rating	46.53	Strong	similarity	n/a	n/a
68.77	1.518	rating_mouse_trajectory	46.53	Strong	similarity	n/a	n/a
73.355	3.112	cue	n/a	n/a	likeability	n/a	n/a
76.467	5.394	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-19_content-beatbox.mp4
81.942	1.769	rating	38.74	Strong	likeability	n/a	n/a
82.359	1.352	rating_mouse_trajectory	38.74	Strong	likeability	n/a	n/a
87.048	4.998	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-12_content-photography.mp4
92.113	1.734	rating	26.79	Moderate	likeability	n/a	n/a
92.596	1.251	rating_mouse_trajectory	26.79	Moderate	likeability	n/a	n/a
97.221	5.33	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-18_content-angrygrandpa.mp4
102.617	1.861	rating	82.51	Very strong	likeability	n/a	n/a
103.417	1.061	rating_mouse_trajectory	82.51	Very strong	likeability	n/a	n/a
107.653	3.176	cue	n/a	n/a	mentalizing	danger	n/a
