onset	duration	subtask_type	event_type	value	response_accuracy	stim_file
12.0421643161774	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt
100.558507194519	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt
159.597191085815	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt
218.635874738693	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt
248.146879425049	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt
336.679895868301	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt
395.701906671524	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt
425.212910881042	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt
513.745927324295	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt
572.767938365936	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt
41.5531694793701	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt
71.0475025081634	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt
130.06951259613	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt
189.124868621826	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt
277.657885780334	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt
307.168889989853	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt
366.190901985168	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt
454.723916282654	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt
484.234922876358	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt
543.256932964325	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt
23.012922039032	3.75660991668701	tomsaxe	response	falsebelief	correct	tomsaxe/4b_question.txt
111.545938482285	4.07672953605652	tomsaxe	response	falsebelief	correct	tomsaxe/1b_question.txt
170.601294269562	4.22264575958252	tomsaxe	response	falsebelief	correct	tomsaxe/6b_question.txt
229.623305072784	1.98482894897461	tomsaxe	response	falsebelief	correct	tomsaxe/3b_question.txt
259.134310712814	3.09437322616577	tomsaxe	response	falsebelief	correct	tomsaxe/8b_question.txt
347.667326440811	2.87036848068237	tomsaxe	response	falsebelief	incorrect	tomsaxe/7b_question.txt
406.689337482452	2.75054740905762	tomsaxe	response	falsebelief	correct	tomsaxe/10b_question.txt
436.200342168808	3.08011984825134	tomsaxe	response	falsebelief	correct	tomsaxe/9b_question.txt
524.733358373642	2.33373165130615	tomsaxe	response	falsebelief	correct	tomsaxe/5b_question.txt
583.755368938446	2.72782802581787	tomsaxe	response	falsebelief	correct	tomsaxe/2b_question.txt
52.5239279174805	4.85125708580017	tomsaxe	response	falsephoto	correct	tomsaxe/4p_question.txt
82.0349323654175	4.47647261619568	tomsaxe	response	falsephoto	correct	tomsaxe/1p_question.txt
141.073617210388	3.19197964668274	tomsaxe	response	falsephoto	correct	tomsaxe/6p_question.txt
200.112298240662	3.301424741745	tomsaxe	response	falsephoto	correct	tomsaxe/3p_question.txt
288.645315637589	2.29610538482666	tomsaxe	response	falsephoto	correct	tomsaxe/8p_question.txt
318.156321754456	1.40351605415344	tomsaxe	response	falsephoto	correct	tomsaxe/7p_question.txt
377.178331604004	3.51454329490662	tomsaxe	response	falsephoto	correct	tomsaxe/10p_question.txt
465.711347332001	3.82622671127319	tomsaxe	response	falsephoto	correct	tomsaxe/9p_question.txt
495.222352972031	2.34780097007751	tomsaxe	response	falsephoto	correct	tomsaxe/5p_question.txt
554.244363298416	4.75271558761597	tomsaxe	response	falsephoto	correct	tomsaxe/2p_question.txt
