onset	duration	trial_type	response_value	stim_file
2.767	142.366	video	n/a	task-alignvideo/ses-01_run-04_order-01_content-beatbox.mp4
147.298	2.131	rating_relevance	6.46	n/a
153.067	2.882	rating_happy	45.52	n/a
157.352	2.15	rating_sad	1.77	n/a
162.37	2.15	rating_afraid	0.94	n/a
166.538	1.3	rating_disgusted	3.65	n/a
173.457	3.2	rating_warm	47.6	n/a
177.342	2.073	rating_engaged	62.92	n/a
180.308	339.078	video	n/a	task-alignvideo/ses-01_run-04_order-02_content-angrygrandpa.mp4
522.154	2.73	rating_relevance	20.31	n/a
526.172	1.733	rating_happy	88.33	n/a
531.608	2.15	rating_sad	19.58	n/a
535.826	1.356	rating_afraid	3.02	n/a
541.561	2.071	rating_disgusted	3.85	n/a
547.264	2.752	rating_warm	87.6	n/a
551.298	1.766	rating_engaged	77.6	n/a
