onset	duration	event_type	response_accuracy	cue_location	target_location	button_press	trial_index
372.303982973099	0.2	valid_cue	correct	right	n/a	n/a	76
372.504057884216	0.386532068252563	target_response	correct	right	right	right	76
377.772688865662	0.2	valid_cue	correct	left	n/a	n/a	77
377.972763776779	0.51304817199707	target_response	correct	left	left	left	77
381.140612363815	0.2	valid_cue	correct	right	n/a	n/a	78
381.34068608284	0.654508829116821	target_response	correct	right	right	right	78
385.008716344833	0.2	valid_cue	correct	left	n/a	n/a	79
385.208795070648	0.398941993713379	target_response	correct	left	left	left	79
390.177315950394	0.2	invalid_cue	correct	right	n/a	n/a	80
390.377389192581	0.998677730560303	target_response	correct	right	left	left	80
397.646767139435	0.2	invalid_cue	correct	left	n/a	n/a	81
397.846842765808	0.424987316131592	target_response	correct	left	right	right	81
401.114725828171	0.2	invalid_cue	correct	left	n/a	n/a	82
401.314802408218	0.606716632843018	target_response	correct	left	right	right	82
404.382613420486	0.2	valid_cue	correct	right	n/a	n/a	83
404.582687139511	0.379154920578003	target_response	correct	right	right	right	83
411.852064847946	0.2	valid_cue	correct	left	n/a	n/a	84
412.052138805389	0.39776611328125	target_response	correct	left	left	left	84
418.321144104004	0.2	invalid_cue	correct	left	n/a	n/a	85
418.521218776703	0.470507144927979	target_response	correct	left	right	right	85
424.189999341965	0.2	valid_cue	correct	right	n/a	n/a	86
424.390074491501	0.602380514144897	target_response	correct	right	right	right	86
427.757995843887	0.2	valid_cue	correct	right	n/a	n/a	87
427.958071947098	0.684845924377441	target_response	correct	right	right	right	87
430.825807332993	0.2	invalid_cue	correct	left	n/a	n/a	88
431.025882720947	0.72864031791687	target_response	correct	left	right	right	88
433.993655204773	0.2	invalid_cue	correct	left	n/a	n/a	89
434.193730354309	1.05320072174072	target_response	correct	left	right	right	89
437.56165266037	0.2	invalid_cue	correct	left	n/a	n/a	90
437.761726856232	0.964677095413208	target_response	correct	left	right	right	90
445.031105518341	0.2	invalid_cue	correct	left	n/a	n/a	91
445.231179714203	0.530379295349121	target_response	correct	left	right	right	91
448.999251365662	0.2	valid_cue	correct	left	n/a	n/a	92
449.199326276779	1.78557968139648	target_response	correct	left	left	left	92
455.051508188248	0.2	invalid_cue	correct	right	n/a	n/a	93
455.251583337784	0.958879709243774	target_response	correct	right	left	left	93
461.420550107956	0.2	valid_cue	correct	right	n/a	n/a	94
461.620624065399	0.395910024642944	target_response	correct	right	right	right	94
467.689554452896	0.2	valid_cue	correct	left	n/a	n/a	95
467.889629364014	0.637945652008057	target_response	correct	left	left	left	95
472.958185911179	0.2	invalid_cue	correct	left	n/a	n/a	96
473.158260345459	0.47322154045105	target_response	correct	left	right	right	96
476.025996685028	0.2	invalid_cue	correct	right	n/a	n/a	97
476.22607088089	0.432787179946899	target_response	correct	right	left	left	97
478.993769884109	0.2	valid_cue	correct	right	n/a	n/a	98
479.193845272064	0.700741767883301	target_response	correct	right	right	right	98
486.363184690475	0.2	valid_cue	correct	left	n/a	n/a	99
486.563258886337	0.60728120803833	target_response	correct	left	left	left	99
492.832264184952	0.2	invalid_cue	correct	left	n/a	n/a	100
493.032339572906	0.478270292282104	target_response	correct	left	right	right	100
496.200187444687	0.2	invalid_cue	correct	left	n/a	n/a	101
496.400260925293	0.97887396812439	target_response	correct	left	right	right	101
500.368408203125	0.2	invalid_cue	correct	right	n/a	n/a	102
500.568482398987	0.373946666717529	target_response	correct	right	left	left	102
503.536255836487	0.2	invalid_cue	correct	right	n/a	n/a	103
503.736330509186	0.399851560592651	target_response	correct	right	left	left	103
513.606678247452	0.2	valid_cue	correct	left	n/a	n/a	104
513.806752204895	0.245680809020996	target_response	correct	left	left	left	104
516.974601268768	0.2	invalid_cue	correct	right	n/a	n/a	105
517.174675226212	0.425412654876709	target_response	correct	right	left	left	105
520.14244890213	0.2	invalid_cue	correct	left	n/a	n/a	106
520.342522382736	0.416716575622559	target_response	correct	left	right	right	106
524.810856580734	0.2	invalid_cue	correct	left	n/a	n/a	107
525.010930776596	0.409586191177368	target_response	correct	left	right	right	107
533.380718946457	0.2	invalid_cue	correct	left	n/a	n/a	108
533.580793142319	0.793817758560181	target_response	correct	left	right	right	108
539.449648857117	0.2	invalid_cue	correct	right	n/a	n/a	109
539.649724245071	1.08507370948792	target_response	correct	right	left	left	109
542.517458677292	0.2	valid_cue	correct	left	n/a	n/a	110
542.717534303665	0.539104700088501	target_response	correct	left	left	left	110
549.986910820007	0.2	valid_cue	correct	left	n/a	n/a	111
