onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	button_press	trial_index
7.068	0.2	posner	invalid_cue	correct	left	n/a	n/a	1
7.285	0.474	posner	target_response	correct	left	right	right	1
10.119	0.2	posner	invalid_cue	correct	right	n/a	n/a	2
10.319	0.453	posner	target_response	correct	right	left	left	2
13.904	0.2	posner	valid_cue	correct	right	n/a	n/a	3
14.104	0.531	posner	target_response	correct	right	right	right	3
21.373	0.2	posner	invalid_cue	correct	left	n/a	n/a	4
21.573	0.556	posner	target_response	correct	left	right	right	4
24.841	0.2	posner	valid_cue	correct	left	n/a	n/a	5
25.041	0.482	posner	target_response	correct	left	left	left	5
28.226	0.2	posner	invalid_cue	correct	left	n/a	n/a	6
28.426	0.52	posner	target_response	correct	left	right	right	6
36.595	0.2	posner	valid_cue	correct	right	n/a	n/a	7
36.796	0.573	posner	target_response	correct	right	right	right	7
39.963	0.2	posner	valid_cue	correct	left	n/a	n/a	8
40.163	0.39	posner	target_response	correct	left	left	left	8
43.231	0.2	posner	valid_cue	correct	left	n/a	n/a	9
43.431	0.372	posner	target_response	correct	left	left	left	9
46.199	0.2	posner	invalid_cue	correct	right	n/a	n/a	10
46.399	0.54	posner	target_response	correct	right	left	left	10
49.467	0.2	posner	valid_cue	correct	right	n/a	n/a	11
49.667	0.493	posner	target_response	correct	right	right	right	11
52.435	0.2	posner	valid_cue	correct	left	n/a	n/a	12
52.635	0.342	posner	target_response	correct	left	left	left	12
55.503	0.2	posner	valid_cue	correct	left	n/a	n/a	13
55.703	0.43	posner	target_response	correct	left	left	left	13
59.371	0.2	posner	valid_cue	correct	right	n/a	n/a	14
59.571	0.37	posner	target_response	correct	right	right	right	14
63.139	0.2	posner	valid_cue	correct	right	n/a	n/a	15
63.339	0.584	posner	target_response	correct	right	right	right	15
66.106	0.2	posner	valid_cue	correct	right	n/a	n/a	16
66.307	0.389	posner	target_response	correct	right	right	right	16
69.174	0.2	posner	valid_cue	correct	left	n/a	n/a	17
69.374	0.427	posner	target_response	correct	left	left	left	17
72.242	0.2	posner	invalid_cue	correct	right	n/a	n/a	18
72.442	0.449	posner	target_response	correct	right	left	left	18
82.313	0.2	posner	valid_cue	correct	right	n/a	n/a	19
82.513	0.304	posner	target_response	correct	right	right	right	19
88.181	0.2	posner	valid_cue	correct	right	n/a	n/a	20
88.381	0.336	posner	target_response	correct	right	right	right	20
91.549	0.2	posner	invalid_cue	correct	right	n/a	n/a	21
91.749	0.431	posner	target_response	correct	right	left	left	21
96.718	0.2	posner	invalid_cue	correct	right	n/a	n/a	22
96.918	0.419	posner	target_response	correct	right	left	left	22
99.986	0.2	posner	valid_cue	correct	left	n/a	n/a	23
100.186	0.497	posner	target_response	correct	left	left	left	23
103.754	0.2	posner	valid_cue	correct	left	n/a	n/a	24
103.954	0.429	posner	target_response	correct	left	left	left	24
107.022	0.2	posner	invalid_cue	correct	right	n/a	n/a	25
107.222	0.453	posner	target_response	correct	right	left	left	25
110.39	0.2	posner	valid_cue	correct	right	n/a	n/a	26
110.59	0.384	posner	target_response	correct	right	right	right	26
116.158	0.2	posner	valid_cue	correct	right	n/a	n/a	27
116.359	0.522	posner	target_response	correct	right	right	right	27
119.526	0.2	posner	invalid_cue	correct	right	n/a	n/a	28
119.726	0.672	posner	target_response	correct	right	left	left	28
123.895	0.2	posner	invalid_cue	correct	right	n/a	n/a	29
124.095	0.604	posner	target_response	correct	right	left	left	29
129.864	0.2	posner	invalid_cue	correct	left	n/a	n/a	30
130.064	0.608	posner	target_response	correct	left	right	right	30
135.632	0.2	posner	valid_cue	correct	left	n/a	n/a	31
135.832	0.584	posner	target_response	correct	left	left	left	31
141.101	0.2	posner	valid_cue	correct	right	n/a	n/a	32
141.301	0.441	posner	target_response	correct	right	right	right	32
144.369	0.2	posner	invalid_cue	correct	left	n/a	n/a	33
144.569	0.529	posner	target_response	correct	left	right	right	33
149.438	0.2	posner	invalid_cue	correct	right	n/a	n/a	34
149.638	0.488	posner	target_response	correct	right	left	left	34
152.705	0.2	posner	valid_cue	correct	right	n/a	n/a	35
152.905	0.46	posner	target_response	correct	right	right	right	35
160.175	0.2	posner	valid_cue	correct	left	n/a	n/a	36
160.375	0.316	posner	target_response	correct	left	left	left	36
164.643	0.2	posner	valid_cue	correct	right	n/a	n/a	37
164.843	0.405	posner	target_response	correct	right	right	right	37
171.012	0.2	posner	valid_cue	correct	left	n/a	n/a	38
171.212	0.356	posner	target_response	correct	left	left	left	38
174.08	0.2	posner	invalid_cue	correct	left	n/a	n/a	39
174.28	0.667	posner	target_response	correct	left	right	right	39
177.448	0.2	posner	valid_cue	correct	right	n/a	n/a	40
177.648	0.594	posner	target_response	correct	right	right	right	40
188.719	0.2	posner	valid_cue	correct	right	n/a	n/a	41
188.919	0.33	posner	target_response	correct	right	right	right	41
196.188	0.2	posner	invalid_cue	correct	left	n/a	n/a	42
196.388	0.456	posner	target_response	correct	left	right	right	42
203.058	0.2	posner	valid_cue	correct	right	n/a	n/a	43
203.258	0.506	posner	target_response	correct	right	right	right	43
207.726	0.2	posner	valid_cue	correct	left	n/a	n/a	44
207.926	0.677	posner	target_response	correct	left	left	left	44
211.094	0.2	posner	invalid_cue	correct	left	n/a	n/a	45
211.294	0.429	posner	target_response	correct	left	right	right	45
220.664	0.2	posner	invalid_cue	correct	left	n/a	n/a	46
220.864	0.538	posner	target_response	correct	left	right	right	46
226.633	0.2	posner	invalid_cue	correct	right	n/a	n/a	47
226.833	0.608	posner	target_response	correct	right	left	left	47
234.102	0.2	posner	valid_cue	correct	left	n/a	n/a	48
234.303	0.405	posner	target_response	correct	left	left	left	48
245.373	0.2	posner	invalid_cue	correct	right	n/a	n/a	49
245.573	0.626	posner	target_response	correct	right	left	left	49
250.742	0.2	posner	invalid_cue	correct	right	n/a	n/a	50
250.942	0.489	posner	target_response	correct	right	left	left	50
253.91	0.2	posner	invalid_cue	correct	right	n/a	n/a	51
254.11	0.549	posner	target_response	correct	right	left	left	51
260.762	0.2	posner	invalid_cue	correct	right	n/a	n/a	52
260.962	0.441	posner	target_response	correct	right	left	left	52
264.13	0.2	posner	invalid_cue	correct	left	n/a	n/a	53
264.33	0.527	posner	target_response	correct	left	right	right	53
267.498	0.2	posner	valid_cue	correct	left	n/a	n/a	54
267.698	0.423	posner	target_response	correct	left	left	left	54
270.966	0.2	posner	invalid_cue	correct	right	n/a	n/a	55
271.166	0.439	posner	target_response	correct	right	left	left	55
274.434	0.2	posner	invalid_cue	correct	left	n/a	n/a	56
274.634	0.464	posner	target_response	correct	left	right	right	56
281.904	0.2	posner	valid_cue	correct	right	n/a	n/a	57
282.104	0.442	posner	target_response	correct	right	right	right	57
285.171	0.2	posner	invalid_cue	correct	right	n/a	n/a	58
285.372	0.686	posner	target_response	correct	right	left	left	58
288.739	0.2	posner	valid_cue	correct	left	n/a	n/a	59
288.94	0.545	posner	target_response	correct	left	left	left	59
296.209	0.2	posner	valid_cue	correct	left	n/a	n/a	60
296.409	0.491	posner	target_response	correct	left	left	left	60
299.477	0.2	posner	invalid_cue	correct	right	n/a	n/a	61
299.677	1.11	posner	target_response	correct	right	left	left	61
