onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
278.433	1.268	rating_mouse_trajectory	59.53	Strong	likeability	n/a	n/a
283.218	3.132	cue	n/a	n/a	similarity	n/a	n/a
286.35	5.222	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
291.638	1.267	rating	0.92	Barely detectable	similarity	n/a	n/a
291.938	0.967	rating_mouse_trajectory	0.92	Barely detectable	similarity	n/a	n/a
296.735	5.041	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
301.842	2.251	rating	27.69	Moderate	similarity	n/a	n/a
302.258	1.835	rating_mouse_trajectory	27.69	Moderate	similarity	n/a	n/a
306.959	5.023	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
312.045	2.003	rating	25.43	Moderate	similarity	n/a	n/a
312.412	1.637	rating_mouse_trajectory	25.43	Moderate	similarity	n/a	n/a
317.064	3.141	cue	n/a	n/a	likeability	n/a	n/a
320.205	5.193	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
325.467	1.167	rating	0.0	No sensation	likeability	n/a	n/a
325.7	0.934	rating_mouse_trajectory	0.0	No sensation	likeability	n/a	n/a
330.573	6.842	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
337.472	1.801	rating	180.0	Strongest possible	likeability	n/a	n/a
337.905	1.368	rating_mouse_trajectory	180.0	Strongest possible	likeability	n/a	n/a
342.545	5.798	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
348.409	2.818	rating	77.83	Very strong	likeability	n/a	n/a
348.959	2.268	rating_mouse_trajectory	77.83	Very strong	likeability	n/a	n/a
353.444	3.148	cue	n/a	n/a	similarity	n/a	n/a
356.592	6.839	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
363.498	3.151	rating	59.08	Strong	similarity	n/a	n/a
364.465	2.185	rating_mouse_trajectory	59.08	Strong	similarity	n/a	n/a
368.648	5.121	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
373.835	1.151	rating	0.0	No sensation	similarity	n/a	n/a
373.985	1.001	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
379.024	6.674	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
385.756	1.184	rating	0.7	Barely detectable	similarity	n/a	n/a
386.073	0.867	rating_mouse_trajectory	0.7	Barely detectable	similarity	n/a	n/a
390.775	3.145	cue	n/a	n/a	mentalizing	heights	n/a
393.92	5.828	video	n/a	n/a	mentalizing	heights	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
399.812	2.837	rating	0.0	No sensation	mentalizing	heights	n/a
401.528	1.12	rating_mouse_trajectory	0.0	No sensation	mentalizing	heights	n/a
404.934	5.182	video	n/a	n/a	mentalizing	heights	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
410.182	1.484	rating	0.0	No sensation	mentalizing	heights	n/a
410.615	1.051	rating_mouse_trajectory	0.0	No sensation	mentalizing	heights	n/a
415.309	5.011	video	n/a	n/a	mentalizing	heights	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
420.386	1.384	rating	0.69	Barely detectable	mentalizing	heights	n/a
420.786	0.984	rating_mouse_trajectory	0.69	Barely detectable	mentalizing	heights	n/a
425.421	3.126	cue	n/a	n/a	similarity	n/a	n/a
428.547	5.302	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
433.908	2.058	rating	46.96	Strong	similarity	n/a	n/a
434.274	1.691	rating_mouse_trajectory	46.96	Strong	similarity	n/a	n/a
438.98	5.802	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
444.845	1.92	rating	37.07	Strong	similarity	n/a	n/a
445.128	1.637	rating_mouse_trajectory	37.07	Strong	similarity	n/a	n/a
449.934	6.182	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
456.183	2.601	rating	47.11	Strong	similarity	n/a	n/a
456.966	1.818	rating_mouse_trajectory	47.11	Strong	similarity	n/a	n/a
461.218	3.158	cue	n/a	n/a	likeability	n/a	n/a
464.376	6.122	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
470.555	1.534	rating	180.0	Strongest possible	likeability	n/a	n/a
471.021	1.067	rating_mouse_trajectory	180.0	Strongest possible	likeability	n/a	n/a
475.662	5.837	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
481.559	1.223	rating	0.0	No sensation	likeability	n/a	n/a
481.909	0.873	rating_mouse_trajectory	0.0	No sensation	likeability	n/a	n/a
486.709	5.173	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
491.946	1.553	rating	22.37	Moderate	likeability	n/a	n/a
492.279	1.219	rating_mouse_trajectory	22.37	Moderate	likeability	n/a	n/a
496.981	3.207	cue	n/a	n/a	mentalizing	angry	n/a
500.188	4.079	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
504.334	3.485	rating	9.58	Weak	mentalizing	angry	n/a
505.834	1.985	rating_mouse_trajectory	9.58	Weak	mentalizing	angry	n/a
509.455	5.177	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
514.688	2.128	rating	0.0	No sensation	mentalizing	angry	n/a
514.888	1.928	rating_mouse_trajectory	0.0	No sensation	mentalizing	angry	n/a
519.897	6.668	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
526.642	1.534	rating	69.68	Very strong	mentalizing	angry	n/a
526.959	1.218	rating_mouse_trajectory	69.68	Very strong	mentalizing	angry	n/a
531.677	3.263	cue	n/a	n/a	likeability	n/a	n/a
534.941	6.674	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
541.681	1.234	rating	0.92	Barely detectable	likeability	n/a	n/a
542.031	0.884	rating_mouse_trajectory	0.92	Barely detectable	likeability	n/a	n/a
546.764	5.304	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
552.135	1.468	rating	46.65	Strong	likeability	n/a	n/a
552.552	1.051	rating_mouse_trajectory	46.65	Strong	likeability	n/a	n/a
557.215	5.224	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
562.489	3.276	rating	47.84	Strong	likeability	n/a	n/a
562.989	2.776	rating_mouse_trajectory	47.84	Strong	likeability	n/a	n/a
567.524	3.123	cue	n/a	n/a	mentalizing	calm	n/a
570.647	5.797	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
576.494	4.805	rating	44.17	Strong	mentalizing	calm	n/a
577.827	3.471	rating_mouse_trajectory	44.17	Strong	mentalizing	calm	n/a
581.914	6.835	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
588.815	2.485	rating	73.25	Very strong	mentalizing	calm	n/a
589.715	1.585	rating_mouse_trajectory	73.25	Very strong	mentalizing	calm	n/a
593.918	5.047	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
599.019	2.33	rating	19.45	Moderate	mentalizing	calm	n/a
599.352	1.996	rating_mouse_trajectory	19.45	Moderate	mentalizing	calm	n/a
604.054	3.147	cue	n/a	n/a	similarity	n/a	n/a
607.201	5.564	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
612.824	2.508	rating	47.59	Strong	similarity	n/a	n/a
613.241	2.091	rating_mouse_trajectory	47.59	Strong	similarity	n/a	n/a
617.924	5.191	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
623.178	1.554	rating	0.0	No sensation	similarity	n/a	n/a
623.561	1.17	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
628.25	5.382	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
633.699	1.384	rating	0.0	No sensation	similarity	n/a	n/a
634.032	1.051	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
638.717	3.122	cue	n/a	n/a	likeability	n/a	n/a
641.839	5.399	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
647.287	2.495	rating	50.01	Strong	likeability	n/a	n/a
647.687	2.095	rating_mouse_trajectory	50.01	Strong	likeability	n/a	n/a
652.394	5.005	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
657.458	1.874	rating	99.46	Strongest possible	likeability	n/a	n/a
657.858	1.474	rating_mouse_trajectory	99.46	Strongest possible	likeability	n/a	n/a
662.621	5.327	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
668.012	2.42	rating	60.22	Strong	likeability	n/a	n/a
668.428	2.004	rating_mouse_trajectory	60.22	Strong	likeability	n/a	n/a
673.047	3.153	cue	n/a	n/a	mentalizing	enjoy	n/a
676.199	6.133	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
682.384	2.985	rating	0.0	No sensation	mentalizing	enjoy	n/a
684.1	1.268	rating_mouse_trajectory	0.0	No sensation	mentalizing	enjoy	n/a
687.536	5.329	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
692.921	2.895	rating	17.34	Moderate	mentalizing	enjoy	n/a
693.187	2.628	rating_mouse_trajectory	17.34	Moderate	mentalizing	enjoy	n/a
697.994	5.398	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
703.458	2.407	rating	45.54	Strong	mentalizing	enjoy	n/a
703.875	1.991	rating_mouse_trajectory	45.54	Strong	mentalizing	enjoy	n/a
708.477	3.187	cue	n/a	n/a	likeability	n/a	n/a
711.664	5.118	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
716.846	1.686	rating	26.67	Moderate	likeability	n/a	n/a
717.38	1.152	rating_mouse_trajectory	26.67	Moderate	likeability	n/a	n/a
721.952	5.565	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
727.584	3.318	rating	65.51	Very strong	likeability	n/a	n/a
728.284	2.618	rating_mouse_trajectory	65.51	Very strong	likeability	n/a	n/a
732.671	6.183	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
738.921	3.235	rating	118.18	Strongest possible	likeability	n/a	n/a
739.471	2.685	rating_mouse_trajectory	118.18	Strongest possible	likeability	n/a	n/a
