onset	duration	trial_type	response_value	stim_file
2.778	211.374	video	n/a	task-alignvideo/ses-03_run-01_order-01_content-mountainbike.mp4
218.747	n/a	rating_relevance	n/a	n/a
223.782	n/a	rating_happy	n/a	n/a
228.817	n/a	rating_sad	n/a	n/a
233.852	n/a	rating_afraid	n/a	n/a
238.888	n/a	rating_disgusted	n/a	n/a
243.923	n/a	rating_warm	n/a	n/a
248.941	n/a	rating_engaged	n/a	n/a
249.533	20.936	video	n/a	task-alignvideo/ses-03_run-01_order-02_content-carflood.mp4
275.018	n/a	rating_relevance	n/a	n/a
280.053	n/a	rating_happy	n/a	n/a
285.071	n/a	rating_sad	n/a	n/a
290.107	n/a	rating_afraid	n/a	n/a
295.142	n/a	rating_disgusted	n/a	n/a
300.16	n/a	rating_warm	n/a	n/a
305.179	n/a	rating_engaged	n/a	n/a
305.737	30.153	video	n/a	task-alignvideo/ses-03_run-01_order-03_content-fireplace.mp4
340.442	n/a	rating_relevance	n/a	n/a
345.461	n/a	rating_happy	n/a	n/a
350.479	n/a	rating_sad	n/a	n/a
355.498	n/a	rating_afraid	n/a	n/a
360.533	n/a	rating_disgusted	n/a	n/a
365.568	n/a	rating_warm	n/a	n/a
370.603	n/a	rating_engaged	n/a	n/a
371.147	123.289	video	n/a	task-alignvideo/ses-03_run-01_order-04_content-snakes.mp4
499.018	n/a	rating_relevance	n/a	n/a
504.053	n/a	rating_happy	n/a	n/a
509.088	n/a	rating_sad	n/a	n/a
514.123	n/a	rating_afraid	n/a	n/a
519.142	n/a	rating_disgusted	n/a	n/a
524.177	n/a	rating_warm	n/a	n/a
529.196	n/a	rating_engaged	n/a	n/a
