onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	participant_response	trial_index
6.161	0.2	posner	valid_cue	correct	right	n/a	n/a	1
6.378	0.717	posner	target_response	correct	right	right	right	1
9.546	0.2	posner	invalid_cue	correct	right	n/a	n/a	2
9.746	0.526	posner	target_response	correct	right	left	left	2
12.613	0.2	posner	invalid_cue	correct	right	n/a	n/a	3
12.813	0.46	posner	target_response	correct	right	left	left	3
16.882	0.2	posner	valid_cue	correct	left	n/a	n/a	4
17.082	0.404	posner	target_response	correct	left	left	left	4
24.351	0.2	posner	invalid_cue	correct	right	n/a	n/a	5
24.551	0.515	posner	target_response	correct	right	left	left	5
28.419	0.2	posner	invalid_cue	correct	right	n/a	n/a	6
28.619	0.508	posner	target_response	correct	right	left	left	6
31.487	0.2	posner	invalid_cue	correct	right	n/a	n/a	7
31.687	0.53	posner	target_response	correct	right	left	left	7
36.756	0.2	posner	invalid_cue	correct	right	n/a	n/a	8
36.956	0.486	posner	target_response	correct	right	left	left	8
41.224	0.2	posner	invalid_cue	correct	left	n/a	n/a	9
41.424	0.465	posner	target_response	correct	left	right	right	9
44.492	0.2	posner	invalid_cue	correct	left	n/a	n/a	10
44.692	0.405	posner	target_response	correct	left	right	right	10
50.861	0.2	posner	valid_cue	correct	left	n/a	n/a	11
51.061	0.474	posner	target_response	correct	left	left	left	11
54.129	0.2	posner	valid_cue	correct	right	n/a	n/a	12
54.329	0.482	posner	target_response	correct	right	right	right	12
57.997	0.2	posner	valid_cue	correct	left	n/a	n/a	13
58.197	0.504	posner	target_response	correct	left	left	left	13
61.065	0.2	posner	invalid_cue	correct	right	n/a	n/a	14
61.265	0.501	posner	target_response	correct	right	left	left	14
64.033	0.2	posner	invalid_cue	correct	right	n/a	n/a	15
64.233	0.501	posner	target_response	correct	right	left	left	15
67.3	0.2	posner	valid_cue	correct	right	n/a	n/a	16
67.501	0.463	posner	target_response	correct	right	right	right	16
