onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
548.322	0.662	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_754.jpg
549.289	0.629	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_598.jpg
550.223	0.719	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_129.jpg
551.257	0.651	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_618.jpg
552.224	0.645	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_743.jpg
553.174	0.677	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_774.jpg
554.158	0.744	tomspunt	looking at camera?	how_face	yes	no	incorrect	task-tomspunt/F_582.jpg
565.762	0.69	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_019.jpg
566.763	0.768	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_126.jpg
567.846	0.706	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_130.jpg
568.863	0.689	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_332.jpg
569.864	0.755	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_024.jpg
570.931	0.67	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_483.jpg
571.915	0.904	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_261.jpg
573.132	0.753	tomspunt	pressing button?	how_hand	no	yes	incorrect	task-tomspunt/H_502.jpg
583.986	0.952	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_443.jpg
585.253	0.885	tomspunt	self-protection?	why_hand	no	yes	incorrect	task-tomspunt/H_189.jpg
586.453	0.952	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_027.jpg
587.72	0.752	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_532.jpg
588.788	0.969	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_038.jpg
590.071	0.968	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_006.jpg
591.355	0.918	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_332.jpg
592.589	0.685	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_581.jpg
0.092	2.017	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a
0.092	0.3	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a
17.849	2.101	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a
17.849	0.3	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a
36.906	2.101	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a
36.906	0.3	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a
55.863	2.101	tomspunt	pressing button?	block_question_presentation	n/a	n/a	n/a	n/a
55.863	0.3	tomspunt	pressing button?	block_question_presentation	n/a	n/a	n/a	n/a
73.67	2.084	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a
73.67	0.3	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a
92.71	2.101	tomspunt	argument?	block_question_presentation	n/a	n/a	n/a	n/a
92.71	0.3	tomspunt	argument?	block_question_presentation	n/a	n/a	n/a	n/a
115.202	2.101	tomspunt	self-protection?	block_question_presentation	n/a	n/a	n/a	n/a
115.202	0.3	tomspunt	self-protection?	block_question_presentation	n/a	n/a	n/a	n/a
133.042	2.101	tomspunt	both hands?	block_question_presentation	n/a	n/a	n/a	n/a
133.042	0.3	tomspunt	both hands?	block_question_presentation	n/a	n/a	n/a	n/a
150.832	2.101	tomspunt	competing?	block_question_presentation	n/a	n/a	n/a	n/a
150.832	0.3	tomspunt	competing?	block_question_presentation	n/a	n/a	n/a	n/a
168.722	2.101	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a
168.722	0.3	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a
186.779	2.101	tomspunt	open mouth?	block_question_presentation	n/a	n/a	n/a	n/a
186.779	0.3	tomspunt	open mouth?	block_question_presentation	n/a	n/a	n/a	n/a
204.302	2.101	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a
204.302	0.3	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a
222.525	2.101	tomspunt	helping?	block_question_presentation	n/a	n/a	n/a	n/a
222.525	0.3	tomspunt	helping?	block_question_presentation	n/a	n/a	n/a	n/a
240.049	2.101	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a
240.049	0.3	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a
258.839	2.101	tomspunt	looking at camera?	block_question_presentation	n/a	n/a	n/a	n/a
258.839	0.3	tomspunt	looking at camera?	block_question_presentation	n/a	n/a	n/a	n/a
280.33	2.101	tomspunt	self-doubt?	block_question_presentation	n/a	n/a	n/a	n/a
280.33	0.3	tomspunt	self-doubt?	block_question_presentation	n/a	n/a	n/a	n/a
298.22	2.101	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a
298.22	0.3	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a
320.695	2.101	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a
320.695	0.3	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a
338.769	2.101	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a
338.769	0.3	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a
360.243	2.101	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a
360.243	0.3	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a
379.35	2.101	tomspunt	both hands?	block_question_presentation	n/a	n/a	n/a	n/a
379.35	0.3	tomspunt	both hands?	block_question_presentation	n/a	n/a	n/a	n/a
396.89	2.084	tomspunt	helping?	block_question_presentation	n/a	n/a	n/a	n/a
396.89	0.3	tomspunt	helping?	block_question_presentation	n/a	n/a	n/a	n/a
414.414	2.101	tomspunt	self-doubt?	block_question_presentation	n/a	n/a	n/a	n/a
414.414	0.3	tomspunt	self-doubt?	block_question_presentation	n/a	n/a	n/a	n/a
433.204	2.101	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a
433.204	0.3	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a
451.077	2.101	tomspunt	argument?	block_question_presentation	n/a	n/a	n/a	n/a
