onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
92.634	0.718	rating	0.5146	intensity	anger	male	EA	young	n/a
92.884	0.468	rating_mouse_trajectory	0.5146	intensity	anger	male	EA	young	n/a
94.551	1.301	face	n/a	intensity	fear	female	EA	young	task-faces/3Fear_Model2_1Female_2EA_1Young.mp4
95.852	0.628	rating	0.3447	intensity	fear	female	EA	young	n/a
96.135	0.345	rating_mouse_trajectory	0.3447	intensity	fear	female	EA	young	n/a
98.769	1.301	face	n/a	intensity	surprise	male	EA	young	task-faces/2Surprise_Model2_2Male_2EA_1Young.mp4
100.07	0.744	rating	0.1869	intensity	surprise	male	EA	young	n/a
100.27	0.544	rating_mouse_trajectory	0.1869	intensity	surprise	male	EA	young	n/a
102.977	2.045	face	n/a	intensity	pleasure	female	African	young	task-faces/8Pleasure_Model5_1Female_3African_1Young.mp4
105.022	0.675	rating	0.6905	intensity	pleasure	female	African	young	n/a
105.089	0.608	rating_mouse_trajectory	0.6905	intensity	pleasure	female	African	young	n/a
107.945	2.045	face	n/a	intensity	pain	male	WC	old	task-faces/7Pain_Model1_2Male_1WC_2Old.mp4
109.99	0.64	rating	0.29	intensity	pain	male	WC	old	n/a
110.24	0.39	rating_mouse_trajectory	0.29	intensity	pain	male	WC	old	n/a
111.913	1.312	face	n/a	intensity	sad	male	EA	old	task-faces/6Sad_Model2_2Male_2EA_2Old.mp4
113.225	1.105	rating	0.0574	intensity	sad	male	EA	old	n/a
113.608	0.722	rating_mouse_trajectory	0.0574	intensity	sad	male	EA	old	n/a
115.148	1.311	face	n/a	intensity	surprise	female	EA	old	task-faces/2Surprise_Model4_1Female_2EA_2Old.mp4
116.459	1.071	rating	0.8625	intensity	surprise	female	EA	old	n/a
116.859	0.671	rating_mouse_trajectory	0.8625	intensity	surprise	female	EA	old	n/a
118.382	1.313	face	n/a	intensity	happy	male	African	old	task-faces/1Happy_Model3_2Male_3African_2Old.mp4
119.694	1.236	rating	0.9373	intensity	happy	male	African	old	n/a
119.994	0.936	rating_mouse_trajectory	0.9373	intensity	happy	male	African	old	n/a
122.602	1.311	face	n/a	intensity	surprise	female	African	young	task-faces/2Surprise_Model4_1Female_3African_1Young.mp4
123.912	0.801	rating	0.7027	intensity	surprise	female	African	young	n/a
124.229	0.485	rating_mouse_trajectory	0.7027	intensity	surprise	female	African	young	n/a
126.818	2.046	face	n/a	intensity	pain	male	EA	old	task-faces/7Pain_Model1_2Male_2EA_2Old.mp4
128.864	0.818	rating	0.1383	intensity	pain	male	EA	old	n/a
128.964	0.718	rating_mouse_trajectory	0.1383	intensity	pain	male	EA	old	n/a
131.786	1.313	face	n/a	intensity	sad	female	African	young	task-faces/6Sad_Model5_1Female_3African_1Young.mp4
133.099	1.018	rating	0.11	intensity	sad	female	African	young	n/a
133.449	0.668	rating_mouse_trajectory	0.11	intensity	sad	female	African	young	n/a
135.018	1.316	face	n/a	intensity	sad	female	WC	young	task-faces/6Sad_Model5_1Female_1WC_1Young.mp4
136.334	0.968	rating	0.0615	intensity	sad	female	WC	young	n/a
136.7	0.602	rating_mouse_trajectory	0.0615	intensity	sad	female	WC	young	n/a
138.251	1.3	face	n/a	intensity	surprise	male	WC	young	task-faces/2Surprise_Model3_2Male_1WC_1Young.mp4
139.551	0.818	rating	0.3366	intensity	surprise	male	WC	young	n/a
139.868	0.501	rating_mouse_trajectory	0.3366	intensity	surprise	male	WC	young	n/a
142.468	1.318	face	n/a	intensity	fear	female	WC	old	task-faces/3Fear_Model3_1Female_1WC_2Old.mp4
143.786	0.818	rating	0.2577	intensity	fear	female	WC	old	n/a
144.003	0.602	rating_mouse_trajectory	0.2577	intensity	fear	female	WC	old	n/a
145.692	2.046	face	n/a	intensity	pleasure	female	WC	old	task-faces/8Pleasure_Model1_1Female_1WC_2Old.mp4
147.738	0.785	rating	0.2193	intensity	pleasure	female	WC	old	n/a
147.888	0.635	rating_mouse_trajectory	0.2193	intensity	pleasure	female	WC	old	n/a
149.668	1.304	face	n/a	intensity	happy	female	African	young	task-faces/1Happy_Model4_1Female_3African_1Young.mp4
150.972	0.691	rating	0.5752	intensity	happy	female	African	young	n/a
151.306	0.358	rating_mouse_trajectory	0.5752	intensity	happy	female	African	young	n/a
154.896	1.312	face	n/a	intensity	anger	female	African	old	task-faces/5Anger_Model3_1Female_3African_2Old.mp4
156.208	0.656	rating	0.377	intensity	anger	female	African	old	n/a
156.508	0.356	rating_mouse_trajectory	0.377	intensity	anger	female	African	old	n/a
160.131	2.045	face	n/a	intensity	pain	female	African	young	task-faces/7Pain_Model3_1Female_3African_1Young.mp4
162.177	0.887	rating	0.6258	intensity	pain	female	African	young	n/a
162.477	0.587	rating_mouse_trajectory	0.6258	intensity	pain	female	African	young	n/a
167.1	1.312	face	n/a	intensity	disgust	male	EA	old	task-faces/4Disgust_Model4_2Male_2EA_2Old.mp4
168.412	0.752	rating	0.2375	intensity	disgust	male	EA	old	n/a
168.529	0.635	rating_mouse_trajectory	0.2375	intensity	disgust	male	EA	old	n/a
171.318	1.312	face	n/a	intensity	fear	male	EA	young	task-faces/3Fear_Model1_2Male_2EA_1Young.mp4
172.63	0.918	rating	0.1667	intensity	fear	male	EA	young	n/a
172.814	0.735	rating_mouse_trajectory	0.1667	intensity	fear	male	EA	young	n/a
175.552	1.314	face	n/a	intensity	fear	female	WC	young	task-faces/3Fear_Model2_1Female_1WC_1Young.mp4
176.865	0.951	rating	0.0858	intensity	fear	female	WC	young	n/a
177.032	0.785	rating_mouse_trajectory	0.0858	intensity	fear	female	WC	young	n/a
