onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	participant_response	trial_index
466.972	0.2	posner	invalid_cue	correct	left	n/a	n/a	95
467.172	0.429	posner	target_response	correct	left	right	right	95
470.74	0.2	posner	invalid_cue	correct	left	n/a	n/a	96
470.94	0.431	posner	target_response	correct	left	right	right	96
474.108	0.2	posner	valid_cue	correct	right	n/a	n/a	97
474.308	0.537	posner	target_response	correct	right	right	right	97
477.475	0.2	posner	valid_cue	correct	right	n/a	n/a	98
477.676	0.366	posner	target_response	correct	right	right	right	98
487.146	0.2	posner	valid_cue	correct	right	n/a	n/a	99
487.346	0.465	posner	target_response	correct	right	right	right	99
490.514	0.2	posner	valid_cue	correct	right	n/a	n/a	100
490.714	0.397	posner	target_response	correct	right	right	right	100
493.782	0.2	posner	valid_cue	correct	right	n/a	n/a	101
493.982	0.362	posner	target_response	correct	right	right	right	101
497.45	0.2	posner	invalid_cue	correct	right	n/a	n/a	102
497.65	0.447	posner	target_response	correct	right	left	left	102
504.219	0.2	posner	valid_cue	correct	left	n/a	n/a	103
504.419	0.426	posner	target_response	correct	left	left	left	103
510.688	0.2	posner	invalid_cue	correct	left	n/a	n/a	104
510.888	0.443	posner	target_response	correct	left	right	right	104
517.157	0.2	posner	invalid_cue	correct	right	n/a	n/a	105
517.357	0.551	posner	target_response	correct	right	left	left	105
523.926	0.2	posner	invalid_cue	correct	right	n/a	n/a	106
524.126	0.422	posner	target_response	correct	right	left	left	106
531.396	0.2	posner	valid_cue	correct	right	n/a	n/a	107
531.596	0.562	posner	target_response	correct	right	right	right	107
537.665	0.2	posner	invalid_cue	correct	left	n/a	n/a	108
537.865	0.439	posner	target_response	correct	left	right	right	108
542.733	0.2	posner	invalid_cue	correct	right	n/a	n/a	109
542.933	0.495	posner	target_response	correct	right	left	left	109
546.701	0.2	posner	valid_cue	correct	right	n/a	n/a	110
546.901	0.484	posner	target_response	correct	right	right	right	110
550.069	0.2	posner	invalid_cue	correct	right	n/a	n/a	111
550.269	0.434	posner	target_response	correct	right	left	left	111
556.738	0.2	posner	valid_cue	correct	left	n/a	n/a	112
556.938	0.367	posner	target_response	correct	left	left	left	112
564.208	0.2	posner	invalid_cue	correct	left	n/a	n/a	113
564.408	0.392	posner	target_response	correct	left	right	right	113
571.777	0.2	posner	invalid_cue	correct	left	n/a	n/a	114
571.977	0.434	posner	target_response	correct	left	right	right	114
575.245	0.2	posner	invalid_cue	correct	right	n/a	n/a	115
575.445	0.446	posner	target_response	correct	right	left	left	115
581.614	0.2	posner	invalid_cue	correct	right	n/a	n/a	116
581.814	0.459	posner	target_response	correct	right	left	left	116
584.882	0.2	posner	valid_cue	correct	left	n/a	n/a	117
585.082	0.37	posner	target_response	correct	left	left	left	117
587.85	0.2	posner	invalid_cue	correct	left	n/a	n/a	118
588.05	0.423	posner	target_response	correct	left	right	right	118
591.718	0.2	posner	invalid_cue	correct	right	n/a	n/a	119
591.918	0.45	posner	target_response	correct	right	left	left	119
599.188	0.2	posner	valid_cue	correct	right	n/a	n/a	120
599.388	0.407	posner	target_response	correct	right	right	right	120
