onset	duration	event_type	response_accuracy	cue_location	target_location	button_press	trial_index
6.08007788658142	0.2	invalid_cue	correct	right	n/a	n/a	1
6.29682636260986	0.375770807266235	target_response	correct	right	left	left	1
9.3813316822052	0.2	valid_cue	correct	left	n/a	n/a	2
9.58140635490417	0.348201751708984	target_response	correct	left	left	left	2
16.9675447940826	0.2	valid_cue	correct	left	n/a	n/a	3
17.1676204204559	0.373543739318848	target_response	correct	left	left	left	3
20.235452413559	0.2	valid_cue	correct	left	n/a	n/a	4
20.4355285167694	0.324099540710449	target_response	correct	left	left	left	4
26.3044233322144	0.2	invalid_cue	incorrect	right	n/a	n/a	5
26.5044994354248	0.123146533966064	target_response	incorrect	right	left	right	5
33.7905991077423	0.2	invalid_cue	incorrect	left	n/a	n/a	6
33.9906754493713	n/a	target_response	incorrect	left	right	n/a	6
37.4586596488953	0.2	valid_cue	incorrect	left	n/a	n/a	7
37.65873503685	n/a	target_response	incorrect	left	left	n/a	7
40.8266043663025	0.2	invalid_cue	incorrect	left	n/a	n/a	8
41.0266804695129	n/a	target_response	incorrect	left	right	n/a	8
49.3965246677399	0.2	invalid_cue	incorrect	left	n/a	n/a	9
49.5966012477875	n/a	target_response	incorrect	left	right	n/a	9
52.5643949508667	0.2	valid_cue	correct	right	n/a	n/a	10
52.7644712924957	0.306000709533691	target_response	correct	right	right	right	10
60.0338985919952	0.2	valid_cue	correct	right	n/a	n/a	11
60.23397564888	0.279801368713379	target_response	correct	right	right	right	11
63.1017301082611	0.2	valid_cue	correct	right	n/a	n/a	12
63.3018064498901	0.274789571762085	target_response	correct	right	right	right	12
66.3696384429932	0.2	valid_cue	incorrect	left	n/a	n/a	13
66.5697140693665	n/a	target_response	incorrect	left	left	n/a	13
69.4374701976776	0.2	invalid_cue	correct	left	n/a	n/a	14
69.6375465393066	0.400996446609497	target_response	correct	left	right	right	14
74.8895409107208	0.2	invalid_cue	correct	right	n/a	n/a	15
75.0896167755127	0.323875188827515	target_response	correct	right	left	left	15
78.5576009750366	0.2	valid_cue	incorrect	left	n/a	n/a	16
78.7576763629913	n/a	target_response	incorrect	left	left	n/a	16
81.6254327297211	0.2	invalid_cue	correct	right	n/a	n/a	17
81.8255085945129	0.333333492279053	target_response	correct	right	left	left	17
87.0941760540009	0.2	valid_cue	correct	left	n/a	n/a	18
87.2942526340485	0.349409341812134	target_response	correct	left	left	left	18
94.5636801719666	0.2	valid_cue	correct	right	n/a	n/a	19
94.7637550830841	0.281178951263428	target_response	correct	right	right	right	19
98.0316634178162	0.2	valid_cue	correct	left	n/a	n/a	20
98.2317390441895	0.249078989028931	target_response	correct	left	left	left	20
101.799761533737	0.2	valid_cue	correct	left	n/a	n/a	21
101.999837875366	0.19501519203186	target_response	correct	left	left	left	21
105.467821121216	0.2	valid_cue	correct	right	n/a	n/a	22
105.667896747589	0.267519235610962	target_response	correct	right	right	right	22
108.735729217529	0.2	valid_cue	correct	left	n/a	n/a	23
108.935804605484	0.262211561203003	target_response	correct	left	left	left	23
112.603865385056	0.2	invalid_cue	incorrect	right	n/a	n/a	24
112.803941249847	n/a	target_response	incorrect	right	left	n/a	24
119.373103618622	0.2	invalid_cue	incorrect	left	n/a	n/a	25
119.573179006577	n/a	target_response	incorrect	left	right	n/a	25
122.941125392914	0.2	valid_cue	correct	right	n/a	n/a	26
123.141201734543	0.305805206298828	target_response	correct	right	right	right	26
130.210553407669	0.2	valid_cue	incorrect	left	n/a	n/a	27
130.41062951088	n/a	target_response	incorrect	left	left	n/a	27
134.278765439987	0.2	invalid_cue	correct	left	n/a	n/a	28
