onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
372.676	3.069	rating_mouse_trajectory	21.9	Moderate	similarity	n/a	n/a
377.001	5.296	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
382.364	3.485	rating	40.34	Strong	similarity	n/a	n/a
383.33	2.518	rating_mouse_trajectory	40.34	Strong	similarity	n/a	n/a
387.382	3.168	cue	n/a	n/a	mentalizing	angry	n/a
390.55	5.179	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
395.785	2.58	rating	6.03	Weak	mentalizing	angry	n/a
396.985	1.38	rating_mouse_trajectory	6.03	Weak	mentalizing	angry	n/a
400.89	4.083	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
405.039	2.274	rating	23.79	Moderate	mentalizing	angry	n/a
405.939	1.374	rating_mouse_trajectory	23.79	Moderate	mentalizing	angry	n/a
410.181	6.682	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
416.943	3.503	rating	66.14	Very strong	mentalizing	angry	n/a
417.593	2.853	rating_mouse_trajectory	66.14	Very strong	mentalizing	angry	n/a
421.978	3.112	cue	n/a	n/a	similarity	n/a	n/a
425.091	5.508	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
430.665	2.401	rating	29.77	Strong	similarity	n/a	n/a
430.832	2.235	rating_mouse_trajectory	29.77	Strong	similarity	n/a	n/a
435.762	6.124	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
441.952	3.285	rating	43.23	Strong	similarity	n/a	n/a
442.736	2.502	rating_mouse_trajectory	43.23	Strong	similarity	n/a	n/a
447.069	5.01	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
452.156	3.173	rating	24.89	Moderate	similarity	n/a	n/a
452.44	2.89	rating_mouse_trajectory	24.89	Moderate	similarity	n/a	n/a
457.175	3.147	cue	n/a	n/a	likeability	n/a	n/a
460.322	5.191	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
465.595	2.785	rating	14.48	Moderate	likeability	n/a	n/a
465.795	2.585	rating_mouse_trajectory	14.48	Moderate	likeability	n/a	n/a
470.666	5.799	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
476.532	2.401	rating	34.5	Strong	likeability	n/a	n/a
476.865	2.068	rating_mouse_trajectory	34.5	Strong	likeability	n/a	n/a
481.638	6.841	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
488.536	4.192	rating	36.1	Strong	likeability	n/a	n/a
489.22	3.509	rating_mouse_trajectory	36.1	Strong	likeability	n/a	n/a
493.555	3.138	cue	n/a	n/a	mentalizing	calm	n/a
496.693	6.836	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
503.592	3.887	rating	74.58	Very strong	mentalizing	calm	n/a
504.275	3.204	rating_mouse_trajectory	74.58	Very strong	mentalizing	calm	n/a
508.666	5.797	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
514.53	2.318	rating	58.99	Strong	mentalizing	calm	n/a
514.863	1.984	rating_mouse_trajectory	58.99	Strong	mentalizing	calm	n/a
519.644	5.051	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
524.75	2.601	rating	40.89	Strong	mentalizing	calm	n/a
525.0	2.351	rating_mouse_trajectory	40.89	Strong	mentalizing	calm	n/a
529.785	3.134	cue	n/a	n/a	likeability	n/a	n/a
532.92	5.836	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
538.805	2.857	rating	42.12	Strong	likeability	n/a	n/a
539.189	2.474	rating_mouse_trajectory	42.12	Strong	likeability	n/a	n/a
543.908	6.121	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
550.093	2.419	rating	62.83	Strong	likeability	n/a	n/a
550.143	2.369	rating_mouse_trajectory	62.83	Strong	likeability	n/a	n/a
555.217	5.164	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
560.447	2.785	rating	58.87	Strong	likeability	n/a	n/a
560.497	2.735	rating_mouse_trajectory	58.87	Strong	likeability	n/a	n/a
565.482	3.143	cue	n/a	n/a	similarity	n/a	n/a
568.624	5.044	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
573.735	2.518	rating	4.36	Weak	similarity	n/a	n/a
