onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
2.802	3.135	cue	n/a	n/a	similarity	n/a	n/a
5.936	5.836	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
11.855	2.401	rating	6.44	Weak	similarity	n/a	n/a
12.405	1.851	rating_mouse_trajectory	6.44	Weak	similarity	n/a	n/a
16.968	6.358	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
23.409	1.801	rating	4.47	Weak	similarity	n/a	n/a
23.976	1.235	rating_mouse_trajectory	4.47	Weak	similarity	n/a	n/a
28.52	5.183	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
33.763	2.457	rating	41.76	Strong	similarity	n/a	n/a
34.347	1.873	rating_mouse_trajectory	41.76	Strong	similarity	n/a	n/a
38.799	3.146	cue	n/a	n/a	likeability	n/a	n/a
41.944	4.076	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
46.085	3.069	rating	20.27	Moderate	likeability	n/a	n/a
46.551	2.602	rating_mouse_trajectory	20.27	Moderate	likeability	n/a	n/a
51.205	6.349	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
57.622	3.035	rating	23.82	Moderate	likeability	n/a	n/a
58.072	2.585	rating_mouse_trajectory	23.82	Moderate	likeability	n/a	n/a
62.7	5.503	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
68.276	2.669	rating	48.51	Strong	likeability	n/a	n/a
68.876	2.069	rating_mouse_trajectory	48.51	Strong	likeability	n/a	n/a
73.295	3.144	cue	n/a	n/a	similarity	n/a	n/a
76.438	5.565	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
82.065	2.689	rating	14.55	Moderate	similarity	n/a	n/a
82.581	2.172	rating_mouse_trajectory	14.55	Moderate	similarity	n/a	n/a
87.16	5.193	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
92.419	3.035	rating	3.46	Weak	similarity	n/a	n/a
93.002	2.452	rating_mouse_trajectory	3.46	Weak	similarity	n/a	n/a
97.487	5.4	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
102.956	3.768	rating	12.79	Moderate	similarity	n/a	n/a
103.639	3.085	rating_mouse_trajectory	12.79	Moderate	similarity	n/a	n/a
107.974	3.116	cue	n/a	n/a	mentalizing	enjoy	n/a
111.09	5.23	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
116.377	3.409	rating	27.76	Moderate	mentalizing	enjoy	n/a
117.277	2.509	rating_mouse_trajectory	27.76	Moderate	mentalizing	enjoy	n/a
121.479	5.558	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
127.098	2.538	rating	19.26	Moderate	mentalizing	enjoy	n/a
127.581	2.055	rating_mouse_trajectory	19.26	Moderate	mentalizing	enjoy	n/a
132.165	5.505	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
137.735	3.585	rating	25.81	Moderate	mentalizing	enjoy	n/a
138.419	2.902	rating_mouse_trajectory	25.81	Moderate	mentalizing	enjoy	n/a
142.771	3.156	cue	n/a	n/a	likeability	n/a	n/a
145.926	5.177	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
151.157	2.568	rating	39.48	Strong	likeability	n/a	n/a
