onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file_TODO
4.837	25.979	narrative_presentation	n/a	n/a	Recovery of a lost one	town	Audio	task-narratives/Narrative6Situation1.mp3
30.816	3.007	rating_feeling	974	634	Recovery of a lost one	town	Audio	n/a
32.382	1.441	feeling_mouse_trajectory	974	634	Recovery of a lost one	town	Audio	n/a
34.851	1.606	rating_expectation	836	556	Recovery of a lost one	town	Audio	n/a
35.801	0.656	expectation_mouse_trajectory	836	556	Recovery of a lost one	town	Audio	n/a
41.922	27.98	narrative_presentation	n/a	n/a	The enigma	town	Audio	task-narratives/Narrative6Situation2.mp3
69.902	3.193	rating_feeling	782	614	The enigma	town	Audio	n/a
71.168	1.926	feeling_mouse_trajectory	782	614	The enigma	town	Audio	n/a
73.932	1.891	rating_expectation	766	613	The enigma	town	Audio	n/a
74.598	1.225	expectation_mouse_trajectory	766	613	The enigma	town	Audio	n/a
82.987	11.978	narrative_presentation	n/a	n/a	Revolt	town	Audio	task-narratives/Narrative6Situation3.mp3
94.966	1.384	rating_feeling	960	707	Revolt	town	Audio	n/a
n/a	n/a	feeling_mouse_trajectory	960	707	Revolt	town	Audio	n/a
98.991	1.634	rating_expectation	736	599	Revolt	town	Audio	n/a
99.691	0.934	expectation_mouse_trajectory	736	599	Revolt	town	Audio	n/a
105.045	11.975	narrative_presentation	n/a	n/a	Loss of loved one	swamp	Audio	task-narratives/Narrative6Situation4.mp3
117.02	1.167	rating_feeling	745	619	Loss of loved one	swamp	Audio	n/a
117.053	1.134	feeling_mouse_trajectory	745	619	Loss of loved one	swamp	Audio	n/a
121.049	1.691	rating_expectation	772	493	Loss of loved one	swamp	Audio	n/a
121.899	0.841	expectation_mouse_trajectory	772	493	Loss of loved one	swamp	Audio	n/a
127.121	7.308	narrative_presentation	n/a	n/a	An enemy loved	swamp	Audio	task-narratives/Narrative6Situation5.mp3
134.428	2.402	rating_feeling	799	575	An enemy loved	swamp	Audio	n/a
135.545	1.285	feeling_mouse_trajectory	799	575	An enemy loved	swamp	Audio	n/a
138.456	2.268	rating_expectation	704	507	An enemy loved	swamp	Audio	n/a
138.839	1.884	expectation_mouse_trajectory	704	507	An enemy loved	swamp	Audio	n/a
144.51	10.813	narrative_presentation	n/a	n/a	Daring Enterprise	swamp	Audio	task-narratives/Narrative6Situation6.mp3
155.323	1.778	rating_feeling	740	524	Daring Enterprise	swamp	Audio	n/a
155.756	1.344	feeling_mouse_trajectory	740	524	Daring Enterprise	swamp	Audio	n/a
159.356	2.018	rating_expectation	635	553	Daring Enterprise	swamp	Audio	n/a
159.806	1.568	expectation_mouse_trajectory	635	553	Daring Enterprise	swamp	Audio	n/a
168.42	23.281	narrative_presentation	n/a	n/a	Self-sacrifice for kin	city	Audio	task-narratives/Narrative6Situation7.mp3
191.7	2.284	rating_feeling	779	551	Self-sacrifice for kin	city	Audio	n/a
192.45	1.534	feeling_mouse_trajectory	779	551	Self-sacrifice for kin	city	Audio	n/a
195.727	1.718	rating_expectation	735	533	Self-sacrifice for kin	city	Audio	n/a
196.277	1.168	expectation_mouse_trajectory	735	533	Self-sacrifice for kin	city	Audio	n/a
204.783	5.283	narrative_presentation	n/a	n/a	Falling prey to misfortune	city	Audio	task-narratives/Narrative6Situation8.mp3
210.065	2.685	rating_feeling	770	548	Falling prey to misfortune	city	Audio	n/a
211.782	0.968	feeling_mouse_trajectory	770	548	Falling prey to misfortune	city	Audio	n/a
214.106	1.973	rating_expectation	719	539	Falling prey to misfortune	city	Audio	n/a
215.139	0.939	expectation_mouse_trajectory	719	539	Falling prey to misfortune	city	Audio	n/a
222.191	9.306	narrative_presentation	n/a	n/a	Madness	city	Audio	task-narratives/Narrative6Situation9.mp3
231.497	2.301	rating_feeling	639	494	Madness	city	Audio	n/a
231.98	1.818	feeling_mouse_trajectory	639	494	Madness	city	Audio	n/a
235.526	1.467	rating_expectation	709	467	Madness	city	Audio	n/a
236.226	0.767	expectation_mouse_trajectory	709	467	Madness	city	Audio	n/a
244.581	12.652	narrative_presentation	n/a	n/a	Enmity of kin	prison	Audio	task-narratives/Narrative5Situation1.mp3
257.233	1.707	rating_feeling	822	596	Enmity of kin	prison	Audio	n/a
258.166	0.773	feeling_mouse_trajectory	822	596	Enmity of kin	prison	Audio	n/a
261.272	1.922	rating_expectation	759	520	Enmity of kin	prison	Audio	n/a
262.206	0.988	expectation_mouse_trajectory	759	520	Enmity of kin	prison	Audio	n/a
268.342	28.115	narrative_presentation	n/a	n/a	All sacrificed for passion	prison	Audio	task-narratives/Narrative5Situation2.mp3
296.457	1.575	rating_feeling	770	496	All sacrificed for passion	prison	Audio	n/a
297.207	0.825	feeling_mouse_trajectory	770	496	All sacrificed for passion	prison	Audio	n/a
300.489	1.384	rating_expectation	832	593	All sacrificed for passion	prison	Audio	n/a
301.106	0.767	expectation_mouse_trajectory	832	593	All sacrificed for passion	prison	Audio	n/a
307.571	13.311	narrative_presentation	n/a	n/a	Discovery of dishonour of loved one	prison	Audio	task-narratives/Narrative5Situation3.mp3
