onset	duration	trial_type	response_value	stim_file_TODO
2.771	155.184	video	n/a	task-alignvideo/ses-01_run-02_order-01_content-harrymetsally.mp4
160.172	2.168	rating_relevance	4.38	task-alignvideo/ses-01_run-02_order-01_content-harrymetsally.mp4
165.791	2.769	rating_happy	13.33	task-alignvideo/ses-01_run-02_order-01_content-harrymetsally.mp4
169.626	1.582	rating_sad	0.0	task-alignvideo/ses-01_run-02_order-01_content-harrymetsally.mp4
174.044	0.983	rating_afraid	0.0	task-alignvideo/ses-01_run-02_order-01_content-harrymetsally.mp4
179.396	1.317	rating_disgusted	0.0	task-alignvideo/ses-01_run-02_order-01_content-harrymetsally.mp4
184.348	1.25	rating_warm	0.0	task-alignvideo/ses-01_run-02_order-01_content-harrymetsally.mp4
191.184	3.067	rating_engaged	98.65	task-alignvideo/ses-01_run-02_order-01_content-harrymetsally.mp4
193.143	57.069	video	n/a	task-alignvideo/ses-01_run-02_order-02_content-HB.mp4
253.091	2.84	rating_relevance	10.21	task-alignvideo/ses-01_run-02_order-02_content-HB.mp4
257.659	2.398	rating_happy	12.71	task-alignvideo/ses-01_run-02_order-02_content-HB.mp4
262.378	2.099	rating_sad	0.0	task-alignvideo/ses-01_run-02_order-02_content-HB.mp4
266.896	1.6	rating_afraid	33.96	task-alignvideo/ses-01_run-02_order-02_content-HB.mp4
271.764	1.45	rating_disgusted	0.0	task-alignvideo/ses-01_run-02_order-02_content-HB.mp4
276.9	1.566	rating_warm	6.56	task-alignvideo/ses-01_run-02_order-02_content-HB.mp4
283.586	3.234	rating_engaged	97.29	task-alignvideo/ses-01_run-02_order-02_content-HB.mp4
285.374	243.84	video	n/a	task-alignvideo/ses-01_run-02_order-03_content-islamophobia.mp4
532.03	2.776	rating_relevance	22.5	task-alignvideo/ses-01_run-02_order-03_content-islamophobia.mp4
536.098	1.833	rating_happy	0.0	task-alignvideo/ses-01_run-02_order-03_content-islamophobia.mp4
539.983	0.699	rating_sad	0.0	task-alignvideo/ses-01_run-02_order-03_content-islamophobia.mp4
545.151	0.85	rating_afraid	0.0	task-alignvideo/ses-01_run-02_order-03_content-islamophobia.mp4
550.386	1.066	rating_disgusted	0.0	task-alignvideo/ses-01_run-02_order-03_content-islamophobia.mp4
555.522	1.182	rating_warm	0.0	task-alignvideo/ses-01_run-02_order-03_content-islamophobia.mp4
561.908	2.556	rating_engaged	90.73	task-alignvideo/ses-01_run-02_order-03_content-islamophobia.mp4
564.38	30.107	video	n/a	task-alignvideo/ses-01_run-02_order-04_content-beachsunset.mp4
597.388	2.872	rating_relevance	14.48	task-alignvideo/ses-01_run-02_order-04_content-beachsunset.mp4
600.822	1.283	rating_happy	17.4	task-alignvideo/ses-01_run-02_order-04_content-beachsunset.mp4
605.724	1.172	rating_sad	0.0	task-alignvideo/ses-01_run-02_order-04_content-beachsunset.mp4
610.226	0.653	rating_afraid	0.0	task-alignvideo/ses-01_run-02_order-04_content-beachsunset.mp4
615.678	1.085	rating_disgusted	0.0	task-alignvideo/ses-01_run-02_order-04_content-beachsunset.mp4
620.93	1.315	rating_warm	0.0	task-alignvideo/ses-01_run-02_order-04_content-beachsunset.mp4
625.632	1.0	rating_engaged	0.0	task-alignvideo/ses-01_run-02_order-04_content-beachsunset.mp4
