onset	duration	trial_type	response_value	stim_file_TODO
2.766	142.363	video	n/a	task-alignvideo/ses-01_run-04_order-01_content-beatbox.mp4
146.136	0.971	rating_relevance	0.0	task-alignvideo/ses-01_run-04_order-01_content-beatbox.mp4
150.738	0.549	rating_happy	0.0	task-alignvideo/ses-01_run-04_order-01_content-beatbox.mp4
155.723	0.522	rating_sad	0.0	task-alignvideo/ses-01_run-04_order-01_content-beatbox.mp4
160.875	0.653	rating_afraid	0.0	task-alignvideo/ses-01_run-04_order-01_content-beatbox.mp4
165.71	0.466	rating_disgusted	0.0	task-alignvideo/ses-01_run-04_order-01_content-beatbox.mp4
170.695	0.432	rating_warm	0.0	task-alignvideo/ses-01_run-04_order-01_content-beatbox.mp4
175.764	0.483	rating_engaged	0.0	task-alignvideo/ses-01_run-04_order-01_content-beatbox.mp4
180.316	339.076	video	n/a	task-alignvideo/ses-01_run-04_order-02_content-angrygrandpa.mp4
521.109	1.681	rating_relevance	1.25	task-alignvideo/ses-01_run-04_order-02_content-angrygrandpa.mp4
526.878	2.432	rating_happy	26.35	task-alignvideo/ses-01_run-04_order-02_content-angrygrandpa.mp4
530.746	1.283	rating_sad	4.9	task-alignvideo/ses-01_run-04_order-02_content-angrygrandpa.mp4
535.598	1.116	rating_afraid	0.0	task-alignvideo/ses-01_run-04_order-02_content-angrygrandpa.mp4
540.266	0.766	rating_disgusted	0.0	task-alignvideo/ses-01_run-04_order-02_content-angrygrandpa.mp4
546.202	1.683	rating_warm	33.02	task-alignvideo/ses-01_run-04_order-02_content-angrygrandpa.mp4
550.737	1.2	rating_engaged	28.85	task-alignvideo/ses-01_run-04_order-02_content-angrygrandpa.mp4
