onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	participant_response	trial_index
13.969	0.2	posner	invalid_cue	correct	right	n/a	n/a	1
14.186	0.411	posner	target_response	correct	right	left	left	1
18.588	0.2	posner	invalid_cue	correct	left	n/a	n/a	2
18.788	0.408	posner	target_response	correct	left	right	right	2
21.989	0.2	posner	valid_cue	correct	right	n/a	n/a	3
22.189	0.474	posner	target_response	correct	right	right	right	3
28.375	0.2	posner	invalid_cue	correct	right	n/a	n/a	4
28.575	0.406	posner	target_response	correct	right	left	left	4
31.759	0.2	posner	invalid_cue	correct	left	n/a	n/a	5
31.959	0.479	posner	target_response	correct	left	right	right	5
39.279	0.2	posner	invalid_cue	correct	right	n/a	n/a	6
39.479	0.421	posner	target_response	correct	right	left	left	6
42.847	0.2	posner	invalid_cue	correct	right	n/a	n/a	7
43.047	0.435	posner	target_response	correct	right	left	left	7
46.115	0.2	posner	invalid_cue	correct	left	n/a	n/a	8
46.315	0.412	posner	target_response	correct	left	right	right	8
50.283	0.2	posner	valid_cue	correct	left	n/a	n/a	9
50.483	0.419	posner	target_response	correct	left	left	left	9
53.551	0.2	posner	valid_cue	correct	left	n/a	n/a	10
53.751	0.366	posner	target_response	correct	left	left	left	10
59.72	0.2	posner	valid_cue	correct	right	n/a	n/a	11
59.92	0.421	posner	target_response	correct	right	right	right	11
63.288	0.2	posner	invalid_cue	correct	right	n/a	n/a	12
63.488	0.386	posner	target_response	correct	right	left	left	12
67.156	0.2	posner	valid_cue	correct	left	n/a	n/a	13
67.356	0.412	posner	target_response	correct	left	left	left	13
70.824	0.2	posner	invalid_cue	correct	left	n/a	n/a	14
71.024	0.466	posner	target_response	correct	left	right	right	14
76.292	0.2	posner	valid_cue	correct	right	n/a	n/a	15
76.493	0.455	posner	target_response	correct	right	right	right	15
79.56	0.2	posner	valid_cue	correct	left	n/a	n/a	16
79.76	0.411	posner	target_response	correct	left	left	left	16
86.029	0.2	posner	valid_cue	correct	left	n/a	n/a	17
86.229	0.446	posner	target_response	correct	left	left	left	17
93.499	0.2	posner	valid_cue	correct	right	n/a	n/a	18
93.699	0.429	posner	target_response	correct	right	right	right	18
98.667	0.2	posner	valid_cue	correct	left	n/a	n/a	19
98.868	0.385	posner	target_response	correct	left	left	left	19
103.136	0.2	posner	valid_cue	correct	right	n/a	n/a	20
103.336	0.36	posner	target_response	correct	right	right	right	20
110.605	0.2	posner	valid_cue	correct	right	n/a	n/a	21
110.805	0.381	posner	target_response	correct	right	right	right	21
114.073	0.2	posner	valid_cue	correct	right	n/a	n/a	22
114.273	0.399	posner	target_response	correct	right	right	right	22
117.441	0.2	posner	valid_cue	correct	left	n/a	n/a	23
117.641	0.336	posner	target_response	correct	left	left	left	23
120.609	0.2	posner	invalid_cue	correct	right	n/a	n/a	24
120.809	0.505	posner	target_response	correct	right	left	left	24
123.577	0.2	posner	invalid_cue	correct	left	n/a	n/a	25
123.777	0.459	posner	target_response	correct	left	right	right	25
131.046	0.2	posner	valid_cue	correct	right	n/a	n/a	26
131.246	0.435	posner	target_response	correct	right	right	right	26
134.014	0.2	posner	invalid_cue	correct	left	n/a	n/a	27
134.214	0.612	posner	target_response	correct	left	right	right	27
140.783	0.2	posner	invalid_cue	correct	left	n/a	n/a	28
140.983	0.399	posner	target_response	correct	left	right	right	28
145.752	0.2	posner	valid_cue	correct	left	n/a	n/a	29
145.952	0.441	posner	target_response	correct	left	left	left	29
149.02	0.2	posner	valid_cue	correct	left	n/a	n/a	30
149.22	0.363	posner	target_response	correct	left	left	left	30
152.087	0.2	posner	invalid_cue	correct	right	n/a	n/a	31
152.287	0.494	posner	target_response	correct	right	left	left	31
155.455	0.2	posner	invalid_cue	correct	right	n/a	n/a	32
155.655	0.339	posner	target_response	correct	right	left	left	32
162.925	0.2	posner	invalid_cue	correct	left	n/a	n/a	33
163.125	0.523	posner	target_response	correct	left	right	right	33
171.695	0.2	posner	valid_cue	correct	left	n/a	n/a	34
171.895	0.453	posner	target_response	correct	left	left	left	34
178.064	0.2	posner	valid_cue	correct	right	n/a	n/a	35
178.264	0.575	posner	target_response	correct	right	right	right	35
181.932	0.2	posner	valid_cue	correct	right	n/a	n/a	36
182.132	0.95	posner	target_response	correct	right	right	right	36
186.2	0.2	posner	invalid_cue	correct	right	n/a	n/a	37
186.4	0.433	posner	target_response	correct	right	left	left	37
190.368	0.2	posner	valid_cue	correct	left	n/a	n/a	38
190.568	0.394	posner	target_response	correct	left	left	left	38
193.836	0.2	posner	valid_cue	correct	right	n/a	n/a	39
194.036	0.407	posner	target_response	correct	right	right	right	39
197.404	0.2	posner	valid_cue	correct	right	n/a	n/a	40
197.604	0.377	posner	target_response	correct	right	right	right	40
205.974	0.2	posner	valid_cue	correct	right	n/a	n/a	41
206.174	0.474	posner	target_response	correct	right	right	right	41
212.743	0.2	posner	invalid_cue	correct	left	n/a	n/a	42
212.943	0.663	posner	target_response	correct	left	right	right	42
216.011	0.2	posner	invalid_cue	correct	right	n/a	n/a	43
216.211	0.641	posner	target_response	correct	right	left	left	43
219.779	0.2	posner	valid_cue	correct	right	n/a	n/a	44
219.979	0.566	posner	target_response	correct	right	right	right	44
222.947	0.2	posner	valid_cue	correct	left	n/a	n/a	45
223.147	0.446	posner	target_response	correct	left	left	left	45
