onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	trial_index
14.819	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	1
25.79	5.636	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/3b_question.txt	1
44.33	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	2
55.301	4.368	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	2
73.841	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	3
84.812	5.843	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/10p_question.txt	3
103.336	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	4
114.323	4.318	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	4
132.863	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
143.834	3.726	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/1p_question.txt	5
162.374	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.345	5.025	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
191.869	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	7
202.856	4.662	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/7p_question.txt	7
221.38	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	8
232.367	n/a	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/7b_question.txt	8
250.891	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	9
261.878	3.428	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/5b_question.txt	9
280.402	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	10
291.389	3.853	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	10
309.929	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	11
320.9	5.964	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	11
339.424	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	12
350.411	5.188	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/4b_question.txt	12
368.935	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	13
379.922	n/a	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/9p_question.txt	13
398.446	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	14
409.433	n/a	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/9b_question.txt	14
427.957	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	15
438.944	5.173	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/8b_question.txt	15
457.468	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	16
468.455	3.914	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	16
486.979	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	17
497.966	n/a	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/6p_question.txt	17
516.49	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	18
527.477	5.128	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	18
546.001	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	19
556.988	4.445	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/2p_question.txt	19
575.528	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	20
586.499	5.771	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/2b_question.txt	20
