onset	duration	trial_type	response_value	stim_file
2.787	50.509	video	n/a	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
55.971	2.577	rating_relevance	13.44	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
60.907	2.487	rating_happy	17.4	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
64.992	1.548	rating_sad	3.23	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
70.41	1.948	rating_afraid	0.1	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
77.146	3.659	rating_disgusted	0.42	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
81.114	2.616	rating_warm	0.0	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
85.549	2.033	rating_engaged	16.25	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
88.656	179.462	video	n/a	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
270.318	2.156	rating_relevance	0.31	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
276.32	3.14	rating_happy	10.31	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
280.205	2.016	rating_sad	2.6	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
285.64	2.433	rating_afraid	0.31	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
290.626	2.399	rating_disgusted	0.73	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
295.778	2.537	rating_warm	9.9	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
301.596	3.334	rating_engaged	6.88	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
303.336	56.927	video	n/a	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
362.786	2.482	rating_relevance	43.54	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
366.921	1.599	rating_happy	42.08	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
372.173	1.838	rating_sad	0.42	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
376.958	1.6	rating_afraid	0.52	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
384.111	3.732	rating_disgusted	0.21	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
388.012	2.616	rating_warm	18.65	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
392.314	1.9	rating_engaged	65.83	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
395.47	147.776	video	n/a	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
545.721	2.421	rating_relevance	0.73	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
551.206	2.899	rating_happy	39.38	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
555.508	2.178	rating_sad	39.79	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
560.093	1.749	rating_afraid	0.52	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
565.662	2.298	rating_disgusted	2.4	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
570.563	2.183	rating_warm	8.85	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
575.582	2.183	rating_engaged	57.5	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
