onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file_TODO	trial_index
407.089	1.127	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_024.jpg	174
408.523	0.893	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_091.jpg	175
409.723	0.652	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_349.jpg	176
414.416	2.101	tomspunt	self-doubt?	block_question_presentation	n/a	n/a	n/a	n/a	177
419.427	0.755	tomspunt	self-doubt?	why_face	no	yes	incorrect	task-tomspunt/F_754.jpg	177
420.494	1.122	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_128.jpg	178
421.928	0.738	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_544.jpg	179
422.978	0.938	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_086.jpg	180
424.228	0.687	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_798.jpg	181
425.229	0.82	tomspunt	self-doubt?	why_face	no	yes	incorrect	task-tomspunt/F_584.jpg	182
426.362	0.886	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_111.jpg	183
427.563	0.753	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_774.jpg	184
433.206	2.101	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a	185
438.217	0.919	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_433.jpg	185
439.451	1.119	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_779.jpg	186
440.885	1.085	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_760.jpg	187
442.285	0.947	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_111.jpg	188
443.536	0.93	tomspunt	looking to side?	how_face	yes	no	incorrect	task-tomspunt/F_798.jpg	189
444.769	0.935	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_716.jpg	190
446.02	0.846	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_590.jpg	191
447.17	0.862	tomspunt	looking to side?	how_face	no	yes	incorrect	task-tomspunt/F_110.jpg	192
451.079	2.101	tomspunt	argument?	block_question_presentation	n/a	n/a	n/a	n/a	193
456.09	0.958	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_716.jpg	193
457.357	0.691	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_139.jpg	194
458.358	0.868	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_743.jpg	195
459.542	0.735	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_403.jpg	196
460.592	0.902	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_758.jpg	197
461.809	0.573	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_844.jpg	198
462.693	1.14	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_712.jpg	199
464.143	0.022	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_433.jpg	200
470.187	2.101	tomspunt	open mouth?	block_question_presentation	n/a	n/a	n/a	n/a	201
475.197	0.485	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_844.jpg	201
475.998	0.501	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_692.jpg	202
476.815	0.501	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_584.jpg	203
477.632	0.619	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_086.jpg	204
478.565	0.619	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_403.jpg	205
479.499	0.585	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_544.jpg	206
480.399	0.585	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_648.jpg	207
481.3	0.582	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_776.jpg	208
489.144	2.101	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a	209
494.154	0.544	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_170.jpg	209
495.005	1.044	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg	210
496.355	0.694	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_189.jpg	211
497.356	0.652	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg	212
498.323	0.801	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg	213
499.44	0.609	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg	214
500.357	0.825	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_136.jpg	215
501.491	1.019	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg	216
506.667	2.101	tomspunt	competing?	block_question_presentation	n/a	n/a	n/a	n/a	217
511.678	0.535	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_003.jpg	217
512.528	0.638	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_483.jpg	218
513.478	0.554	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_132.jpg	219
514.345	0.487	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_170.jpg	220
515.146	0.603	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_502.jpg	221
516.063	0.953	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_136.jpg	222
517.33	0.802	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_126.jpg	223
518.447	0.502	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_261.jpg	224
524.54	2.101	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a	225
529.551	0.452	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg	225
530.318	0.535	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg	226
531.168	0.497	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg	227
531.969	0.502	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg	228
532.786	0.514	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg	229
