onset	duration	trial_type	response_value	stim_file_TODO
2.786	50.514	video	n/a	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
57.928	n/a	rating_relevance	n/a	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
61.663	3.218	rating_happy	41.46	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
66.748	3.282	rating_sad	0.52	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
72.334	3.849	rating_afraid	0.31	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
76.052	2.543	rating_disgusted	0.21	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
81.837	3.308	rating_warm	38.33	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
86.456	2.906	rating_engaged	56.77	task-alignvideo/ses-04_run-01_order-01_content-universe.mp4
88.687	179.463	video	n/a	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
272.125	3.925	rating_relevance	35.0	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
276.393	3.182	rating_happy	48.12	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
282.746	n/a	rating_sad	n/a	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
287.781	n/a	rating_afraid	n/a	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
292.816	n/a	rating_disgusted	n/a	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
296.667	3.334	rating_warm	91.04	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
300.819	2.467	rating_engaged	64.79	task-alignvideo/ses-04_run-01_order-02_content-gockskumara.mp4
303.424	56.925	video	n/a	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
364.443	4.057	rating_relevance	39.38	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
368.878	3.471	rating_happy	48.65	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
374.93	n/a	rating_sad	n/a	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
379.965	n/a	rating_afraid	n/a	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
385.0	n/a	rating_disgusted	n/a	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
390.036	n/a	rating_warm	n/a	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
393.854	3.3	rating_engaged	63.02	task-alignvideo/ses-04_run-01_order-03_content-skiing.mp4
395.613	147.77	video	n/a	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
547.928	n/a	rating_relevance	n/a	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
552.963	n/a	rating_happy	n/a	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
557.998	n/a	rating_sad	n/a	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
563.033	n/a	rating_afraid	n/a	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
568.069	n/a	rating_disgusted	n/a	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
573.104	n/a	rating_warm	n/a	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
578.139	n/a	rating_engaged	n/a	task-alignvideo/ses-04_run-01_order-04_content-cyclegraphics.mp4
