onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file_TODO
11.822	22.111	narrative_presentation	n/a	n/a	An enemy loved	forest	Text	task-narratives/Narrative2Situation1.txt
33.933	2.801	rating_feeling	692	479	An enemy loved	forest	Text	n/a
34.767	1.968	feeling_mouse_trajectory	692	479	An enemy loved	forest	Text	n/a
38.017	1.467	rating_expectation	679	541	An enemy loved	forest	Text	n/a
38.067	1.417	expectation_mouse_trajectory	679	541	An enemy loved	forest	Text	n/a
44.084	36.183	narrative_presentation	n/a	n/a	Enmity of kin	forest	Text	task-narratives/Narrative2Situation2.txt
80.267	2.551	rating_feeling	700	464	Enmity of kin	forest	Text	n/a
81.333	1.485	feeling_mouse_trajectory	700	464	Enmity of kin	forest	Text	n/a
84.285	1.617	rating_expectation	673	524	Enmity of kin	forest	Text	n/a
84.685	1.217	expectation_mouse_trajectory	673	524	Enmity of kin	forest	Text	n/a
92.369	9.376	narrative_presentation	n/a	n/a	Necessity of sacrificing loved ones	forest	Text	task-narratives/Narrative2Situation3.txt
101.745	2.753	rating_feeling	702	536	Necessity of sacrificing loved ones	forest	Text	n/a
102.628	1.869	feeling_mouse_trajectory	702	536	Necessity of sacrificing loved ones	forest	Text	n/a
105.76	1.785	rating_expectation	671	519	Necessity of sacrificing loved ones	forest	Text	n/a
106.427	1.118	expectation_mouse_trajectory	671	519	Necessity of sacrificing loved ones	forest	Text	n/a
112.826	18.427	narrative_presentation	n/a	n/a	Murderous adultury	town	Text	task-narratives/Narrative2Situation4.txt
131.253	2.642	rating_feeling	612	445	Murderous adultury	town	Text	n/a
131.97	1.925	feeling_mouse_trajectory	612	445	Murderous adultury	town	Text	n/a
135.276	3.157	rating_expectation	696	553	Murderous adultury	town	Text	n/a
136.993	1.44	expectation_mouse_trajectory	696	553	Murderous adultury	town	Text	n/a
142.371	16.742	narrative_presentation	n/a	n/a	Daring Enterprise	town	Text	task-narratives/Narrative2Situation5.txt
159.113	2.418	rating_feeling	717	490	Daring Enterprise	town	Text	n/a
159.196	2.334	feeling_mouse_trajectory	717	490	Daring Enterprise	town	Text	n/a
163.13	1.984	rating_expectation	720	468	Daring Enterprise	town	Text	n/a
164.047	1.068	expectation_mouse_trajectory	720	468	Daring Enterprise	town	Text	n/a
169.197	5.688	narrative_presentation	n/a	n/a	Ambition	town	Text	task-narratives/Narrative2Situation6.txt
174.885	3.535	rating_feeling	674	552	Ambition	town	Text	n/a
175.652	2.768	feeling_mouse_trajectory	674	552	Ambition	town	Text	n/a
178.914	1.357	rating_expectation	704	567	Ambition	town	Text	n/a
179.264	1.007	expectation_mouse_trajectory	704	567	Ambition	town	Text	n/a
183.986	19.093	narrative_presentation	n/a	n/a	Mistaken jealousy	hospital	Text	task-narratives/Narrative2Situation7.txt
203.079	2.183	rating_feeling	746	519	Mistaken jealousy	hospital	Text	n/a
204.296	0.967	feeling_mouse_trajectory	746	519	Mistaken jealousy	hospital	Text	n/a
207.097	0.05	rating_expectation	960	707	Mistaken jealousy	hospital	Text	n/a
207.18	-0.033	expectation_mouse_trajectory	960	707	Mistaken jealousy	hospital	Text	n/a
