onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
3.849	1.314	face	n/a	intensity	disgust	female	WC	old	task-faces/4Disgust_Model2_1Female_1WC_2Old.mp4
5.163	1.6	rating	0.4215	intensity	disgust	female	WC	old	n/a
6.413	0.35	rating_mouse_trajectory	0.4215	intensity	disgust	female	WC	old	n/a
7.159	2.039	face	n/a	intensity	pain	male	African	old	task-faces/7Pain_Model4_2Male_3African_2Old.mp4
9.198	0.456	rating	0.4964	intensity	pain	male	African	old	n/a
9.281	0.372	rating_mouse_trajectory	0.4964	intensity	pain	male	African	old	n/a
11.14	1.309	face	n/a	intensity	fear	male	EA	old	task-faces/3Fear_Model2_2Male_2EA_2Old.mp4
12.449	0.737	rating	0.4134	intensity	fear	male	EA	old	n/a
12.532	0.653	rating_mouse_trajectory	0.4134	intensity	fear	male	EA	old	n/a
15.374	1.31	face	n/a	intensity	happy	male	EA	old	task-faces/1Happy_Model1_2Male_2EA_2Old.mp4
16.684	0.952	rating	0.553	intensity	happy	male	EA	old	n/a
16.901	0.735	rating_mouse_trajectory	0.553	intensity	happy	male	EA	old	n/a
18.607	1.312	face	n/a	intensity	happy	female	EA	old	task-faces/1Happy_Model5_1Female_2EA_2Old.mp4
19.918	0.935	rating	0.6744	intensity	happy	female	EA	old	n/a
20.185	0.668	rating_mouse_trajectory	0.6744	intensity	happy	female	EA	old	n/a
25.86	1.311	face	n/a	intensity	anger	male	WC	young	task-faces/5Anger_Model4_2Male_1WC_1Young.mp4
27.171	1.785	rating	0.4417	intensity	anger	male	WC	young	n/a
28.154	0.802	rating_mouse_trajectory	0.4417	intensity	anger	male	WC	young	n/a
29.094	1.311	face	n/a	intensity	happy	male	WC	young	task-faces/1Happy_Model2_2Male_1WC_1Young.mp4
30.406	0.836	rating	0.7269	intensity	happy	male	WC	young	n/a
30.606	0.636	rating_mouse_trajectory	0.7269	intensity	happy	male	WC	young	n/a
32.323	1.301	face	n/a	intensity	disgust	male	WC	old	task-faces/4Disgust_Model3_2Male_1WC_2Old.mp4
33.624	0.952	rating	0.2213	intensity	disgust	male	WC	old	n/a
33.857	0.718	rating_mouse_trajectory	0.2213	intensity	disgust	male	WC	old	n/a
35.54	1.302	face	n/a	intensity	sad	male	WC	young	task-faces/6Sad_Model5_2Male_1WC_1Young.mp4
36.841	0.694	rating	0.3305	intensity	sad	male	WC	young	n/a
37.108	0.427	rating_mouse_trajectory	0.3305	intensity	sad	male	WC	young	n/a
38.747	2.046	face	n/a	intensity	pleasure	female	WC	young	task-faces/8Pleasure_Model1_1Female_1WC_1Young.mp4
40.793	0.959	rating	0.4033	intensity	pleasure	female	WC	young	n/a
41.043	0.709	rating_mouse_trajectory	0.4033	intensity	pleasure	female	WC	young	n/a
44.717	1.311	face	n/a	intensity	surprise	male	WC	old	task-faces/2Surprise_Model5_2Male_1WC_2Old.mp4
46.028	0.707	rating	0.5166	intensity	surprise	male	WC	old	n/a
46.345	0.39	rating_mouse_trajectory	0.5166	intensity	surprise	male	WC	old	n/a
48.957	1.306	face	n/a	intensity	happy	female	WC	young	task-faces/1Happy_Model2_1Female_1WC_1Young.mp4
50.263	0.755	rating	0.6804	intensity	happy	female	WC	young	n/a
50.58	0.438	rating_mouse_trajectory	0.6804	intensity	happy	female	WC	young	n/a
54.187	1.312	face	n/a	intensity	happy	male	African	young	task-faces/1Happy_Model5_2Male_3African_1Young.mp4
55.498	0.737	rating	0.2799	intensity	happy	male	African	young	n/a
55.548	0.687	rating_mouse_trajectory	0.2799	intensity	happy	male	African	young	n/a
58.407	1.31	face	n/a	intensity	sad	female	African	old	task-faces/6Sad_Model4_1Female_3African_2Old.mp4
59.716	0.902	rating	0.2981	intensity	sad	female	African	old	n/a
60.05	0.568	rating_mouse_trajectory	0.2981	intensity	sad	female	African	old	n/a
62.623	2.045	face	n/a	intensity	pain	female	WC	young	task-faces/7Pain_Model2_1Female_1WC_1Young.mp4
64.668	0.651	rating	0.5854	intensity	pain	female	WC	young	n/a
64.818	0.501	rating_mouse_trajectory	0.5854	intensity	pain	female	WC	young	n/a
67.59	1.313	face	n/a	intensity	happy	male	WC	old	task-faces/1Happy_Model1_2Male_1WC_2Old.mp4
68.903	0.685	rating	0.6157	intensity	happy	male	WC	old	n/a
68.986	0.601	rating_mouse_trajectory	0.6157	intensity	happy	male	WC	old	n/a
71.823	2.048	face	n/a	intensity	pain	male	EA	young	task-faces/7Pain_Model3_2Male_2EA_1Young.mp4
73.872	1.852	rating	0.5712	intensity	pain	male	EA	young	n/a
73.938	1.785	rating_mouse_trajectory	0.5712	intensity	pain	male	EA	young	n/a
76.79	2.05	face	n/a	intensity	pleasure	male	African	old	task-faces/8Pleasure_Model2_2Male_3African_2Old.mp4
78.84	1.852	rating	0.551	intensity	pleasure	male	African	old	n/a
79.357	1.335	rating_mouse_trajectory	0.551	intensity	pleasure	male	African	old	n/a
83.757	1.303	face	n/a	intensity	disgust	male	African	young	task-faces/4Disgust_Model2_2Male_3African_1Young.mp4
85.059	0.809	rating	0.2799	intensity	disgust	male	African	young	n/a
85.359	0.509	rating_mouse_trajectory	0.2799	intensity	disgust	male	African	young	n/a
86.981	1.312	face	n/a	intensity	fear	female	African	old	task-faces/3Fear_Model2_1Female_3African_2Old.mp4
88.294	0.741	rating	0.3204	intensity	fear	female	African	old	n/a
88.677	0.358	rating_mouse_trajectory	0.3204	intensity	fear	female	African	old	n/a
91.218	1.311	face	n/a	intensity	anger	male	EA	young	task-faces/5Anger_Model3_2Male_2EA_1Young.mp4
92.529	1.823	rating	0.3285	intensity	anger	male	EA	young	n/a
92.645	1.706	rating_mouse_trajectory	0.3285	intensity	anger	male	EA	young	n/a
94.452	1.311	face	n/a	intensity	fear	female	EA	young	task-faces/3Fear_Model2_1Female_2EA_1Young.mp4
95.763	0.772	rating	0.5004	intensity	fear	female	EA	young	n/a
96.113	0.422	rating_mouse_trajectory	0.5004	intensity	fear	female	EA	young	n/a
98.686	1.312	face	n/a	intensity	surprise	male	EA	young	task-faces/2Surprise_Model2_2Male_2EA_1Young.mp4
99.998	1.053	rating	0.1586	intensity	surprise	male	EA	young	n/a
100.381	0.67	rating_mouse_trajectory	0.1586	intensity	surprise	male	EA	young	n/a
102.905	2.044	face	n/a	intensity	pleasure	female	African	young	task-faces/8Pleasure_Model5_1Female_3African_1Young.mp4
104.95	0.818	rating	0.5854	intensity	pleasure	female	African	young	n/a
105.266	0.501	rating_mouse_trajectory	0.5854	intensity	pleasure	female	African	young	n/a
107.856	2.045	face	n/a	intensity	pain	male	WC	old	task-faces/7Pain_Model1_2Male_1WC_2Old.mp4
109.902	1.102	rating	0.5065	intensity	pain	male	WC	old	n/a
110.218	0.785	rating_mouse_trajectory	0.5065	intensity	pain	male	WC	old	n/a
111.823	1.313	face	n/a	intensity	sad	male	EA	old	task-faces/6Sad_Model2_2Male_2EA_2Old.mp4
113.136	1.535	rating	0.1537	intensity	sad	male	EA	old	n/a
113.553	1.118	rating_mouse_trajectory	0.1537	intensity	sad	male	EA	old	n/a
115.041	1.313	face	n/a	intensity	surprise	female	EA	old	task-faces/2Surprise_Model4_1Female_2EA_2Old.mp4
116.354	1.552	rating	0.284	intensity	surprise	female	EA	old	n/a
116.604	1.302	rating_mouse_trajectory	0.284	intensity	surprise	female	EA	old	n/a
118.271	1.3	face	n/a	intensity	happy	male	African	old	task-faces/1Happy_Model3_2Male_3African_2Old.mp4
119.572	0.618	rating	0.6885	intensity	happy	male	African	old	n/a
119.738	0.451	rating_mouse_trajectory	0.6885	intensity	happy	male	African	old	n/a
122.479	1.311	face	n/a	intensity	surprise	female	African	young	task-faces/2Surprise_Model4_1Female_3African_1Young.mp4
123.79	1.052	rating	0.2152	intensity	surprise	female	African	young	n/a
124.09	0.752	rating_mouse_trajectory	0.2152	intensity	surprise	female	African	young	n/a
126.697	2.045	face	n/a	intensity	pain	male	EA	old	task-faces/7Pain_Model1_2Male_2EA_2Old.mp4
128.742	1.419	rating	0.5388	intensity	pain	male	EA	old	n/a
128.959	1.202	rating_mouse_trajectory	0.5388	intensity	pain	male	EA	old	n/a
131.673	1.304	face	n/a	intensity	sad	female	African	young	task-faces/6Sad_Model5_1Female_3African_1Young.mp4
132.977	1.441	rating	0.2031	intensity	sad	female	African	young	n/a
133.127	1.291	rating_mouse_trajectory	0.2031	intensity	sad	female	African	young	n/a
134.9	1.312	face	n/a	intensity	sad	female	WC	young	task-faces/6Sad_Model5_1Female_1WC_1Young.mp4
136.211	1.44	rating	0.3285	intensity	sad	female	WC	young	n/a
137.011	0.64	rating_mouse_trajectory	0.3285	intensity	sad	female	WC	young	n/a
138.134	1.312	face	n/a	intensity	surprise	male	WC	young	task-faces/2Surprise_Model3_2Male_1WC_1Young.mp4
139.446	0.905	rating	0.6177	intensity	surprise	male	WC	young	n/a
139.696	0.655	rating_mouse_trajectory	0.6177	intensity	surprise	male	WC	young	n/a
142.373	1.307	face	n/a	intensity	fear	female	WC	old	task-faces/3Fear_Model3_1Female_1WC_2Old.mp4
143.681	0.754	rating	0.2779	intensity	fear	female	WC	old	n/a
143.947	0.487	rating_mouse_trajectory	0.2779	intensity	fear	female	WC	old	n/a
145.604	2.045	face	n/a	intensity	pleasure	female	WC	old	task-faces/8Pleasure_Model1_1Female_1WC_2Old.mp4
147.649	1.769	rating	0.4377	intensity	pleasure	female	WC	old	n/a
148.365	1.052	rating_mouse_trajectory	0.4377	intensity	pleasure	female	WC	old	n/a
149.553	1.314	face	n/a	intensity	happy	female	African	young	task-faces/1Happy_Model4_1Female_3African_1Young.mp4
150.867	0.718	rating	0.5793	intensity	happy	female	African	young	n/a
151.1	0.485	rating_mouse_trajectory	0.5793	intensity	happy	female	African	young	n/a
154.773	1.313	face	n/a	intensity	anger	female	African	old	task-faces/5Anger_Model3_1Female_3African_2Old.mp4
156.085	0.585	rating	0.5955	intensity	anger	female	African	old	n/a
156.252	0.418	rating_mouse_trajectory	0.5955	intensity	anger	female	African	old	n/a
160.006	2.048	face	n/a	intensity	pain	female	African	young	task-faces/7Pain_Model3_1Female_3African_1Young.mp4
162.054	0.935	rating	0.7269	intensity	pain	female	African	young	n/a
162.104	0.885	rating_mouse_trajectory	0.7269	intensity	pain	female	African	young	n/a
166.972	1.301	face	n/a	intensity	disgust	male	EA	old	task-faces/4Disgust_Model4_2Male_2EA_2Old.mp4
168.273	0.802	rating	0.3406	intensity	disgust	male	EA	old	n/a
168.673	0.402	rating_mouse_trajectory	0.3406	intensity	disgust	male	EA	old	n/a
171.18	1.311	face	n/a	intensity	fear	male	EA	young	task-faces/3Fear_Model1_2Male_2EA_1Young.mp4
172.491	1.75	rating	0.1019	intensity	fear	male	EA	young	n/a
172.908	1.333	rating_mouse_trajectory	0.1019	intensity	fear	male	EA	young	n/a
175.406	1.303	face	n/a	intensity	fear	female	WC	young	task-faces/3Fear_Model2_1Female_1WC_1Young.mp4
176.71	0.758	rating	0.3265	intensity	fear	female	WC	young	n/a
176.96	0.508	rating_mouse_trajectory	0.3265	intensity	fear	female	WC	young	n/a
178.639	1.305	face	n/a	intensity	happy	female	EA	young	task-faces/1Happy_Model4_1Female_2EA_1Young.mp4
179.944	0.791	rating	0.5287	intensity	happy	female	EA	young	n/a
180.261	0.474	rating_mouse_trajectory	0.5287	intensity	happy	female	EA	young	n/a
182.873	2.039	face	n/a	intensity	pleasure	male	WC	young	task-faces/8Pleasure_Model5_2Male_1WC_1Young.mp4
184.913	1.588	rating	0.6036	intensity	pleasure	male	WC	young	n/a
186.046	0.455	rating_mouse_trajectory	0.6036	intensity	pleasure	male	WC	young	n/a
186.836	2.044	face	n/a	intensity	pain	female	African	old	task-faces/7Pain_Model3_1Female_3African_2Old.mp4
188.881	0.837	rating	0.7957	intensity	pain	female	African	old	n/a
188.931	0.787	rating_mouse_trajectory	0.7957	intensity	pain	female	African	old	n/a
192.804	2.045	face	n/a	intensity	pain	male	African	young	task-faces/7Pain_Model4_2Male_3African_1Young.mp4
194.85	0.985	rating	0.5267	intensity	pain	male	African	young	n/a
195.166	0.669	rating_mouse_trajectory	0.5267	intensity	pain	male	African	young	n/a
198.755	1.313	face	n/a	intensity	disgust	female	EA	old	task-faces/4Disgust_Model3_1Female_2EA_2Old.mp4
200.068	1.818	rating	0.64	intensity	disgust	female	EA	old	n/a
200.401	1.485	rating_mouse_trajectory	0.64	intensity	disgust	female	EA	old	n/a
202.992	1.311	face	n/a	intensity	surprise	female	WC	young	task-faces/2Surprise_Model2_1Female_1WC_1Young.mp4
204.303	0.651	rating	0.3123	intensity	surprise	female	WC	young	n/a
204.553	0.401	rating_mouse_trajectory	0.3123	intensity	surprise	female	WC	young	n/a
207.223	1.315	face	n/a	intensity	anger	female	WC	young	task-faces/5Anger_Model5_1Female_1WC_1Young.mp4
208.538	0.601	rating	0.6299	intensity	anger	female	WC	young	n/a
208.838	0.301	rating_mouse_trajectory	0.6299	intensity	anger	female	WC	young	n/a
211.457	1.299	face	n/a	intensity	fear	male	WC	young	task-faces/3Fear_Model5_2Male_1WC_1Young.mp4
212.756	0.685	rating	0.5186	intensity	fear	male	WC	young	n/a
212.839	0.601	rating_mouse_trajectory	0.5186	intensity	fear	male	WC	young	n/a
215.663	2.045	face	n/a	intensity	pleasure	female	EA	old	task-faces/8Pleasure_Model3_1Female_2EA_2Old.mp4
217.708	0.801	rating	0.7229	intensity	pleasure	female	EA	old	n/a
218.025	0.485	rating_mouse_trajectory	0.7229	intensity	pleasure	female	EA	old	n/a
220.615	1.311	face	n/a	intensity	happy	female	WC	old	task-faces/1Happy_Model5_1Female_1WC_2Old.mp4
221.926	0.974	rating	0.6845	intensity	happy	female	WC	old	n/a
222.276	0.624	rating_mouse_trajectory	0.6845	intensity	happy	female	WC	old	n/a
224.851	1.31	face	n/a	intensity	disgust	female	African	old	task-faces/4Disgust_Model3_1Female_3African_2Old.mp4
226.161	0.673	rating	0.3406	intensity	disgust	female	African	old	n/a
226.294	0.54	rating_mouse_trajectory	0.3406	intensity	disgust	female	African	old	n/a
229.085	1.311	face	n/a	intensity	sad	male	EA	young	task-faces/6Sad_Model4_2Male_2EA_1Young.mp4
230.396	1.055	rating	0.1646	intensity	sad	male	EA	young	n/a
230.479	0.971	rating_mouse_trajectory	0.1646	intensity	sad	male	EA	young	n/a
232.322	1.309	face	n/a	intensity	surprise	male	EA	old	task-faces/2Surprise_Model1_2Male_2EA_2Old.mp4
233.63	0.637	rating	0.5793	intensity	surprise	male	EA	old	n/a
233.914	0.353	rating_mouse_trajectory	0.5793	intensity	surprise	male	EA	old	n/a
235.553	1.312	face	n/a	intensity	anger	female	WC	old	task-faces/5Anger_Model1_1Female_1WC_2Old.mp4
236.865	0.702	rating	0.7067	intensity	anger	female	WC	old	n/a
237.132	0.436	rating_mouse_trajectory	0.7067	intensity	anger	female	WC	old	n/a
240.772	2.045	face	n/a	intensity	pleasure	male	African	young	task-faces/8Pleasure_Model2_2Male_3African_1Young.mp4
242.817	1.435	rating	0.4235	intensity	pleasure	male	African	young	n/a
243.55	0.702	rating_mouse_trajectory	0.4235	intensity	pleasure	male	African	young	n/a
244.74	1.311	face	n/a	intensity	fear	female	African	young	task-faces/3Fear_Model5_1Female_3African_1Young.mp4
246.052	1.018	rating	0.2456	intensity	fear	female	African	young	n/a
246.235	0.835	rating_mouse_trajectory	0.2456	intensity	fear	female	African	young	n/a
251.972	1.315	face	n/a	intensity	sad	female	EA	young	task-faces/6Sad_Model3_1Female_2EA_1Young.mp4
253.288	1.085	rating	0.1343	intensity	sad	female	EA	young	n/a
253.521	0.852	rating_mouse_trajectory	0.1343	intensity	sad	female	EA	young	n/a
255.193	1.313	face	n/a	intensity	anger	female	African	young	task-faces/5Anger_Model2_1Female_3African_1Young.mp4
256.506	0.652	rating	0.6197	intensity	anger	female	African	young	n/a
256.556	0.602	rating_mouse_trajectory	0.6197	intensity	anger	female	African	young	n/a
259.412	1.311	face	n/a	intensity	disgust	female	African	young	task-faces/4Disgust_Model4_1Female_3African_1Young.mp4
260.724	1.869	rating	0.4964	intensity	disgust	female	African	young	n/a
261.34	1.252	rating_mouse_trajectory	0.4964	intensity	disgust	female	African	young	n/a
263.639	1.303	face	n/a	intensity	anger	male	African	old	task-faces/5Anger_Model5_2Male_3African_2Old.mp4
264.942	0.775	rating	0.5429	intensity	anger	male	African	old	n/a
265.075	0.642	rating_mouse_trajectory	0.5429	intensity	anger	male	African	old	n/a
267.865	1.311	face	n/a	intensity	happy	female	African	old	task-faces/1Happy_Model4_1Female_3African_2Old.mp4
269.177	0.89	rating	0.3386	intensity	happy	female	African	old	n/a
269.56	0.507	rating_mouse_trajectory	0.3386	intensity	happy	female	African	old	n/a
271.1	1.311	face	n/a	intensity	fear	male	African	young	task-faces/3Fear_Model1_2Male_3African_1Young.mp4
272.411	1.872	rating	0.3447	intensity	fear	male	African	young	n/a
273.745	0.539	rating_mouse_trajectory	0.3447	intensity	fear	male	African	young	n/a
275.335	2.045	face	n/a	intensity	pleasure	male	WC	old	task-faces/8Pleasure_Model2_2Male_1WC_2Old.mp4
277.38	0.737	rating	0.373	intensity	pleasure	male	WC	old	n/a
277.43	0.687	rating_mouse_trajectory	0.373	intensity	pleasure	male	WC	old	n/a
279.303	1.312	face	n/a	intensity	anger	male	WC	old	task-faces/5Anger_Model3_2Male_1WC_2Old.mp4
280.614	0.57	rating	0.5287	intensity	anger	male	WC	old	n/a
280.831	0.353	rating_mouse_trajectory	0.5287	intensity	anger	male	WC	old	n/a
283.521	2.045	face	n/a	intensity	pleasure	male	EA	young	task-faces/8Pleasure_Model4_2Male_2EA_1Young.mp4
285.566	0.852	rating	0.5388	intensity	pleasure	male	EA	young	n/a
285.616	0.802	rating_mouse_trajectory	0.5388	intensity	pleasure	male	EA	young	n/a
288.492	2.043	face	n/a	intensity	pleasure	female	African	old	task-faces/8Pleasure_Model4_1Female_3African_2Old.mp4
290.535	0.885	rating	0.5409	intensity	pleasure	female	African	old	n/a
290.851	0.568	rating_mouse_trajectory	0.5409	intensity	pleasure	female	African	old	n/a
292.455	1.314	face	n/a	intensity	sad	male	WC	old	task-faces/6Sad_Model1_2Male_1WC_2Old.mp4
293.769	0.885	rating	0.1444	intensity	sad	male	WC	old	n/a
294.219	0.435	rating_mouse_trajectory	0.1444	intensity	sad	male	WC	old	n/a
297.689	1.316	face	n/a	intensity	anger	male	EA	old	task-faces/5Anger_Model3_2Male_2EA_2Old.mp4
299.005	0.618	rating	0.3487	intensity	anger	male	EA	old	n/a
299.188	0.435	rating_mouse_trajectory	0.3487	intensity	anger	male	EA	old	n/a
301.911	1.311	face	n/a	intensity	disgust	male	WC	young	task-faces/4Disgust_Model2_2Male_1WC_1Young.mp4
303.223	1.444	rating	0.5044	intensity	disgust	male	WC	young	n/a
303.906	0.761	rating_mouse_trajectory	0.5044	intensity	disgust	male	WC	young	n/a
306.13	2.045	face	n/a	intensity	pleasure	female	EA	young	task-faces/8Pleasure_Model2_1Female_2EA_1Young.mp4
308.175	0.992	rating	0.5368	intensity	pleasure	female	EA	young	n/a
308.358	0.809	rating_mouse_trajectory	0.5368	intensity	pleasure	female	EA	young	n/a
310.097	1.312	face	n/a	intensity	surprise	female	WC	old	task-faces/2Surprise_Model3_1Female_1WC_2Old.mp4
311.409	1.575	rating	0.5166	intensity	surprise	female	WC	old	n/a
311.776	1.208	rating_mouse_trajectory	0.5166	intensity	surprise	female	WC	old	n/a
313.332	1.312	face	n/a	intensity	happy	male	EA	young	task-faces/1Happy_Model2_2Male_2EA_1Young.mp4
314.644	0.59	rating	0.7189	intensity	happy	male	EA	young	n/a
314.91	0.323	rating_mouse_trajectory	0.7189	intensity	happy	male	EA	young	n/a
317.567	1.311	face	n/a	intensity	fear	female	EA	old	task-faces/3Fear_Model2_1Female_2EA_2Old.mp4
318.878	1.789	rating	0.5368	intensity	fear	female	EA	old	n/a
319.112	1.555	rating_mouse_trajectory	0.5368	intensity	fear	female	EA	old	n/a
321.803	2.044	face	n/a	intensity	pain	female	EA	young	task-faces/7Pain_Model4_1Female_2EA_1Young.mp4
323.847	1.403	rating	0.5914	intensity	pain	female	EA	young	n/a
323.914	1.336	rating_mouse_trajectory	0.5914	intensity	pain	female	EA	young	n/a
326.755	1.31	face	n/a	intensity	sad	male	African	old	task-faces/6Sad_Model2_2Male_3African_2Old.mp4
328.065	0.935	rating	0.2981	intensity	sad	male	African	old	n/a
328.415	0.585	rating_mouse_trajectory	0.2981	intensity	sad	male	African	old	n/a
329.97	1.314	face	n/a	intensity	disgust	female	WC	young	task-faces/4Disgust_Model5_1Female_1WC_1Young.mp4
331.283	1.785	rating	0.3487	intensity	disgust	female	WC	young	n/a
331.516	1.552	rating_mouse_trajectory	0.3487	intensity	disgust	female	WC	young	n/a
335.206	2.046	face	n/a	intensity	pain	female	EA	old	task-faces/7Pain_Model3_1Female_2EA_2Old.mp4
337.252	1.085	rating	0.5672	intensity	pain	female	EA	old	n/a
337.569	0.768	rating_mouse_trajectory	0.5672	intensity	pain	female	EA	old	n/a
340.173	1.314	face	n/a	intensity	anger	male	African	young	task-faces/5Anger_Model1_2Male_3African_1Young.mp4
341.487	0.685	rating	0.7391	intensity	anger	male	African	young	n/a
341.603	0.568	rating_mouse_trajectory	0.7391	intensity	anger	male	African	young	n/a
345.405	1.317	face	n/a	intensity	surprise	male	African	young	task-faces/2Surprise_Model4_2Male_3African_1Young.mp4
346.722	1.201	rating	0.5854	intensity	surprise	male	African	young	n/a
347.239	0.685	rating_mouse_trajectory	0.5854	intensity	surprise	male	African	young	n/a
349.639	1.302	face	n/a	intensity	fear	male	WC	old	task-faces/3Fear_Model1_2Male_1WC_2Old.mp4
350.94	1.06	rating	0.284	intensity	fear	male	WC	old	n/a
351.207	0.793	rating_mouse_trajectory	0.284	intensity	fear	male	WC	old	n/a
353.847	1.311	face	n/a	intensity	anger	female	EA	young	task-faces/5Anger_Model1_1Female_2EA_1Young.mp4
355.159	1.475	rating	0.9049	intensity	anger	female	EA	young	n/a
355.475	1.158	rating_mouse_trajectory	0.9049	intensity	anger	female	EA	young	n/a
359.083	1.311	face	n/a	intensity	surprise	male	African	old	task-faces/2Surprise_Model3_2Male_3African_2Old.mp4
360.394	1.173	rating	0.3669	intensity	surprise	male	African	old	n/a
360.827	0.74	rating_mouse_trajectory	0.3669	intensity	surprise	male	African	old	n/a
362.316	2.046	face	n/a	intensity	pleasure	male	EA	old	task-faces/8Pleasure_Model4_2Male_2EA_2Old.mp4
364.362	1.621	rating	0.4235	intensity	pleasure	male	EA	old	n/a
364.895	1.088	rating_mouse_trajectory	0.4235	intensity	pleasure	male	EA	old	n/a
366.285	2.045	face	n/a	intensity	pain	female	WC	old	task-faces/7Pain_Model5_1Female_1WC_2Old.mp4
368.33	0.603	rating	0.3649	intensity	pain	female	WC	old	n/a
368.447	0.487	rating_mouse_trajectory	0.3649	intensity	pain	female	WC	old	n/a
372.239	1.31	face	n/a	intensity	anger	female	EA	old	task-faces/5Anger_Model3_1Female_2EA_2Old.mp4
373.549	0.685	rating	0.5955	intensity	anger	female	EA	old	n/a
373.715	0.518	rating_mouse_trajectory	0.5955	intensity	anger	female	EA	old	n/a
376.454	2.046	face	n/a	intensity	pain	male	WC	young	task-faces/7Pain_Model5_2Male_1WC_1Young.mp4
378.5	0.935	rating	0.3871	intensity	pain	male	WC	young	n/a
378.7	0.735	rating_mouse_trajectory	0.3871	intensity	pain	male	WC	young	n/a
381.425	1.311	face	n/a	intensity	disgust	female	EA	young	task-faces/4Disgust_Model5_1Female_2EA_1Young.mp4
382.735	0.818	rating	0.4903	intensity	disgust	female	EA	young	n/a
383.035	0.518	rating_mouse_trajectory	0.4903	intensity	disgust	female	EA	young	n/a
387.656	1.315	face	n/a	intensity	disgust	male	African	old	task-faces/4Disgust_Model1_2Male_3African_2Old.mp4
388.971	0.835	rating	0.4155	intensity	disgust	male	African	old	n/a
389.404	0.401	rating_mouse_trajectory	0.4155	intensity	disgust	male	African	old	n/a
390.878	1.311	face	n/a	intensity	fear	male	African	old	task-faces/3Fear_Model4_2Male_3African_2Old.mp4
392.189	1.102	rating	0.4074	intensity	fear	male	African	old	n/a
392.639	0.652	rating_mouse_trajectory	0.4074	intensity	fear	male	African	old	n/a
396.096	1.312	face	n/a	intensity	sad	male	African	young	task-faces/6Sad_Model2_2Male_3African_1Young.mp4
397.407	1.742	rating	0.3386	intensity	sad	male	African	young	n/a
398.157	0.992	rating_mouse_trajectory	0.3386	intensity	sad	male	African	young	n/a
400.331	1.311	face	n/a	intensity	sad	female	EA	old	task-faces/6Sad_Model1_1Female_2EA_2Old.mp4
401.642	1.408	rating	0.3467	intensity	sad	female	EA	old	n/a
402.209	0.841	rating_mouse_trajectory	0.3467	intensity	sad	female	EA	old	n/a
405.566	1.311	face	n/a	intensity	surprise	female	EA	young	task-faces/2Surprise_Model3_1Female_2EA_1Young.mp4
406.878	1.572	rating	0.4337	intensity	surprise	female	EA	young	n/a
407.794	0.656	rating_mouse_trajectory	0.4337	intensity	surprise	female	EA	young	n/a
409.801	1.311	face	n/a	intensity	sad	female	WC	old	task-faces/6Sad_Model1_1Female_1WC_2Old.mp4
411.112	0.887	rating	0.1828	intensity	sad	female	WC	old	n/a
411.262	0.737	rating_mouse_trajectory	0.1828	intensity	sad	female	WC	old	n/a
413.036	1.311	face	n/a	intensity	surprise	female	African	old	task-faces/2Surprise_Model1_1Female_3African_2Old.mp4
414.347	0.886	rating	0.4235	intensity	surprise	female	African	old	n/a
414.747	0.486	rating_mouse_trajectory	0.4235	intensity	surprise	female	African	old	n/a
416.252	1.313	face	n/a	intensity	disgust	male	EA	young	task-faces/4Disgust_Model2_2Male_2EA_1Young.mp4
417.565	0.752	rating	0.5125	intensity	disgust	male	EA	young	n/a
417.881	0.435	rating_mouse_trajectory	0.5125	intensity	disgust	male	EA	young	n/a
