onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file_TODO	trial_index
0.09	2.016	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a	1
5.033	0.978	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg	1
6.316	0.968	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_532.jpg	2
7.599	0.81	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_474.jpg	3
8.716	0.926	tomspunt	reaching?	how_hand	yes	no	incorrect	task-tomspunt/H_438.jpg	4
9.949	0.71	tomspunt	reaching?	how_hand	no	yes	incorrect	task-tomspunt/H_364.jpg	5
10.966	0.902	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg	6
12.182	0.785	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg	7
13.282	0.668	tomspunt	reaching?	how_hand	yes	no	incorrect	task-tomspunt/H_132.jpg	8
17.538	2.1	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a	9
22.548	0.771	tomspunt	healthy?	why_hand	no	yes	incorrect	task-tomspunt/H_627.jpg	9
23.631	0.52	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg	10
24.464	0.669	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg	11
25.447	0.652	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_130.jpg	12
26.414	0.635	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg	13
27.364	0.568	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg	14
28.247	0.718	tomspunt	healthy?	why_hand	no	yes	incorrect	task-tomspunt/H_167.jpg	15
29.28	0.568	tomspunt	healthy?	why_hand	yes	no	incorrect	task-tomspunt/H_019.jpg	16
36.652	2.1	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a	17
41.662	0.485	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg	17
42.462	0.702	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg	18
43.478	0.485	tomspunt	admiring?	why_face	yes	no	incorrect	task-tomspunt/F_110.jpg	19
44.278	0.452	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg	20
45.045	0.712	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg	21
46.061	0.518	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg	22
46.894	0.685	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg	23
47.894	0.81	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg	24
55.616	2.1	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a	25
60.626	0.656	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg	25
61.593	0.639	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg	26
62.542	0.889	tomspunt	smiling?	how_face	no	yes	incorrect	task-tomspunt/F_695.jpg	27
63.742	0.638	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg	28
