onset	duration	trial_type	response_value	stim_file
2.779	211.375	video	n/a	task-alignvideo/ses-03_run-01_order-01_content-mountainbike.mp4
218.556	4.32	rating_relevance	14.58	n/a
221.79	2.533	rating_happy	27.81	n/a
225.908	1.638	rating_sad	1.35	n/a
231.527	2.233	rating_afraid	34.48	n/a
235.495	1.187	rating_disgusted	0.83	n/a
240.464	1.132	rating_warm	6.77	n/a
247.016	2.667	rating_engaged	53.12	n/a
249.45	20.942	video	n/a	task-alignvideo/ses-03_run-01_order-02_content-carflood.mp4
272.376	1.948	rating_relevance	1.77	n/a
276.861	1.416	rating_happy	2.19	n/a
283.28	2.817	rating_sad	33.75	n/a
288.365	2.89	rating_afraid	54.06	n/a
291.916	1.422	rating_disgusted	3.54	n/a
297.835	2.319	rating_warm	0.94	n/a
304.971	4.432	rating_engaged	76.04	n/a
305.591	30.147	video	n/a	task-alignvideo/ses-03_run-01_order-03_content-fireplace.mp4
337.183	1.412	rating_relevance	2.19	n/a
343.602	2.815	rating_happy	3.33	n/a
347.304	1.499	rating_sad	2.19	n/a
352.489	1.666	rating_afraid	0.83	n/a
356.79	0.949	rating_disgusted	0.83	n/a
363.726	2.867	rating_warm	18.96	n/a
368.895	3.017	rating_engaged	4.69	n/a
370.922	123.286	video	n/a	task-alignvideo/ses-03_run-01_order-04_content-snakes.mp4
495.842	1.588	rating_relevance	2.5	n/a
503.779	n/a	rating_happy	n/a	n/a
508.814	n/a	rating_sad	n/a	n/a
513.015	3.69	rating_afraid	4.79	n/a
516.633	2.287	rating_disgusted	1.56	n/a
521.652	2.285	rating_warm	6.98	n/a
528.905	n/a	rating_engaged	n/a	n/a
