onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
2.823	3.387	cue	n/a	n/a	similarity	n/a	n/a
6.21	5.177	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
11.493	3.145	rating	70.98	Very strong	similarity	n/a	n/a
12.559	2.078	rating_mouse_trajectory	70.98	Very strong	similarity	n/a	n/a
16.738	6.349	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
23.147	2.007	rating	10.86	Moderate	similarity	n/a	n/a
23.63	1.524	rating_mouse_trajectory	10.86	Moderate	similarity	n/a	n/a
28.263	5.838	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
34.168	2.353	rating	32.58	Strong	similarity	n/a	n/a
34.618	1.903	rating_mouse_trajectory	32.58	Strong	similarity	n/a	n/a
39.22	3.122	cue	n/a	n/a	mentalizing	remember	n/a
42.342	5.214	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
47.623	2.868	rating	0.0	No sensation	mentalizing	remember	n/a
48.289	2.201	rating_mouse_trajectory	0.0	No sensation	mentalizing	remember	n/a
52.702	5.509	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
58.293	3.885	rating	12.48	Moderate	mentalizing	remember	n/a
59.46	2.719	rating_mouse_trajectory	12.48	Moderate	mentalizing	remember	n/a
63.442	5.562	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
69.064	3.107	rating	63.95	Strong	mentalizing	remember	n/a
70.414	1.757	rating_mouse_trajectory	63.95	Strong	mentalizing	remember	n/a
74.099	3.138	cue	n/a	n/a	likeability	n/a	n/a
77.237	5.184	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
82.486	2.801	rating	53.08	Strong	likeability	n/a	n/a
83.169	2.118	rating_mouse_trajectory	53.08	Strong	likeability	n/a	n/a
87.588	6.836	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
94.49	4.185	rating	62.43	Strong	likeability	n/a	n/a
94.957	3.718	rating_mouse_trajectory	62.43	Strong	likeability	n/a	n/a
99.57	5.801	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
105.444	3.602	rating	37.0	Strong	likeability	n/a	n/a
106.778	2.268	rating_mouse_trajectory	37.0	Strong	likeability	n/a	n/a
110.479	3.155	cue	n/a	n/a	similarity	n/a	n/a
113.634	6.12	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
119.816	3.337	rating	34.03	Strong	similarity	n/a	n/a
120.55	2.604	rating_mouse_trajectory	34.03	Strong	similarity	n/a	n/a
124.926	5.011	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
130.003	2.885	rating	58.9	Strong	similarity	n/a	n/a
130.837	2.051	rating_mouse_trajectory	58.9	Strong	similarity	n/a	n/a
135.078	5.509	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
140.641	4.702	rating	42.48	Strong	similarity	n/a	n/a
141.841	3.502	rating_mouse_trajectory	42.48	Strong	similarity	n/a	n/a
145.893	3.126	cue	n/a	n/a	mentalizing	danger	n/a
