onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
2.822	3.138	cue	n/a	n/a	likeability	n/a	n/a
5.961	5.399	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
11.442	4.676	rating	41.99	Strong	likeability	n/a	n/a
12.476	3.642	rating_mouse_trajectory	41.99	Strong	likeability	n/a	n/a
16.754	4.997	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
21.813	3.222	rating	64.89	Very strong	likeability	n/a	n/a
22.146	2.889	rating_mouse_trajectory	64.89	Very strong	likeability	n/a	n/a
26.927	5.324	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
32.317	2.851	rating	18.06	Moderate	likeability	n/a	n/a
32.617	2.551	rating_mouse_trajectory	18.06	Moderate	likeability	n/a	n/a
37.352	3.14	cue	n/a	n/a	mentalizing	remember	n/a
40.492	5.563	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
46.122	4.602	rating	7.07	Weak	mentalizing	remember	n/a
47.855	2.869	rating_mouse_trajectory	7.07	Weak	mentalizing	remember	n/a
51.321	5.505	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
56.893	2.009	rating	174.76	Strongest possible	mentalizing	remember	n/a
57.526	1.376	rating_mouse_trajectory	174.76	Strongest possible	mentalizing	remember	n/a
61.967	5.23	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
67.263	2.989	rating	57.74	Strong	mentalizing	remember	n/a
67.63	2.622	rating_mouse_trajectory	57.74	Strong	mentalizing	remember	n/a
72.298	3.141	cue	n/a	n/a	similarity	n/a	n/a
75.44	5.562	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
81.068	3.368	rating	15.26	Moderate	similarity	n/a	n/a
81.568	2.868	rating_mouse_trajectory	15.26	Moderate	similarity	n/a	n/a
86.162	5.194	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
91.422	2.534	rating	45.86	Strong	similarity	n/a	n/a
91.622	2.334	rating_mouse_trajectory	45.86	Strong	similarity	n/a	n/a
96.496	5.397	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
101.959	3.592	rating	10.2	Moderate	similarity	n/a	n/a
102.343	3.208	rating_mouse_trajectory	10.2	Moderate	similarity	n/a	n/a
106.978	3.12	cue	n/a	n/a	likeability	n/a	n/a
110.098	5.8	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
115.981	3.387	rating	23.07	Moderate	likeability	n/a	n/a
116.731	2.637	rating_mouse_trajectory	23.07	Moderate	likeability	n/a	n/a
121.084	5.184	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
126.335	2.901	rating	59.33	Strong	likeability	n/a	n/a
126.835	2.401	rating_mouse_trajectory	59.33	Strong	likeability	n/a	n/a
131.436	6.837	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
138.34	2.751	rating	100.87	Strongest possible	likeability	n/a	n/a
138.656	2.435	rating_mouse_trajectory	100.87	Strongest possible	likeability	n/a	n/a
143.375	3.123	cue	n/a	n/a	mentalizing	danger	n/a
146.498	5.304	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
151.861	3.59	rating	22.74	Moderate	mentalizing	danger	n/a
153.761	1.69	rating_mouse_trajectory	22.74	Moderate	mentalizing	danger	n/a
156.971	6.351	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
163.382	1.719	rating	176.36	Strongest possible	mentalizing	danger	n/a
163.532	1.569	rating_mouse_trajectory	176.36	Strongest possible	mentalizing	danger	n/a
168.531	5.122	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
173.719	1.868	rating	96.11	Very strong	mentalizing	danger	n/a
174.169	1.418	rating_mouse_trajectory	96.11	Very strong	mentalizing	danger	n/a
178.738	3.121	cue	n/a	n/a	similarity	n/a	n/a
181.859	5.799	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
187.725	2.635	rating	28.73	Moderate	similarity	n/a	n/a
187.958	2.401	rating_mouse_trajectory	28.73	Moderate	similarity	n/a	n/a
192.807	6.194	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
199.062	3.555	rating	42.01	Strong	similarity	n/a	n/a
199.829	2.789	rating_mouse_trajectory	42.01	Strong	similarity	n/a	n/a
204.136	5.298	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
209.499	2.818	rating	70.26	Very strong	similarity	n/a	n/a
209.783	2.535	rating_mouse_trajectory	70.26	Very strong	similarity	n/a	n/a
214.518	3.204	cue	n/a	n/a	likeability	n/a	n/a
217.722	6.666	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
224.455	1.718	rating	0.0	No sensation	likeability	n/a	n/a
225.055	1.118	rating_mouse_trajectory	0.0	No sensation	likeability	n/a	n/a
229.548	5.304	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
234.909	2.835	rating	21.05	Moderate	likeability	n/a	n/a
235.242	2.502	rating_mouse_trajectory	21.05	Moderate	likeability	n/a	n/a
239.981	5.22	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
245.263	2.938	rating	29.53	Strong	likeability	n/a	n/a
245.563	2.638	rating_mouse_trajectory	29.53	Strong	likeability	n/a	n/a
250.298	3.154	cue	n/a	n/a	similarity	n/a	n/a
253.453	5.566	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
259.085	3.051	rating	8.06	Weak	similarity	n/a	n/a
259.601	2.535	rating_mouse_trajectory	8.06	Weak	similarity	n/a	n/a
264.189	4.082	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
268.338	1.851	rating	0.0	No sensation	similarity	n/a	n/a
