onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	participant_response	reaction_time
334.709	1.017	memory	study	study	n/a	task-memory/obj328waiter.png	n/a	n/a
336.759	1.017	memory	study	study	n/a	task-memory/obj256sandwich.png	n/a	n/a
338.793	1.017	memory	study	study	n/a	task-memory/obj158knight.png	n/a	n/a
340.828	1.017	memory	study	study	n/a	task-memory/obj269skateboard.png	n/a	n/a
342.862	1.017	memory	study	study	n/a	task-memory/obj085donkey.png	n/a	n/a
344.896	1.017	memory	study	study	n/a	task-memory/obj067comb.png	n/a	n/a
346.93	1.017	memory	study	study	n/a	task-memory/obj118giraffe.png	n/a	n/a
348.964	1.017	memory	study	study	n/a	task-memory/obj041button.png	n/a	n/a
350.998	1.017	memory	study	study	n/a	task-memory/obj010baby.png	n/a	n/a
353.032	1.017	memory	study	study	n/a	task-memory/obj259scarf.png	n/a	n/a
355.066	1.017	memory	dummy	study_dummy	n/a	task-memory/obj280sofa.png	n/a	n/a
357.1	1.017	memory	dummy	study_dummy	n/a	task-memory/obj290sun.png	n/a	n/a
359.134	1.017	memory	dummy	study_dummy	n/a	task-memory/obj343witch.png	n/a	n/a
371.289	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
399.366	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
427.427	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
455.487	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
489.133	1.58	memory	test	test_old	correct	task-memory/obj158knight.png	old	n/a
492.134	0.693	memory	test	test_old	correct	task-memory/obj269skateboard.png	old	n/a
495.168	0.935	memory	test	test_old	correct	task-memory/obj200orange.png	old	n/a
497.919	0.783	memory	test	test_old	correct	task-memory/obj292sword.png	old	n/a
500.52	0.85	memory	test	test_new	incorrect	task-memory/obj143horse.png	old	n/a
503.355	0.762	memory	test	test_old	correct	task-memory/obj190mousetrap.png	old	n/a
506.089	0.89	memory	test	test_new	correct	task-memory/obj096eskimo.png	new	n/a
509.007	0.925	memory	test	test_new	correct	task-memory/obj198octopus.png	new	n/a
511.625	0.951	memory	test	test_old	correct	task-memory/obj010baby.png	old	n/a
514.392	0.879	memory	test	test_old	correct	task-memory/obj026bird.png	old	n/a
517.127	1.122	memory	test	test_old	correct	task-memory/obj085donkey.png	old	n/a
519.861	1.099	memory	test	test_old	correct	task-memory/obj067comb.png	old	n/a
522.479	1.294	memory	test	test_old	correct	task-memory/obj283spider.png	old	n/a
525.23	1.051	memory	test	test_new	correct	task-memory/obj285squirrel.png	new	n/a
528.031	0.971	memory	test	test_old	correct	task-memory/obj328waiter.png	old	n/a
530.765	1.833	memory	test	test_new	incorrect	task-memory/obj055chair.png	old	n/a
534.1	2.0	memory	test	test_new	correct	task-memory/obj330watch.png	n/a	n/a
537.117	1.074	memory	test	test_new	incorrect	task-memory/obj239rake.png	old	n/a
540.102	1.103	memory	test	test_new	correct	task-memory/obj289submarine.png	new	n/a
542.853	1.067	memory	test	test_old	correct	task-memory/obj256sandwich.png	old	n/a
545.571	0.9	memory	test	test_new	correct	task-memory/obj057cherry.png	new	n/a
548.488	1.338	memory	test	test_old	correct	task-memory/obj066dime.png	old	n/a
551.423	1.379	memory	test	test_new	correct	task-memory/obj345wrench.png	new	n/a
554.29	1.054	memory	test	test_old	correct	task-memory/obj234queen.png	old	n/a
557.225	0.876	memory	test	test_new	correct	task-memory/obj100feather.png	new	n/a
559.809	1.293	memory	test	test_old	correct	task-memory/obj348zipper.png	old	n/a
562.477	1.074	memory	test	test_old	incorrect	task-memory/obj118giraffe.png	new	n/a
565.161	1.101	memory	test	test_new	correct	task-memory/obj043cage.png	new	n/a
567.896	0.831	memory	test	test_new	correct	task-memory/obj303tiger.png	new	n/a
570.713	0.92	memory	test	test_new	correct	task-memory/obj347zebra.png	new	n/a
573.431	1.186	memory	test	test_new	correct	task-memory/obj277snake.png	new	n/a
576.015	1.487	memory	test	test_old	incorrect	task-memory/obj108flute.png	new	n/a
579.0	0.765	memory	test	test_new	correct	task-memory/obj220pineapple.png	new	n/a
581.951	1.083	memory	test	test_old	correct	task-memory/obj259scarf.png	old	n/a
584.652	1.014	memory	test	test_new	correct	task-memory/obj015bandaid.png	new	n/a
587.486	0.968	memory	test	test_new	correct	task-memory/obj307tomato.png	new	n/a
590.504	1.288	memory	test	test_new	incorrect	task-memory/obj013balloon.png	old	n/a
593.038	1.052	memory	test	test_old	correct	task-memory/obj041button.png	old	n/a
595.956	1.045	memory	test	test_old	correct	task-memory/obj175mailbox.png	old	n/a
598.89	1.789	memory	test	test_new	incorrect	task-memory/obj007arrow.png	old	n/a
