onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	trial_index
14.825	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	1
25.796	5.495	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	1
44.32	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	2
55.307	6.463	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt	2
74.314	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	3
85.302	5.45	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	3
103.842	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	4
114.813	2.697	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	4
133.336	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
144.324	3.783	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/1p_question.txt	5
162.847	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.851	3.174	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
192.375	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	7
203.362	n/a	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/3p_question.txt	7
221.886	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	8
232.873	2.667	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	8
251.397	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	9
262.384	3.02	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	9
280.908	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	10
291.895	2.936	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	10
310.419	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	11
321.406	3.646	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	11
339.93	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	12
350.917	3.844	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	12
369.441	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	13
380.428	3.302	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	13
398.952	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	14
409.939	3.082	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	14
428.463	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	15
439.45	3.18	tomsaxe	response	falsebelief	correct	task-tomsaxe/7b_question.txt	15
457.974	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	16
468.961	2.487	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	16
487.485	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	17
498.472	2.295	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	17
516.996	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	18
527.983	0.002	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/8b_question.txt	18
546.524	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	19
557.494	2.463	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	19
576.018	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	20
587.005	4.797	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt	20
